,Prediction,value_count,NCTId
12553,Completed,1,NCT00905307
12554,Completed,1,NCT00905385
12555,Completed,1,NCT00905424
12556,Completed,1,NCT00905450
12557,Completed,1,NCT00906204
12558,Terminated,1,NCT00906243
12559,Completed,1,NCT00906282
12560,Completed,1,NCT00906334
12561,Completed,1,NCT00906373
12562,Completed,1,NCT00906516
12563,Completed,1,NCT00906945
12564,Completed,1,NCT00907153
12565,Completed,1,NCT00907166
12566,Completed,1,NCT00907296
12567,Completed,1,NCT00907309
12568,Completed,1,NCT00907335
12569,Completed,1,NCT00907387
12570,Completed,1,NCT00907660
12571,Completed,1,NCT00907803
12572,Completed,1,NCT00907829
12573,Completed,1,NCT00907959
12574,Completed,1,NCT00907972
12575,Completed,1,NCT00908024
12576,Completed,1,NCT00908037
12577,Completed,1,NCT00908141
12578,Terminated,1,NCT00908219
12579,Completed,1,NCT00908687
12580,Completed,1,NCT00908960
12581,Completed,1,NCT00909298
12582,Completed,1,NCT00909363
12583,Completed,1,NCT00909545
12584,Terminated,1,NCT00909584
12585,Completed,1,NCT00909766
12586,Completed,1,NCT00909909
12587,Terminated,1,NCT00910000
12588,Completed,1,NCT00910039
12589,Completed,1,NCT00910104
12590,Completed,1,NCT00910299
12591,Completed,1,NCT00910325
12592,Completed,1,NCT00910650
12593,Completed,1,NCT00910858
12594,Completed,1,NCT00910962
12595,Completed,1,NCT00911248
12596,Completed,1,NCT00911495
12597,Completed,1,NCT00911560
12598,Completed,1,NCT00911586
12599,Completed,1,NCT00911612
12600,Completed,1,NCT00911820
12601,Completed,1,NCT00911859
12602,Completed,1,NCT00911963
12603,Completed,1,NCT00912223
12604,Completed,1,NCT00912301
12605,Completed,1,NCT00912340
12606,Completed,1,NCT00912743
12607,Completed,1,NCT00912912
12608,Completed,1,NCT00913393
12609,Completed,1,NCT00913484
12610,Completed,1,NCT00913627
12611,Completed,1,NCT00913692
12612,Completed,1,NCT00913744
12613,Completed,1,NCT00913835
12614,Completed,1,NCT00913913
12615,Completed,1,NCT00914017
12616,Completed,1,NCT00914186
12617,Completed,1,NCT00914290
12618,Completed,1,NCT00914381
12619,Completed,1,NCT00914589
12620,Completed,1,NCT00914602
12621,Completed,1,NCT00914732
12622,Terminated,1,NCT00914745
12623,Completed,1,NCT00914849
12624,Completed,1,NCT00914927
12625,Completed,1,NCT00914940
12626,Completed,1,NCT00915005
12627,Completed,1,NCT00915018
12628,Completed,1,NCT00915200
12629,Completed,1,NCT00915590
12630,Completed,1,NCT00915603
12631,Completed,1,NCT00915655
12632,Completed,1,NCT00915681
12633,Terminated,1,NCT00915902
12634,Completed,1,NCT00916058
12635,Completed,1,NCT00916357
12636,Completed,1,NCT00916383
12637,Completed,1,NCT00916578
12638,Terminated,1,NCT00916617
12639,Completed,1,NCT00916669
12640,Completed,1,NCT00916747
12641,Completed,1,NCT00916942
12642,Completed,1,NCT00917020
12643,Completed,1,NCT00917111
12644,Completed,1,NCT00917462
12645,Completed,1,NCT00917501
12646,Completed,1,NCT00917553
12647,Completed,1,NCT00917735
12648,Terminated,1,NCT00917826
12649,Terminated,1,NCT00917865
12650,Completed,1,NCT00918203
12651,Completed,1,NCT00918255
12652,Terminated,1,NCT00918281
12653,Completed,1,NCT00918333
12654,Terminated,1,NCT00918385
12655,Terminated,1,NCT00918463
12656,Completed,1,NCT00918723
12657,Completed,1,NCT00918749
12658,Completed,1,NCT00918814
12659,Completed,1,NCT00918931
12660,Completed,1,NCT00919035
12661,Terminated,1,NCT00919061
12662,Completed,1,NCT00919113
12663,Completed,1,NCT00919503
12664,Completed,1,NCT00919555
12665,Completed,1,NCT00919633
12666,Completed,1,NCT00919763
12667,Completed,1,NCT00919906
12668,Completed,1,NCT00920049
12669,Completed,1,NCT00920140
12670,Completed,1,NCT00920218
12671,Completed,1,NCT00920309
12672,Completed,1,NCT00920426
12673,Completed,1,NCT00920647
12674,Completed,1,NCT00920686
12675,Completed,1,NCT00920699
12676,Completed,1,NCT00920764
12677,Completed,1,NCT00920855
12678,Terminated,1,NCT00920972
12679,Completed,1,NCT00921024
12680,Completed,1,NCT00921115
12681,Completed,1,NCT00921310
12682,Completed,1,NCT00921401
12683,Completed,1,NCT00921518
12684,Completed,1,NCT00921557
12685,Completed,1,NCT00921804
12686,Completed,1,NCT00921947
12687,Completed,1,NCT00922272
12688,Completed,1,NCT00922636
12689,Completed,1,NCT00922883
12690,Completed,1,NCT00922974
12691,Completed,1,NCT00923013
12692,Completed,1,NCT00923117
12693,Completed,1,NCT00923130
12694,Terminated,1,NCT00923195
12695,Completed,1,NCT00923247
12696,Completed,1,NCT00923273
12697,Terminated,1,NCT00923351
12698,Terminated,1,NCT00923364
12699,Completed,1,NCT00923481
12700,Terminated,1,NCT00923845
12701,Completed,1,NCT00923910
12702,Completed,1,NCT00923936
12703,Completed,1,NCT00923949
12704,Completed,1,NCT00924001
12705,Completed,1,NCT00924027
12706,Completed,1,NCT00924040
12707,Completed,1,NCT00924066
12708,Completed,1,NCT00924118
12709,Completed,1,NCT00924170
12710,Completed,1,NCT00924209
12711,Completed,1,NCT00924287
12712,Completed,1,NCT00924313
12713,Terminated,1,NCT00924326
12714,Completed,1,NCT00924352
12715,Completed,1,NCT00924456
12716,Completed,1,NCT00924469
12717,Completed,1,NCT00924547
12718,Completed,1,NCT00924560
12719,Completed,1,NCT00924612
