,Prediction,value_count,NCTId
3575,Completed,1,NCT02921789
3576,Completed,1,NCT02921893
3577,Completed,1,NCT02921919
3578,Completed,1,NCT02922413
3579,Completed,1,NCT02923063
3580,Completed,1,NCT02923180
3581,Completed,1,NCT02923570
3582,Terminated,1,NCT02923739
3583,Completed,1,NCT02923778
3584,Completed,1,NCT02924272
3585,Completed,1,NCT02924376
3586,Terminated,1,NCT02925000
3587,Completed,1,NCT02925650
3588,Completed,1,NCT02926352
3589,Completed,1,NCT02926768
3590,Terminated,1,NCT02926833
3591,Completed,1,NCT02927262
3592,Completed,1,NCT02927301
3593,Completed,1,NCT02927340
3594,Completed,1,NCT02927691
3595,Completed,1,NCT02927769
3596,Completed,1,NCT02927847
3597,Completed,1,NCT02927873
3598,Terminated,1,NCT02927912
3599,Completed,1,NCT02927964
3600,Completed,1,NCT02928978
3601,Completed,1,NCT02930109
3602,Completed,1,NCT02931175
3603,Completed,1,NCT02931240
3604,Completed,1,NCT02932007
3605,Completed,1,NCT02932150
3606,Completed,1,NCT02932280
3607,Completed,1,NCT02932332
3608,Completed,1,NCT02933255
3609,Completed,1,NCT02933489
3610,Completed,1,NCT02934568
3611,Completed,1,NCT02935205
3612,Completed,1,NCT02935361
3613,Completed,1,NCT02935517
3614,Completed,1,NCT02935634
3615,Completed,1,NCT02935686
3616,Completed,1,NCT02936323
3617,Completed,1,NCT02936843
3618,Completed,1,NCT02937571
3619,Completed,1,NCT02938442
3620,Terminated,1,NCT02938793
3621,Completed,1,NCT02939274
3622,Completed,1,NCT02939300
3623,Completed,1,NCT02939573
3624,Completed,1,NCT02939651
3625,Completed,1,NCT02939742
3626,Completed,1,NCT02940223
3627,Terminated,1,NCT02940301
3628,Completed,1,NCT02940496
3629,Completed,1,NCT02941705
3630,Terminated,1,NCT02942355
3631,Completed,1,NCT02942420
3632,Completed,1,NCT02943590
3633,Terminated,1,NCT02944201
3634,Completed,1,NCT02945800
3635,Terminated,1,NCT02946424
3636,Completed,1,NCT02946658
3637,Completed,1,NCT02946996
3638,Completed,1,NCT02947035
3639,Completed,1,NCT02947087
3640,Terminated,1,NCT02947386
3641,Terminated,1,NCT02947750
3642,Completed,1,NCT02947893
3643,Completed,1,NCT02947945
3644,Completed,1,NCT02949115
3645,Completed,1,NCT02949219
3646,Completed,1,NCT02949284
3647,Completed,1,NCT02949700
3648,Completed,1,NCT02949830
3649,Completed,1,NCT02949843
3650,Completed,1,NCT02949934
3651,Completed,1,NCT02950012
3652,Completed,1,NCT02950337
3653,Completed,1,NCT02950493
3654,Completed,1,NCT02950883
3655,Completed,1,NCT02951130
3656,Completed,1,NCT02951767
3657,Completed,1,NCT02951819
3658,Completed,1,NCT02952131
3659,Completed,1,NCT02952495
3660,Completed,1,NCT02952508
3661,Completed,1,NCT02952534
3662,Completed,1,NCT02953431
3663,Terminated,1,NCT02953457
3664,Terminated,1,NCT02953509
3665,Completed,1,NCT02953665
3666,Completed,1,NCT02953860
3667,Completed,1,NCT02954523
3668,Completed,1,NCT02954536
3669,Completed,1,NCT02954978
3670,Terminated,1,NCT02954991
3671,Completed,1,NCT02955199
3672,Completed,1,NCT02955264
3673,Completed,1,NCT02955290
3674,Completed,1,NCT02955394
3675,Terminated,1,NCT02955758
3676,Completed,1,NCT02955940
3677,Completed,1,NCT02956317
3678,Completed,1,NCT02956382
3679,Completed,1,NCT02956447
3680,Terminated,1,NCT02956798
3681,Completed,1,NCT02957968
3682,Completed,1,NCT02958865
3683,Terminated,1,NCT02958917
3684,Completed,1,NCT02959294
3685,Completed,1,NCT02960022
3686,Completed,1,NCT02960230
3687,Terminated,1,NCT02960555
3688,Completed,1,NCT02960893
3689,Completed,1,NCT02960997
3690,Completed,1,NCT02961114
3691,Completed,1,NCT02961374
3692,Completed,1,NCT02962063
3693,Completed,1,NCT02962102
3694,Completed,1,NCT02962895
3695,Terminated,1,NCT02963090
3696,Completed,1,NCT02963493
3697,Completed,1,NCT02963831
3698,Completed,1,NCT02964078
3699,Completed,1,NCT02964507
3700,Terminated,1,NCT02964559
3701,Completed,1,NCT02964884
3702,Completed,1,NCT02965378
3703,Completed,1,NCT02965703
3704,Completed,1,NCT02965716
3705,Completed,1,NCT02965781
3706,Completed,1,NCT02965976
3707,Completed,1,NCT02966873
3708,Completed,1,NCT02967133
3709,Completed,1,NCT02967432
3710,Completed,1,NCT02968212
3711,Completed,1,NCT02968810
3712,Completed,1,NCT02969642
3713,Terminated,1,NCT02969837
3714,Completed,1,NCT02970188
3715,Completed,1,NCT02970968
3716,Completed,1,NCT02970981
3717,Completed,1,NCT02971033
3718,Completed,1,NCT02971358
3719,Terminated,1,NCT02971397
3720,Completed,1,NCT02971501
