NCTId,0,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00000413,1,0,0,0,0,0,0
NCT00000414,0,0,1,0,0,0,0
NCT00000415,1,0,0,0,0,0,0
NCT00000416,0,1,1,0,0,0,0
NCT00000417,1,0,0,0,0,0,0
NCT00000418,1,0,0,0,0,0,0
NCT00000419,1,0,0,0,0,0,0
NCT00000420,1,0,0,0,0,0,0
NCT00000421,0,1,0,0,0,1,0
NCT00000422,1,0,0,0,0,0,0
NCT00000423,1,0,0,0,0,0,0
NCT00000424,1,0,0,0,0,0,0
NCT00000425,1,0,0,0,0,0,0
NCT00000426,1,0,0,0,0,0,0
NCT00000427,1,0,0,0,0,0,0
NCT00000428,0,0,1,0,0,0,0
NCT00000429,1,0,0,0,0,0,0
NCT00000430,1,0,0,0,0,0,0
NCT00000431,0,0,1,0,0,0,0
NCT00000432,1,0,0,0,0,0,0
NCT00000433,1,0,0,0,0,0,0
NCT00000434,0,0,1,0,0,0,0
NCT00000435,0,1,0,0,0,1,0
NCT00000436,1,0,0,0,0,0,0
NCT00000437,0,1,1,0,0,1,0
NCT00000438,1,0,0,0,0,0,0
NCT00000439,0,1,0,0,0,1,0
NCT00000440,1,0,0,0,0,0,0
NCT00000441,1,0,0,0,0,0,0
NCT00000442,1,0,0,0,0,0,0
NCT00000443,1,0,0,0,0,0,0
NCT00000444,1,0,0,0,0,0,0
NCT00000445,1,0,0,0,0,0,0
NCT00000446,1,0,0,0,0,0,0
NCT00000447,1,0,0,0,0,0,0
NCT00000448,0,0,1,0,0,1,0
NCT00000449,1,0,0,0,0,0,0
NCT00000450,0,1,0,0,0,1,0
NCT00000451,0,0,1,0,0,0,0
NCT00000452,1,0,0,0,0,0,0
NCT00000454,1,0,0,0,0,0,0
NCT00000455,1,0,0,0,0,0,0
NCT00000456,1,0,0,0,0,0,0
NCT00000457,0,1,0,0,0,1,0
NCT00000458,1,0,0,0,0,0,0
NCT00000491,1,0,0,0,0,0,0
NCT00000535,1,0,0,0,0,0,0
NCT00000577,1,0,0,0,0,0,0
NCT00000579,1,0,0,0,0,0,0
NCT00000607,0,1,1,0,0,0,0
NCT00000620,0,1,1,0,0,1,0
NCT00000623,1,0,0,0,0,0,0
NCT00000625,1,0,0,0,0,0,0
NCT00000626,1,0,0,0,0,0,0
NCT00000627,1,0,0,0,0,0,0
NCT00000628,1,0,0,0,0,0,0
NCT00000629,1,0,0,0,0,0,0
NCT00000630,1,0,0,0,0,0,0
NCT00000631,1,0,0,0,0,0,0
NCT00000632,1,0,0,0,0,0,0
NCT00000633,1,0,0,0,0,0,0
NCT00000634,1,0,0,0,0,0,0
NCT00000635,1,0,0,0,0,0,0
NCT00000636,1,0,0,0,0,0,0
NCT00000637,1,0,0,0,0,0,0
NCT00000638,1,0,0,0,0,0,0
NCT00000639,1,0,0,0,0,0,0
NCT00000640,1,0,0,0,0,0,0
NCT00000641,1,0,0,0,0,0,0
NCT00000642,1,0,0,0,0,0,0
NCT00000643,1,0,0,0,0,0,0
NCT00000644,1,0,0,0,0,0,0
NCT00000645,1,0,0,0,0,0,0
NCT00000646,1,0,0,0,0,0,0
NCT00000647,1,0,0,0,0,0,0
NCT00000648,1,0,0,0,0,0,0
NCT00000649,1,0,0,0,0,0,0
NCT00000650,1,0,0,0,0,0,0
NCT00000651,1,0,0,0,0,0,0
NCT00000652,1,0,0,0,0,0,0
NCT00000653,1,0,0,0,0,0,0
NCT00000654,1,0,0,0,0,0,0
NCT00000655,1,0,0,0,0,0,0
NCT00000656,1,0,0,0,0,0,0
NCT00000657,1,0,0,0,0,0,0
NCT00000658,1,0,0,0,0,0,0
NCT00000659,1,0,0,0,0,0,0
NCT00000660,1,0,0,0,0,0,0
NCT00000661,1,0,0,0,0,0,0
NCT00000662,1,0,0,0,0,0,0
NCT00000663,1,0,0,0,0,0,0
NCT00000664,1,0,0,0,0,0,0
NCT00000665,1,0,0,0,0,0,0
NCT00000666,1,0,0,0,0,0,0
NCT00000667,1,0,0,0,0,0,0
NCT00000668,1,0,0,0,0,0,0
NCT00000669,1,0,0,0,0,0,0
NCT00000670,1,0,0,0,0,0,0
NCT00000671,1,0,0,0,0,0,0
NCT00000672,1,0,0,0,0,0,0
NCT00000673,1,0,0,0,0,0,0
NCT00000674,1,0,0,0,0,0,0
NCT00000675,1,0,0,0,0,0,0
NCT00000676,1,0,0,0,0,0,0
NCT00000677,1,0,0,0,0,0,0
NCT00000678,1,0,0,0,0,0,0
NCT00000679,1,0,0,0,0,0,0
NCT00000680,1,0,0,0,0,0,0
NCT00000681,1,0,0,0,0,0,0
NCT00000682,1,0,0,0,0,0,0
NCT00000683,1,0,0,0,0,0,0
NCT00000684,1,0,0,0,0,0,0
NCT00000685,1,0,0,0,0,0,0
NCT00000686,1,0,0,0,0,0,0
NCT00000687,1,0,0,0,0,0,0
NCT00000688,1,0,0,0,0,0,0
NCT00000689,1,0,0,0,0,0,0
NCT00000690,1,0,0,0,0,0,0
NCT00000691,1,0,0,0,0,0,0
NCT00000692,1,0,0,0,0,0,0
NCT00000693,1,0,0,0,0,0,0
NCT00000694,1,0,0,0,0,0,0
NCT00000695,1,0,0,0,0,0,0
NCT00000696,1,0,0,0,0,0,0
NCT00000698,1,0,0,0,0,0,0
NCT00000699,1,0,0,0,0,0,0
NCT00000700,1,0,0,0,0,0,0
NCT00000701,1,0,0,0,0,0,0
NCT00000702,1,0,0,0,0,0,0
NCT00000703,1,0,0,0,0,0,0
NCT00000704,1,0,0,0,0,0,0
NCT00000705,1,0,0,0,0,0,0
NCT00000706,1,0,0,0,0,0,0
NCT00000707,1,0,0,0,0,0,0
NCT00000708,1,0,0,0,0,0,0
NCT00000709,1,0,0,0,0,0,0
NCT00000710,1,0,0,0,0,0,0
NCT00000711,1,0,0,0,0,0,0
NCT00000712,1,0,0,0,0,0,0
NCT00000713,1,0,0,0,0,0,0
NCT00000714,1,0,0,0,0,0,0
NCT00000715,1,0,0,0,0,0,0
NCT00000716,1,0,0,0,0,0,0
NCT00000717,1,0,0,0,0,0,0
NCT00000718,1,0,0,0,0,0,0
NCT00000719,1,0,0,0,0,0,0
NCT00000720,1,0,0,0,0,0,0
NCT00000721,1,0,0,0,0,0,0
NCT00000722,1,0,0,0,0,0,0
NCT00000723,1,0,0,0,0,0,0
NCT00000724,1,0,0,0,0,0,0
NCT00000725,1,0,0,0,0,0,0
NCT00000726,1,0,0,0,0,0,0
NCT00000727,1,0,0,0,0,0,0
NCT00000728,1,0,0,0,0,0,0
NCT00000729,1,0,0,0,0,0,0
NCT00000730,1,0,0,0,0,0,0
NCT00000731,1,0,0,0,0,0,0
NCT00000732,1,0,0,0,0,0,0
NCT00000733,1,0,0,0,0,0,0
NCT00000734,1,0,0,0,0,0,0
NCT00000735,1,0,0,0,0,0,0
NCT00000736,1,0,0,0,0,0,0
NCT00000737,1,0,0,0,0,0,0
NCT00000738,1,0,0,0,0,0,0
NCT00000739,1,0,0,0,0,0,0
NCT00000740,1,0,0,0,0,0,0
NCT00000741,1,0,0,0,0,0,0
NCT00000742,1,0,0,0,0,0,0
NCT00000743,1,0,0,0,0,0,0
NCT00000744,1,0,0,0,0,0,0
NCT00000745,1,0,0,0,0,0,0
NCT00000746,1,0,0,0,0,0,0
NCT00000747,1,0,0,0,0,0,0
NCT00000748,1,0,0,0,0,0,0
NCT00000749,1,0,0,0,0,0,0
NCT00000750,1,0,0,0,0,0,0
NCT00000751,1,0,0,0,0,0,0
NCT00000752,1,0,0,0,0,0,0
NCT00000753,1,0,0,0,0,0,0
NCT00000754,1,0,0,0,0,0,0
NCT00000755,1,0,0,0,0,0,0
NCT00000756,1,0,0,0,0,0,0
NCT00000757,1,0,0,0,0,0,0
NCT00000758,1,0,0,0,0,0,0
NCT00000759,1,0,0,0,0,0,0
NCT00000760,1,0,0,0,0,0,0
NCT00000761,1,0,0,0,0,0,0
NCT00000762,1,0,0,0,0,0,0
NCT00000763,1,0,0,0,0,0,0
NCT00000764,1,0,0,0,0,0,0
NCT00000765,1,0,0,0,0,0,0
NCT00000766,1,0,0,0,0,0,0
NCT00000767,1,0,0,0,0,0,0
NCT00000768,1,0,0,0,0,0,0
NCT00000769,1,0,0,0,0,0,0
NCT00000770,1,0,0,0,0,0,0
NCT00000771,1,0,0,0,0,0,0
NCT00000772,1,0,0,0,0,0,0
NCT00000773,1,0,0,0,0,0,0
NCT00000774,0,0,1,0,0,1,0
NCT00000775,1,0,0,0,0,0,0
NCT00000776,1,0,0,0,0,0,0
NCT00000777,1,0,0,0,0,0,0
NCT00000778,1,0,0,0,0,0,0
NCT00000779,1,0,0,0,0,0,0
NCT00000780,1,0,0,0,0,0,0
NCT00000781,1,0,0,0,0,0,0
NCT00000782,1,0,0,0,0,0,0
NCT00000783,1,0,0,0,0,0,0
NCT00000784,1,0,0,0,0,0,0
NCT00000785,1,0,0,0,0,0,0
NCT00000787,1,0,0,0,0,0,0
NCT00000788,1,0,0,0,0,0,0
NCT00000789,1,0,0,0,0,0,0
NCT00000790,1,0,0,0,0,0,0
NCT00000791,1,0,0,0,0,0,0
NCT00000792,1,0,0,0,0,0,0
NCT00000793,1,0,0,0,0,0,0
NCT00000794,1,0,0,0,0,0,0
NCT00000795,1,0,0,0,0,0,0
NCT00000796,1,0,0,0,0,0,0
NCT00000797,1,0,0,0,0,0,0
NCT00000798,1,0,0,0,0,0,0
NCT00000799,1,0,0,0,0,0,0
NCT00000800,1,0,0,0,0,0,0
NCT00000801,1,0,0,0,0,0,0
NCT00000802,1,0,0,0,0,0,0
NCT00000803,1,0,0,0,0,0,0
NCT00000805,1,0,0,0,0,0,0
NCT00000806,1,0,0,0,0,0,0
NCT00000807,1,0,0,0,0,0,0
NCT00000808,1,0,0,0,0,0,0
NCT00000810,1,0,0,0,0,0,0
NCT00000811,1,0,0,0,0,0,0
NCT00000812,1,0,0,0,0,0,0
NCT00000813,1,0,0,0,0,0,0
NCT00000814,1,0,0,0,0,0,0
NCT00000815,0,0,1,0,0,0,0
NCT00000816,1,0,0,0,0,0,0
NCT00000817,0,0,1,0,0,0,0
NCT00000818,1,0,0,0,0,0,0
NCT00000819,1,0,0,0,0,0,0
NCT00000820,1,0,0,0,0,0,0
NCT00000821,1,0,0,0,0,0,0
NCT00000822,1,0,0,0,0,0,0
NCT00000823,1,0,0,0,0,0,0
NCT00000824,1,0,0,0,0,0,0
NCT00000825,1,0,0,0,0,0,0
NCT00000826,1,0,0,0,0,0,0
NCT00000827,1,0,0,0,0,0,0
NCT00000828,1,0,0,0,0,0,0
NCT00000829,0,0,1,0,0,1,0
NCT00000830,1,0,0,0,0,0,0
NCT00000831,1,0,0,0,0,0,0
NCT00000832,1,0,0,0,0,0,0
NCT00000833,1,0,0,0,0,0,0
NCT00000834,1,0,0,0,0,0,0
NCT00000836,1,0,0,0,0,0,0
NCT00000837,1,0,0,0,0,0,0
NCT00000838,1,0,0,0,0,0,0
NCT00000839,1,0,0,0,0,0,0
NCT00000840,1,0,0,0,0,0,0
NCT00000841,1,0,0,0,0,0,0
NCT00000842,1,0,0,0,0,0,0
NCT00000843,1,0,0,0,0,0,0
NCT00000844,1,0,0,0,0,0,0
NCT00000845,1,0,0,0,0,0,0
NCT00000846,1,0,0,0,0,0,0
NCT00000847,1,0,0,0,0,0,0
NCT00000848,1,0,0,0,0,0,0
NCT00000849,1,0,0,0,0,0,0
NCT00000850,1,0,0,0,0,0,0
NCT00000851,1,0,0,0,0,0,0
NCT00000852,1,0,0,0,0,0,0
NCT00000853,1,0,0,0,0,0,0
NCT00000854,1,0,0,0,0,0,0
NCT00000855,1,0,0,0,0,0,0
NCT00000857,1,0,0,0,0,0,0
NCT00000858,1,0,0,0,0,0,0
NCT00000859,1,0,0,0,0,0,0
NCT00000860,1,0,0,0,0,0,0
NCT00000861,1,0,0,0,0,0,0
NCT00000862,1,0,0,0,0,0,0
NCT00000863,1,0,0,0,0,0,0
NCT00000864,1,0,0,0,0,0,0
NCT00000865,1,0,0,0,0,0,0
NCT00000866,1,0,0,0,0,0,0
NCT00000867,1,0,0,0,0,0,0
NCT00000868,1,0,0,0,0,0,0
NCT00000869,1,0,0,0,0,0,0
NCT00000870,1,0,0,0,0,0,0
NCT00000871,1,0,0,0,0,0,0
NCT00000872,1,0,0,0,0,0,0
NCT00000873,1,0,0,0,0,0,0
NCT00000874,1,0,0,0,0,0,0
NCT00000875,1,0,0,0,0,0,0
NCT00000876,1,0,0,0,0,0,0
NCT00000877,1,0,0,0,0,0,0
NCT00000878,1,0,0,0,0,0,0
NCT00000879,1,0,0,0,0,0,0
NCT00000880,1,0,0,0,0,0,0
NCT00000882,1,0,0,0,0,0,0
NCT00000883,1,0,0,0,0,0,0
NCT00000884,0,0,1,0,0,0,0
NCT00000885,1,0,0,0,0,0,0
NCT00000886,1,0,0,0,0,0,0
NCT00000887,1,0,0,0,0,0,0
NCT00000888,1,0,0,0,0,0,0
NCT00000890,1,0,0,0,0,0,0
NCT00000891,1,0,0,0,0,0,0
NCT00000892,1,0,0,0,0,0,0
NCT00000893,1,0,0,0,0,0,0
NCT00000894,1,0,0,0,0,0,0
NCT00000895,1,0,0,0,0,0,0
NCT00000896,1,0,0,0,0,0,0
NCT00000897,1,0,0,0,0,0,0
NCT00000898,1,0,0,0,0,0,0
NCT00000899,1,0,0,0,0,0,0
NCT00000900,1,0,0,0,0,0,0
NCT00000901,1,0,0,0,0,0,0
NCT00000902,1,0,0,0,0,0,0
NCT00000903,1,0,0,0,0,0,0
NCT00000904,1,0,0,0,0,0,0
NCT00000905,1,0,0,0,0,0,0
NCT00000906,1,0,0,0,0,0,0
NCT00000907,1,0,0,0,0,0,0
NCT00000908,1,0,0,0,0,0,0
