NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
NCT03124251,1,0,0,0,0,0,0
NCT03123380,1,0,0,0,0,0,0
NCT03123341,1,0,0,0,0,0,0
NCT03122379,1,0,0,0,0,0,0
NCT03120702,1,0,0,0,0,0,0
NCT03100760,1,0,0,0,0,0,0
NCT03098602,1,0,0,0,0,0,0
NCT03073148,1,0,0,0,0,0,0
NCT03072186,1,0,0,0,0,0,0
NCT03066063,1,0,0,0,0,0,0
NCT03038074,1,0,0,0,0,0,0
NCT03035318,1,0,0,0,0,0,0
NCT03034902,1,0,0,0,0,0,0
NCT03021707,1,0,0,0,0,0,0
NCT03021473,1,0,0,0,0,0,0
NCT03019107,1,0,0,0,0,0,0
NCT03017742,1,0,0,0,0,0,0
NCT03003767,1,0,0,0,0,0,0
NCT02995421,1,0,0,0,0,0,0
NCT02986789,1,0,0,0,0,0,0
NCT02972892,1,0,0,0,0,0,0
NCT02970799,1,0,0,0,0,0,0
NCT02966210,1,0,0,0,0,0,0
NCT02957071,1,0,0,0,0,0,0
NCT02956928,1,0,0,0,0,0,0
NCT02948751,1,0,0,0,0,0,0
NCT02938637,1,0,0,0,0,0,0
NCT02922621,1,0,0,0,0,0,0
NCT02919566,1,0,0,0,0,0,0
NCT02918942,1,0,0,0,0,0,0
NCT02916823,1,0,0,0,0,0,0
NCT02913560,1,0,0,0,0,0,0
NCT02911376,1,0,0,0,0,0,0
NCT02910674,1,0,0,0,0,0,0
NCT02907203,1,0,0,0,0,0,0
NCT02904382,1,0,0,0,0,0,0
NCT02888626,1,0,0,0,0,0,0
NCT02872844,1,0,0,0,0,0,0
NCT02870959,1,0,0,0,0,0,0
NCT02870881,1,0,0,0,0,0,0
NCT02863796,1,0,0,0,0,0,0
NCT02863432,1,0,0,0,0,0,0
NCT02862080,1,0,0,0,0,0,0
NCT02858089,1,0,0,0,0,0,0
NCT02856490,1,0,0,0,0,0,0
NCT02849847,1,0,0,0,0,0,0
NCT02842970,1,0,0,0,0,0,0
NCT02841397,1,0,0,0,0,0,0
NCT02833571,1,0,0,0,0,0,0
NCT02811328,1,0,0,0,0,0,0
NCT02810080,1,0,0,0,0,0,0
NCT02805933,1,0,0,0,0,0,0
NCT02805777,1,0,0,0,0,0,0
NCT02800057,1,0,0,0,0,0,0
NCT02799342,1,0,0,0,0,0,0
NCT02799329,1,0,0,0,0,0,0
NCT02795689,1,0,0,0,0,0,0
NCT02787343,1,0,0,0,0,0,0
NCT02784431,1,0,0,0,0,0,0
NCT02771119,1,0,0,0,0,0,0
NCT02764580,1,0,0,0,0,0,0
NCT02761759,1,0,0,0,0,0,0
NCT02756260,1,0,0,0,0,0,0
NCT02746289,1,0,0,0,0,0,0
NCT02746120,1,0,0,0,0,0,0
NCT02719444,1,0,0,0,0,0,0
NCT02716155,1,0,0,0,0,0,0
NCT02712931,1,0,0,0,0,0,0
NCT02711254,1,0,0,0,0,0,0
NCT02699021,1,0,0,0,0,0,0
NCT02698787,1,0,0,0,0,0,0
NCT02698397,1,0,0,0,0,0,0
NCT02697604,1,0,0,0,0,0,0
NCT02686450,1,0,0,0,0,0,0
NCT02684110,1,0,0,0,0,0,0
NCT02680964,1,0,0,0,0,0,0
NCT02680860,1,0,0,0,0,0,0
NCT02662049,1,0,0,0,0,0,0
NCT02638883,1,0,0,0,0,0,0
NCT02634996,1,0,0,0,0,0,0
NCT02634554,1,0,0,0,0,0,0
NCT02634125,1,0,0,0,0,0,0
NCT02631213,1,0,0,0,0,0,0
NCT02626624,1,0,0,0,0,0,0
NCT02624739,1,0,0,0,0,0,0
NCT02622919,1,0,0,0,0,0,0
NCT02599519,1,0,0,0,0,0,0
NCT02597296,1,0,0,0,0,0,0
NCT02596464,1,0,0,0,0,0,0
NCT02579486,1,0,0,0,0,0,0
NCT02576210,1,0,0,0,0,0,0
NCT02561052,1,0,0,0,0,0,0
NCT02553395,1,0,0,0,0,0,0
NCT02548429,1,0,0,0,0,0,0
NCT02543814,1,0,0,0,0,0,0
NCT02540577,1,0,0,0,0,0,0
NCT02540564,1,0,0,0,0,0,0
NCT02535234,1,0,0,0,0,0,0
NCT02525783,1,0,0,0,0,0,0
NCT02517645,1,0,0,0,0,0,0
NCT02506400,1,0,0,0,0,0,0
NCT02495116,1,0,0,0,0,0,0
NCT02480829,1,0,0,0,0,0,0
NCT02474784,1,0,0,0,0,0,0
NCT02474771,1,0,0,0,0,0,0
NCT02474758,1,0,0,0,0,0,0
NCT02458378,1,0,0,0,0,0,0
NCT02455063,1,0,0,0,0,0,0
NCT02441634,1,0,0,0,0,0,0
NCT02436005,1,0,0,0,0,0,0
NCT02430441,1,0,0,0,0,0,0
NCT02405871,1,0,0,0,0,0,0
NCT02403167,1,0,0,0,0,0,0
NCT02396914,1,0,0,0,0,0,0
NCT02388425,1,0,0,0,0,0,0
NCT02383082,1,0,0,0,0,0,0
NCT02380716,1,0,0,0,0,0,0
NCT02380014,1,0,0,0,0,0,0
NCT02365545,1,0,0,0,0,0,0
NCT02365467,1,0,0,0,0,0,0
NCT02364375,1,0,0,0,0,0,0
NCT02353377,1,0,0,0,0,0,0
NCT02343068,1,0,0,0,0,0,0
NCT02340832,1,0,0,0,0,0,0
NCT02327598,1,0,0,0,0,0,0
