,NCTId,0-50,51-100,101-200,201-500,501-1000,1001-10000,10000plus
112,NCT00796315,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,NCT00005463,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,NCT03382418,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,NCT00054743,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,NCT00730964,0.0,0.0,0.0,0.0,0.0,1.0,0.0
117,NCT02886689,0.0,0.0,0.0,0.0,0.0,1.0,0.0
118,NCT00005455,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,NCT01150695,0.0,0.0,0.0,1.0,0.0,0.0,0.0
120,NCT00245076,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,NCT00935623,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,NCT03688126,0.0,0.0,0.0,0.0,0.0,1.0,0.0
123,NCT02053506,0.0,1.0,0.0,0.0,0.0,0.0,0.0
124,NCT03933215,0.0,0.0,1.0,0.0,0.0,0.0,0.0
125,NCT03933202,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,NCT00005171,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,NCT01256164,0.0,1.0,0.0,0.0,0.0,0.0,0.0
128,NCT03631472,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,NCT03699709,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,NCT00237263,0.0,0.0,0.0,1.0,0.0,0.0,0.0
131,NCT02939131,0.0,0.0,1.0,0.0,0.0,0.0,0.0
132,NCT03488264,0.0,0.0,1.0,0.0,0.0,0.0,0.0
133,NCT01873482,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,NCT02829073,0.0,0.0,1.0,0.0,0.0,0.0,0.0
135,NCT01369030,0.0,0.0,0.0,0.0,1.0,0.0,0.0
136,NCT01568424,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,NCT02406599,0.0,0.0,0.0,1.0,0.0,0.0,0.0
138,NCT03965195,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,NCT01368549,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,NCT01370954,0.0,0.0,0.0,1.0,0.0,0.0,0.0
141,NCT01339546,1.0,0.0,0.0,0.0,0.0,0.0,0.0
142,NCT02252159,0.0,0.0,0.0,0.0,0.0,1.0,0.0
143,NCT04072289,0.0,0.0,1.0,0.0,0.0,0.0,0.0
144,NCT04423770,0.0,0.0,0.0,0.0,0.0,1.0,0.0
145,NCT01358552,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,NCT02856646,0.0,0.0,0.0,1.0,0.0,0.0,0.0
147,NCT01940679,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,NCT02951598,0.0,0.0,0.0,0.0,0.0,1.0,0.0
149,NCT02988934,0.0,0.0,0.0,0.0,0.0,1.0,0.0
150,NCT01028300,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151,NCT01034865,0.0,0.0,0.0,0.0,1.0,0.0,0.0
152,NCT02352532,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,NCT03198793,0.0,0.0,0.0,1.0,0.0,0.0,0.0
154,NCT01112917,0.0,0.0,1.0,0.0,0.0,0.0,0.0
155,NCT01764269,0.0,0.0,0.0,0.0,1.0,0.0,0.0
156,NCT03346603,0.0,0.0,0.0,0.0,1.0,0.0,0.0
157,NCT04281290,1.0,0.0,0.0,0.0,0.0,0.0,0.0
158,NCT04601103,1.0,0.0,0.0,0.0,0.0,0.0,0.0
159,NCT04600856,1.0,0.0,0.0,0.0,0.0,0.0,0.0
160,NCT04599907,1.0,0.0,0.0,0.0,0.0,0.0,0.0
161,NCT04593875,1.0,0.0,0.0,0.0,0.0,0.0,0.0
162,NCT04589507,1.0,0.0,0.0,0.0,0.0,0.0,0.0
163,NCT04586205,1.0,0.0,0.0,0.0,0.0,0.0,0.0
164,NCT04585646,1.0,0.0,0.0,0.0,0.0,0.0,0.0
