NCTId,tb27_0,tb27_NonProbabilitySample,tb27_ProbabilitySample
NCT00000686,1,0,0
NCT00000687,1,0,0
NCT00000688,1,0,0
NCT00000689,1,0,0
NCT00000690,1,0,0
NCT00000691,1,0,0
NCT00000692,1,0,0
NCT00000693,1,0,0
NCT00000694,1,0,0
NCT00000695,1,0,0
NCT00000696,1,0,0
NCT00000698,1,0,0
NCT00000699,1,0,0
NCT00000700,1,0,0
NCT00000701,1,0,0
NCT00000702,1,0,0
NCT00000703,1,0,0
NCT00000704,1,0,0
NCT00000705,1,0,0
NCT00000706,1,0,0
NCT00000707,1,0,0
NCT00000708,1,0,0
NCT00000709,1,0,0
NCT00000710,1,0,0
NCT00000711,1,0,0
NCT00000712,1,0,0
NCT00000713,1,0,0
NCT00000714,1,0,0
NCT00000715,1,0,0
NCT00000716,1,0,0
NCT00000717,1,0,0
NCT00000718,1,0,0
NCT00000719,1,0,0
NCT00000720,1,0,0
NCT00000721,1,0,0
NCT00000722,1,0,0
NCT00000723,1,0,0
NCT00000724,1,0,0
NCT00000725,1,0,0
NCT00000726,1,0,0
NCT00000727,1,0,0
NCT00000728,1,0,0
NCT00000729,1,0,0
NCT00000730,1,0,0
NCT00000731,1,0,0
NCT00000732,1,0,0
NCT00000733,1,0,0
NCT00000734,1,0,0
NCT00000735,1,0,0
NCT00000736,1,0,0
NCT00000737,1,0,0
NCT00000738,1,0,0
NCT00000739,1,0,0
NCT00000740,1,0,0
NCT00000741,1,0,0
NCT00000742,1,0,0
NCT00000743,1,0,0
NCT00000744,1,0,0
NCT00000745,1,0,0
NCT00000746,1,0,0
NCT00000747,1,0,0
NCT00000748,1,0,0
NCT00000749,1,0,0
NCT00000750,1,0,0
NCT00000751,1,0,0
NCT00000752,1,0,0
NCT00000753,1,0,0
NCT00000754,1,0,0
NCT00000755,1,0,0
NCT00000756,1,0,0
NCT00000757,1,0,0
NCT00000758,1,0,0
NCT00000759,1,0,0
NCT00000760,1,0,0
NCT00000761,1,0,0
NCT00000762,1,0,0
NCT00000763,1,0,0
NCT00000764,1,0,0
NCT00000765,1,0,0
NCT00000766,1,0,0
NCT00000767,1,0,0
NCT00000768,1,0,0
NCT00000769,1,0,0
NCT00000770,1,0,0
NCT00000771,1,0,0
NCT00000772,1,0,0
NCT00000773,1,0,0
NCT00000774,1,0,0
NCT00000775,1,0,0
NCT00000776,1,0,0
NCT00000777,1,0,0
NCT00000778,1,0,0
NCT00000779,1,0,0
NCT00000780,1,0,0
NCT00000781,1,0,0
NCT00000782,1,0,0
NCT00000783,0,1,0
NCT00000784,0,1,0
NCT00000785,0,1,0
NCT00000787,1,0,0
NCT00000788,1,0,0
