,NCTId,CollaboratorClass
1654,NCT00889772,UNKNOWN
6238,NCT02503319,UNKNOWN
5477,NCT02926040,UNKNOWN
7476,NCT03432325,UNKNOWN
4770,NCT00915681,UNKNOWN
7751,NCT03529695,UNKNOWN
4752,NCT01191411,UNKNOWN
7843,NCT04345393,UNKNOWN
7861,NCT03862963,UNKNOWN
6229,NCT04562012,UNKNOWN
7752,NCT04312334,UNKNOWN
6215,NCT03787485,UNKNOWN
3196,NCT03680365,UNKNOWN
3196,NCT03680365,UNKNOWN
3196,NCT03680365,UNKNOWN
3196,NCT03680365,UNKNOWN
6215,NCT03787485,UNKNOWN
8978,NCT04608773,UNKNOWN
6215,NCT03787485,UNKNOWN
6215,NCT03787485,UNKNOWN
6215,NCT03787485,UNKNOWN
4404,NCT04266821,UNKNOWN
8982,NCT04605965,UNKNOWN
4372,NCT03483805,UNKNOWN
6262,NCT01769612,UNKNOWN
4747,NCT04236271,UNKNOWN
1629,NCT01809639,UNKNOWN
9212,NCT04388319,UNKNOWN
4365,NCT04418856,UNKNOWN
4372,NCT03483805,UNKNOWN
3220,NCT02121132,UNKNOWN
3220,NCT02121132,UNKNOWN
5443,NCT00391365,UNKNOWN
3220,NCT02121132,UNKNOWN
3220,NCT02121132,UNKNOWN
4791,NCT04335331,UNKNOWN
3220,NCT02121132,UNKNOWN
5443,NCT00391365,UNKNOWN
1014,NCT01599624,UNKNOWN
1016,NCT00978484,UNKNOWN
9268,NCT04341311,UNKNOWN
4791,NCT04335331,UNKNOWN
6281,NCT00337181,UNKNOWN
3220,NCT02121132,UNKNOWN
7747,NCT01624337,UNKNOWN
8572,NCT02189876,UNKNOWN
9218,NCT04382963,UNKNOWN
4408,NCT04334707,UNKNOWN
3220,NCT02121132,UNKNOWN
3220,NCT02121132,UNKNOWN
9260,NCT04344457,UNKNOWN
3220,NCT02121132,UNKNOWN
7481,NCT03822611,UNKNOWN
5928,NCT01672541,UNKNOWN
1723,NCT03520426,UNKNOWN
3427,NCT02833922,UNKNOWN
7896,NCT03124277,UNKNOWN
5393,NCT03438682,UNKNOWN
5876,NCT02139397,UNKNOWN
3105,NCT04079582,UNKNOWN
2525,NCT04029220,UNKNOWN
2525,NCT04029220,UNKNOWN
2525,NCT04029220,UNKNOWN
4234,NCT03521817,UNKNOWN
7728,NCT03916796,UNKNOWN
7764,NCT01138917,UNKNOWN
4234,NCT03521817,UNKNOWN
8253,NCT02812147,UNKNOWN
