,NCTId,CollaboratorClass
7997,NCT02132650,OTHER
3897,NCT04142723,OTHER
3897,NCT04142723,OTHER
3872,NCT01751451,OTHER
3897,NCT04142723,OTHER
3872,NCT01751451,OTHER
3872,NCT01751451,OTHER
3872,NCT01751451,OTHER
8016,NCT02293824,OTHER
3968,NCT04023604,OTHER
8014,NCT03176004,OTHER
8013,NCT02193984,OTHER
8013,NCT02193984,OTHER
3968,NCT04023604,OTHER
3881,NCT01565863,OTHER
8011,NCT03896165,OTHER
3963,NCT03495284,OTHER
8009,NCT04026295,OTHER
3885,NCT03146897,OTHER
3885,NCT03146897,OTHER
3885,NCT03146897,OTHER
3961,NCT03260920,OTHER
3887,NCT02957799,OTHER
3961,NCT03260920,OTHER
3889,NCT00444301,OTHER
3890,NCT03789591,OTHER
8009,NCT04026295,OTHER
3893,NCT04589819,OTHER
3894,NCT04296344,OTHER
3894,NCT04296344,OTHER
3894,NCT04296344,OTHER
8008,NCT03701711,OTHER
3838,NCT00637689,OTHER
3838,NCT00637689,OTHER
3690,NCT04468776,OTHER
3723,NCT02057705,OTHER
3726,NCT01519999,OTHER
8081,NCT02371317,OTHER
8081,NCT02371317,OTHER
7944,NCT00365105,OTHER
3732,NCT03059004,OTHER
3732,NCT03059004,OTHER
3732,NCT03059004,OTHER
3732,NCT03059004,OTHER
3732,NCT03059004,OTHER
3734,NCT02814552,OTHER
4049,NCT03031457,OTHER
3736,NCT02391948,OTHER
4047,NCT03504826,OTHER
8076,NCT02967016,OTHER
7946,NCT01376349,OTHER
4044,NCT02757937,OTHER
3743,NCT04461353,OTHER
3746,NCT02987257,OTHER
3746,NCT02987257,OTHER
8070,NCT03555331,OTHER
8070,NCT03555331,OTHER
3751,NCT03418870,OTHER
3751,NCT03418870,OTHER
3751,NCT03418870,OTHER
8070,NCT03555331,OTHER
8067,NCT04332172,OTHER
3759,NCT03966755,OTHER
3726,NCT01519999,OTHER
3723,NCT02057705,OTHER
4033,NCT00004342,OTHER
3722,NCT01346527,OTHER
3690,NCT04468776,OTHER
8101,NCT03887793,OTHER
4070,NCT00939380,OTHER
4070,NCT00939380,OTHER
4070,NCT00939380,OTHER
3695,NCT03107468,OTHER
3695,NCT03107468,OTHER
8098,NCT03582566,OTHER
4070,NCT00939380,OTHER
4070,NCT00939380,OTHER
4067,NCT00761813,OTHER
4067,NCT00761813,OTHER
3701,NCT01742117,OTHER
8094,NCT02825771,OTHER
8091,NCT02337296,OTHER
4065,NCT01714323,OTHER
8091,NCT02337296,OTHER
8091,NCT02337296,OTHER
8090,NCT02036905,OTHER
4065,NCT01714323,OTHER
3711,NCT01733394,OTHER
3711,NCT01733394,OTHER
8088,NCT03893708,OTHER
4061,NCT00835120,OTHER
8087,NCT02571478,OTHER
8086,NCT00936390,OTHER
8084,NCT02858778,OTHER
8067,NCT04332172,OTHER
8065,NCT00599599,OTHER
3838,NCT00637689,OTHER
4005,NCT04435873,OTHER
8048,NCT02763150,OTHER
8047,NCT02113514,OTHER
8046,NCT01898299,OTHER
3804,NCT04482699,OTHER
8043,NCT01337232,OTHER
7965,NCT02865187,OTHER
3994,NCT01196429,OTHER
3993,NCT03683394,OTHER
3811,NCT01823341,OTHER
8039,NCT03771417,OTHER
8038,NCT02407093,OTHER
8037,NCT02077907,OTHER
8037,NCT02077907,OTHER
8037,NCT02077907,OTHER
8036,NCT01505257,OTHER
8036,NCT01505257,OTHER
7969,NCT03341858,OTHER
8036,NCT01505257,OTHER
7969,NCT03341858,OTHER
3829,NCT04450966,OTHER
3829,NCT04450966,OTHER
3830,NCT01123577,OTHER
3830,NCT01123577,OTHER
3982,NCT00097123,OTHER
3982,NCT00097123,OTHER
3982,NCT00097123,OTHER
8033,NCT03625570,OTHER
8049,NCT01408147,OTHER
3798,NCT02096432,OTHER
3767,NCT04583072,OTHER
8050,NCT03389750,OTHER
3767,NCT04583072,OTHER
4030,NCT03603496,OTHER
4030,NCT03603496,OTHER
3771,NCT03339245,OTHER
8062,NCT01959217,OTHER
7958,NCT03991182,OTHER
8060,NCT02103660,OTHER
4019,NCT02293655,OTHER
7958,NCT03991182,OTHER
4016,NCT02568618,OTHER
8058,NCT04464993,OTHER
7959,NCT03343158,OTHER
3783,NCT02752282,OTHER
3783,NCT02752282,OTHER
3784,NCT01713777,OTHER
3784,NCT01713777,OTHER
4013,NCT02167022,OTHER
8054,NCT01147614,OTHER
8054,NCT01147614,OTHER
8053,NCT02144649,OTHER
7959,NCT03343158,OTHER
3792,NCT00893815,OTHER
4011,NCT04040881,OTHER
3792,NCT00893815,OTHER
8052,NCT02864160,OTHER
8051,NCT02251743,OTHER
4007,NCT03064932,OTHER
3412,NCT04408352,OTHER
8237,NCT04363450,OTHER
2870,NCT01248208,OTHER
4489,NCT04245124,OTHER
7817,NCT03376633,OTHER
4494,NCT00883792,OTHER
4494,NCT00883792,OTHER
4494,NCT00883792,OTHER
3037,NCT00135733,OTHER
3037,NCT00135733,OTHER
4494,NCT00883792,OTHER
4494,NCT00883792,OTHER
8410,NCT00484640,OTHER
3040,NCT02924194,OTHER
4494,NCT00883792,OTHER
4494,NCT00883792,OTHER
3044,NCT00391352,OTHER
8408,NCT01324999,OTHER
8237,NCT04363450,OTHER
8407,NCT02708069,OTHER
7817,NCT03376633,OTHER
7817,NCT03376633,OTHER
8406,NCT04372823,OTHER
8405,NCT03781154,OTHER
8405,NCT03781154,OTHER
7817,NCT03376633,OTHER
8404,NCT00361075,OTHER
8403,NCT00458211,OTHER
8403,NCT00458211,OTHER
7818,NCT03208686,OTHER
7818,NCT03208686,OTHER
4473,NCT03284372,OTHER
3031,NCT01129570,OTHER
8413,NCT02342795,OTHER
3028,NCT00208832,OTHER
7817,NCT03376633,OTHER
3005,NCT03348345,OTHER
7809,NCT01495923,OTHER
4511,NCT03593330,OTHER
4511,NCT03593330,OTHER
4510,NCT00211991,OTHER
7813,NCT02216123,OTHER
3015,NCT02035826,OTHER
3015,NCT02035826,OTHER
4501,NCT00097292,OTHER
8416,NCT02874989,OTHER
4501,NCT00097292,OTHER
8416,NCT02874989,OTHER
3021,NCT01097785,OTHER
4499,NCT02398942,OTHER
4499,NCT02398942,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
3025,NCT02591381,OTHER
4499,NCT02398942,OTHER
4471,NCT04557241,OTHER
8401,NCT00599794,OTHER
4469,NCT00570297,OTHER
4461,NCT00132249,OTHER
3111,NCT00937963,OTHER
3112,NCT02366286,OTHER
8377,NCT01891383,OTHER
4439,NCT01843491,OTHER
4436,NCT01994525,OTHER
8375,NCT01626417,OTHER
4436,NCT01994525,OTHER
8374,NCT02973594,OTHER
7835,NCT02182180,OTHER
7835,NCT02182180,OTHER
3121,NCT03882957,OTHER
8374,NCT02973594,OTHER
7835,NCT02182180,OTHER
8373,NCT03929939,OTHER
8373,NCT03929939,OTHER
8371,NCT03249103,OTHER
4413,NCT02551666,OTHER
3132,NCT02148445,OTHER
8369,NCT01096628,OTHER
4413,NCT02551666,OTHER
8368,NCT02366754,OTHER
8367,NCT03774186,OTHER
8367,NCT03774186,OTHER
3139,NCT02722278,OTHER
8366,NCT04548596,OTHER
4409,NCT02430792,OTHER
3142,NCT04131504,OTHER
7829,NCT02711267,OTHER
8380,NCT03458013,OTHER
7820,NCT01352637,OTHER
4461,NCT00132249,OTHER
7820,NCT01352637,OTHER
4466,NCT04395781,OTHER
8400,NCT02309580,OTHER
3071,NCT03982511,OTHER
8397,NCT02037568,OTHER
4466,NCT04395781,OTHER
8395,NCT03921242,OTHER
4466,NCT04395781,OTHER
4466,NCT04395781,OTHER
8393,NCT02808598,OTHER
3084,NCT04533607,OTHER
3084,NCT04533607,OTHER
8391,NCT02860442,OTHER
3086,NCT02153814,OTHER
3087,NCT01665677,OTHER
8391,NCT02860442,OTHER
8391,NCT02860442,OTHER
8390,NCT00496483,OTHER
4466,NCT04395781,OTHER
8768,NCT02559869,OTHER
8387,NCT00504023,OTHER
4466,NCT04395781,OTHER
4466,NCT04395781,OTHER
4466,NCT04395781,OTHER
4461,NCT00132249,OTHER
4461,NCT00132249,OTHER
4461,NCT00132249,OTHER
3005,NCT03348345,OTHER
4513,NCT01782053,OTHER
4514,NCT00396162,OTHER
2902,NCT02790502,OTHER
2906,NCT02988245,OTHER
2906,NCT02988245,OTHER
2907,NCT00123786,OTHER
2909,NCT01004952,OTHER
2909,NCT01004952,OTHER
2909,NCT01004952,OTHER
4569,NCT03853304,OTHER
2912,NCT00381992,OTHER
2913,NCT01625923,OTHER
7801,NCT03461120,OTHER
8457,NCT02621944,OTHER
7801,NCT03461120,OTHER
4561,NCT01144767,OTHER
8455,NCT00496366,OTHER
2920,NCT00169754,OTHER
2923,NCT01407146,OTHER
4557,NCT01672060,OTHER
8453,NCT01032590,OTHER
4557,NCT01672060,OTHER
4557,NCT01672060,OTHER
8452,NCT02295540,OTHER
2930,NCT03399500,OTHER
4557,NCT01672060,OTHER
4555,NCT01747889,OTHER
4555,NCT01747889,OTHER
4555,NCT01747889,OTHER
2933,NCT01510418,OTHER
7797,NCT00198822,OTHER
8461,NCT00566670,OTHER
4553,NCT01029483,OTHER
2900,NCT04317924,OTHER
2870,NCT01248208,OTHER
2870,NCT01248208,OTHER
2870,NCT01248208,OTHER
8470,NCT00731588,OTHER
7783,NCT04201613,OTHER
4610,NCT03640312,OTHER
4610,NCT03640312,OTHER
2875,NCT01625546,OTHER
2875,NCT01625546,OTHER
4606,NCT04092530,OTHER
7787,NCT03325062,OTHER
7787,NCT03325062,OTHER
7791,NCT02058342,OTHER
8464,NCT00581295,OTHER
4597,NCT03655587,OTHER
8463,NCT01244568,OTHER
8462,NCT03900754,OTHER
4592,NCT00580944,OTHER
4589,NCT03710694,OTHER
7795,NCT02260856,OTHER
2893,NCT01288534,OTHER
2893,NCT01288534,OTHER
2893,NCT01288534,OTHER
4586,NCT01728571,OTHER
7795,NCT02260856,OTHER
4580,NCT03073291,OTHER
2899,NCT04090879,OTHER
4554,NCT01684722,OTHER
2937,NCT01128374,OTHER
8426,NCT00462683,OTHER
8434,NCT03885232,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2982,NCT02524366,OTHER
2983,NCT03927742,OTHER
2983,NCT03927742,OTHER
8434,NCT03885232,OTHER
8434,NCT03885232,OTHER
2986,NCT01239095,OTHER
8434,NCT03885232,OTHER
8433,NCT01552213,OTHER
4529,NCT00731497,OTHER
4528,NCT04607642,OTHER
4528,NCT04607642,OTHER
7805,NCT01927523,OTHER
7805,NCT01927523,OTHER
4525,NCT01273077,OTHER
4525,NCT01273077,OTHER
4525,NCT01273077,OTHER
7809,NCT01495923,OTHER
8434,NCT03885232,OTHER
4533,NCT02972515,OTHER
7804,NCT00860470,OTHER
7805,NCT01927523,OTHER
2939,NCT04011748,OTHER
2939,NCT04011748,OTHER
8449,NCT03937687,OTHER
4546,NCT03671785,OTHER
7804,NCT00860470,OTHER
2945,NCT03843437,OTHER
7804,NCT00860470,OTHER
8446,NCT04357964,OTHER
4543,NCT01864564,OTHER
2950,NCT03680495,OTHER
4541,NCT02366234,OTHER
4541,NCT02366234,OTHER
8442,NCT01135095,OTHER
8442,NCT01135095,OTHER
4541,NCT02366234,OTHER
7805,NCT01927523,OTHER
2960,NCT02307565,OTHER
4538,NCT01524705,OTHER
4538,NCT01524705,OTHER
8440,NCT04247555,OTHER
8440,NCT04247555,OTHER
8439,NCT02511301,OTHER
8439,NCT02511301,OTHER
4538,NCT01524705,OTHER
8437,NCT00679289,OTHER
8437,NCT00679289,OTHER
4537,NCT03890497,OTHER
3145,NCT00308620,OTHER
8365,NCT00947206,OTHER
4409,NCT02430792,OTHER
4294,NCT02109198,OTHER
7885,NCT03944395,OTHER
8300,NCT00917007,OTHER
3294,NCT01416467,OTHER
7886,NCT03880006,OTHER
4281,NCT04278183,OTHER
3299,NCT03889418,OTHER
3299,NCT03889418,OTHER
8296,NCT00529308,OTHER
7887,NCT03371186,OTHER
8294,NCT03280836,OTHER
4278,NCT03175640,OTHER
4278,NCT03175640,OTHER
3304,NCT00556842,OTHER
3304,NCT00556842,OTHER
4278,NCT03175640,OTHER
8291,NCT00760279,OTHER
4276,NCT04398901,OTHER
3313,NCT03781115,OTHER
8286,NCT03817931,OTHER
7889,NCT02383602,OTHER
7890,NCT02271074,OTHER
7890,NCT02271074,OTHER
3323,NCT01812824,OTHER
7890,NCT02271074,OTHER
4256,NCT00391664,OTHER
7891,NCT02071563,OTHER
7891,NCT02071563,OTHER
4293,NCT02125591,OTHER
8306,NCT04567394,OTHER
8276,NCT02929485,OTHER
8307,NCT04208685,OTHER
4329,NCT00683085,OTHER
3252,NCT01070082,OTHER
8319,NCT04514471,OTHER
7869,NCT01687153,OTHER
4327,NCT03653195,OTHER
7872,NCT04027218,OTHER
8318,NCT04362189,OTHER
3262,NCT03077945,OTHER
8316,NCT02037750,OTHER
8315,NCT03637972,OTHER
3266,NCT04063813,OTHER
7875,NCT02017548,OTHER
3267,NCT00911820,OTHER
3267,NCT00911820,OTHER
4315,NCT01170676,OTHER
4315,NCT01170676,OTHER
8314,NCT03404219,OTHER
3270,NCT01492257,OTHER
3270,NCT01492257,OTHER
7880,NCT03511443,OTHER
7880,NCT03511443,OTHER
8312,NCT00004375,OTHER
8311,NCT04097353,OTHER
8310,NCT03482440,OTHER
8308,NCT02429479,OTHER
4305,NCT02304263,OTHER
4304,NCT03945162,OTHER
8277,NCT00941876,OTHER
4250,NCT01617161,OTHER
3250,NCT00540540,OTHER
7896,NCT03124277,OTHER
8254,NCT01250938,OTHER
8254,NCT01250938,OTHER
8252,NCT01417286,OTHER
8251,NCT01649947,OTHER
3383,NCT04381481,OTHER
7896,NCT03124277,OTHER
4231,NCT03172962,OTHER
7898,NCT03884816,OTHER
8248,NCT02637427,OTHER
8248,NCT02637427,OTHER
8248,NCT02637427,OTHER
8247,NCT02688192,OTHER
3393,NCT02116712,OTHER
3393,NCT02116712,OTHER
3394,NCT04413708,OTHER
3394,NCT04413708,OTHER
3394,NCT04413708,OTHER
3395,NCT03643783,OTHER
8246,NCT03028948,OTHER
4222,NCT01074151,OTHER
8245,NCT03112720,OTHER
4220,NCT02245178,OTHER
4220,NCT02245178,OTHER
4220,NCT02245178,OTHER
4220,NCT02245178,OTHER
4220,NCT02245178,OTHER
4220,NCT02245178,OTHER
8255,NCT01100268,OTHER
8257,NCT03634397,OTHER
4250,NCT01617161,OTHER
8257,NCT03634397,OTHER
4250,NCT01617161,OTHER
8272,NCT00874575,OTHER
8272,NCT00874575,OTHER
4250,NCT01617161,OTHER
4250,NCT01617161,OTHER
3342,NCT00700804,OTHER
8270,NCT03170700,OTHER
8270,NCT03170700,OTHER
4250,NCT01617161,OTHER
8269,NCT04117022,OTHER
8269,NCT04117022,OTHER
4250,NCT01617161,OTHER
8267,NCT03917979,OTHER
8266,NCT03584945,OTHER
4250,NCT01617161,OTHER
8265,NCT03872856,OTHER
4250,NCT01617161,OTHER
7892,NCT01389219,OTHER
8260,NCT00515177,OTHER
3359,NCT03736603,OTHER
8259,NCT00514449,OTHER
8259,NCT00514449,OTHER
8258,NCT00067353,OTHER
3364,NCT01864057,OTHER
8258,NCT00067353,OTHER
8258,NCT00067353,OTHER
4242,NCT00000173,OTHER
3250,NCT00540540,OTHER
3249,NCT04067804,OTHER
4409,NCT02430792,OTHER
8350,NCT02558855,OTHER
4408,NCT04334707,OTHER
8348,NCT01527617,OTHER
3181,NCT02266251,OTHER
3181,NCT02266251,OTHER
3181,NCT02266251,OTHER
7842,NCT01615237,OTHER
4405,NCT00734539,OTHER
8346,NCT03848312,OTHER
8345,NCT02349555,OTHER
8345,NCT02349555,OTHER
8344,NCT04427527,OTHER
3188,NCT01088438,OTHER
8343,NCT03737318,OTHER
8343,NCT03737318,OTHER
8342,NCT00713050,OTHER
3194,NCT01379287,OTHER
7843,NCT04345393,OTHER
3196,NCT03680365,OTHER
7843,NCT04345393,OTHER
4397,NCT04569344,OTHER
4397,NCT04569344,OTHER
4392,NCT02344576,OTHER
7849,NCT00616083,OTHER
4388,NCT00221416,OTHER
4385,NCT02351544,OTHER
8341,NCT02955537,OTHER
8341,NCT02955537,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4385,NCT02351544,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
3149,NCT00399880,OTHER
3150,NCT01673789,OTHER
3151,NCT02319174,OTHER
8362,NCT01783327,OTHER
8361,NCT02541032,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
3157,NCT02619773,OTHER
4408,NCT04334707,OTHER
3159,NCT00251290,OTHER
3159,NCT00251290,OTHER
4408,NCT04334707,OTHER
8358,NCT00007527,OTHER
4408,NCT04334707,OTHER
3162,NCT02190266,OTHER
4408,NCT04334707,OTHER
8357,NCT01196169,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
8353,NCT00704912,OTHER
4408,NCT04334707,OTHER
4408,NCT04334707,OTHER
4385,NCT02351544,OTHER
8340,NCT04254562,OTHER
7869,NCT01687153,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
7860,NCT04465708,OTHER
7860,NCT04465708,OTHER
7861,NCT03862963,OTHER
3227,NCT00578877,OTHER
4354,NCT01588938,OTHER
8327,NCT04369742,OTHER
3231,NCT03278990,OTHER
3231,NCT03278990,OTHER
4350,NCT02702479,OTHER
8326,NCT03206775,OTHER
3235,NCT00906984,OTHER
4350,NCT02702479,OTHER
4347,NCT03502278,OTHER
4347,NCT03502278,OTHER
3240,NCT01099384,OTHER
8322,NCT01219647,OTHER
8321,NCT01637129,OTHER
3244,NCT02713321,OTHER
3244,NCT02713321,OTHER
3244,NCT02713321,OTHER
3244,NCT02713321,OTHER
8320,NCT01657422,OTHER
7867,NCT00933270,OTHER
4335,NCT01589939,OTHER
7869,NCT01687153,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
4382,NCT04139187,OTHER
3220,NCT02121132,OTHER
7849,NCT00616083,OTHER
7849,NCT00616083,OTHER
7849,NCT00616083,OTHER
4378,NCT02372175,OTHER
3211,NCT03615950,OTHER
4374,NCT02441998,OTHER
3213,NCT02944877,OTHER
8334,NCT04060030,OTHER
8334,NCT04060030,OTHER
8334,NCT04060030,OTHER
4372,NCT03483805,OTHER
8333,NCT01928719,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
3220,NCT02121132,OTHER
8768,NCT02559869,OTHER
2072,NCT00661128,OTHER
8768,NCT02559869,OTHER
9362,NCT04262180,OTHER
9383,NCT04242277,OTHER
7435,NCT02656017,OTHER
9380,NCT04246996,OTHER
9379,NCT04247828,OTHER
6417,NCT00999804,OTHER
6414,NCT01418014,OTHER
9371,NCT04254666,OTHER
9371,NCT04254666,OTHER
6412,NCT03783702,OTHER
6412,NCT03783702,OTHER
6412,NCT03783702,OTHER
9363,NCT04260048,OTHER
6412,NCT03783702,OTHER
6412,NCT03783702,OTHER
7442,NCT02236078,OTHER
9357,NCT04264897,OTHER
9357,NCT04264897,OTHER
6405,NCT01083654,OTHER
9355,NCT04268745,OTHER
9354,NCT04269161,OTHER
6404,NCT01491919,OTHER
6400,NCT02112058,OTHER
6400,NCT02112058,OTHER
7440,NCT02215200,OTHER
9345,NCT04276805,OTHER
9344,NCT04278157,OTHER
7440,NCT02215200,OTHER
7440,NCT02215200,OTHER
6421,NCT04408105,OTHER
9384,NCT04242186,OTHER
9384,NCT04242186,OTHER
6422,NCT03872895,OTHER
6444,NCT01098279,OTHER
9412,NCT04226092,OTHER
9409,NCT04228055,OTHER
6440,NCT00549796,OTHER
6440,NCT00549796,OTHER
9405,NCT04232124,OTHER
9405,NCT04232124,OTHER
6439,NCT02601820,OTHER
6437,NCT00032448,OTHER
6433,NCT03400436,OTHER
9401,NCT04233671,OTHER
7434,NCT01628718,OTHER
9399,NCT04235686,OTHER
7434,NCT01628718,OTHER
7434,NCT01628718,OTHER
6427,NCT03756545,OTHER
6427,NCT03756545,OTHER
6426,NCT04306705,OTHER
6426,NCT04306705,OTHER
6426,NCT04306705,OTHER
9389,NCT04240756,OTHER
9389,NCT04240756,OTHER
9389,NCT04240756,OTHER
7435,NCT02656017,OTHER
6424,NCT00021814,OTHER
7435,NCT02656017,OTHER
6422,NCT03872895,OTHER
6395,NCT03857672,OTHER
9335,NCT04285814,OTHER
1010,NCT02641158,OTHER
9280,NCT04330482,OTHER
6343,NCT02665520,OTHER
6341,NCT03795532,OTHER
6340,NCT03795545,OTHER
7456,NCT04360681,OTHER
7457,NCT02791945,OTHER
9291,NCT04320381,OTHER
6330,NCT03332563,OTHER
9288,NCT04322448,OTHER
6330,NCT03332563,OTHER
6330,NCT03332563,OTHER
6330,NCT03332563,OTHER
9283,NCT04329832,OTHER
7458,NCT01672710,OTHER
7458,NCT01672710,OTHER
7444,NCT02045511,OTHER
9275,NCT04334382,OTHER
9275,NCT04334382,OTHER
6308,NCT04225598,OTHER
6308,NCT04225598,OTHER
1002,NCT01686282,OTHER
6308,NCT04225598,OTHER
6308,NCT04225598,OTHER
6308,NCT04225598,OTHER
6308,NCT04225598,OTHER
1007,NCT03463577,OTHER
1008,NCT00350077,OTHER
7459,NCT00007722,OTHER
1010,NCT02641158,OTHER
7450,NCT01487434,OTHER
6351,NCT01892397,OTHER
9300,NCT04315883,OTHER
6351,NCT01892397,OTHER
7445,NCT04533464,OTHER
6380,NCT01266122,OTHER
9329,NCT04292600,OTHER
9329,NCT04292600,OTHER
6376,NCT02133469,OTHER
9326,NCT04294043,OTHER
6373,NCT04396717,OTHER
9323,NCT04295135,OTHER
9323,NCT04295135,OTHER
9323,NCT04295135,OTHER
9321,NCT04298281,OTHER
9321,NCT04298281,OTHER
9319,NCT04300478,OTHER
6363,NCT03832049,OTHER
6356,NCT04584554,OTHER
6352,NCT02626611,OTHER
6352,NCT02626611,OTHER
9310,NCT04305743,OTHER
6352,NCT02626611,OTHER
6352,NCT02626611,OTHER
9307,NCT04307004,OTHER
6352,NCT02626611,OTHER
6352,NCT02626611,OTHER
6351,NCT01892397,OTHER
9303,NCT04313400,OTHER
6351,NCT01892397,OTHER
6351,NCT01892397,OTHER
9413,NCT04226027,OTHER
9414,NCT04225585,OTHER
9419,NCT04221594,OTHER
7413,NCT04060017,OTHER
6548,NCT02889640,OTHER
6548,NCT02889640,OTHER
6548,NCT02889640,OTHER
6548,NCT02889640,OTHER
9519,NCT04118153,OTHER
9519,NCT04118153,OTHER
9518,NCT04118998,OTHER
9517,NCT04119024,OTHER
6547,NCT03539315,OTHER
7401,NCT01670708,OTHER
6535,NCT00337688,OTHER
7408,NCT03329404,OTHER
7413,NCT04060017,OTHER
6519,NCT03820921,OTHER
9419,NCT04221594,OTHER
9504,NCT04128995,OTHER
9503,NCT04129060,OTHER
7415,NCT00350714,OTHER
6513,NCT01205178,OTHER
7415,NCT00350714,OTHER
6511,NCT02597881,OTHER
9496,NCT04137536,OTHER
6511,NCT02597881,OTHER
9494,NCT04142229,OTHER
9494,NCT04142229,OTHER
6511,NCT02597881,OTHER
6510,NCT02691247,OTHER
6510,NCT02691247,OTHER
9525,NCT04113746,OTHER
7400,NCT03395028,OTHER
9532,NCT04107610,OTHER
9532,NCT04107610,OTHER
6590,NCT01158950,OTHER
9560,NCT04088175,OTHER
9556,NCT04090359,OTHER
9555,NCT04090528,OTHER
7386,NCT02553148,OTHER
6573,NCT03259386,OTHER
6569,NCT00525837,OTHER
9549,NCT04092101,OTHER
6566,NCT04306549,OTHER
6566,NCT04306549,OTHER
9548,NCT04092387,OTHER
6565,NCT02676479,OTHER
9547,NCT04092777,OTHER
7398,NCT01725152,OTHER
6557,NCT02349945,OTHER
6557,NCT02349945,OTHER
9542,NCT04096937,OTHER
6557,NCT02349945,OTHER
9541,NCT04097717,OTHER
9541,NCT04097717,OTHER
9540,NCT04098744,OTHER
9540,NCT04098744,OTHER
6557,NCT02349945,OTHER
9538,NCT04103385,OTHER
6557,NCT02349945,OTHER
9536,NCT04103931,OTHER
9533,NCT04104737,OTHER
7415,NCT00350714,OTHER
6508,NCT04419948,OTHER
6508,NCT04419948,OTHER
6481,NCT02875535,OTHER
6479,NCT02050789,OTHER
9447,NCT04196374,OTHER
9447,NCT04196374,OTHER
9447,NCT04196374,OTHER
9447,NCT04196374,OTHER
6479,NCT02050789,OTHER
7423,NCT03276572,OTHER
9443,NCT04203225,OTHER
9442,NCT04203381,OTHER
9441,NCT04204434,OTHER
6469,NCT02381054,OTHER
6469,NCT02381054,OTHER
9437,NCT04207437,OTHER
9436,NCT04207567,OTHER
6469,NCT02381054,OTHER
9430,NCT04211506,OTHER
6469,NCT02381054,OTHER
6466,NCT01850940,OTHER
7425,NCT01454154,OTHER
6458,NCT01098292,OTHER
9424,NCT04218370,OTHER
9422,NCT04219280,OTHER
9421,NCT04219397,OTHER
9421,NCT04219397,OTHER
9420,NCT04220190,OTHER
9420,NCT04220190,OTHER
9419,NCT04221594,OTHER
6479,NCT02050789,OTHER
9451,NCT04192227,OTHER
7415,NCT00350714,OTHER
6481,NCT02875535,OTHER
6504,NCT00840658,OTHER
9485,NCT04149249,OTHER
9484,NCT04150848,OTHER
6504,NCT00840658,OTHER
6504,NCT00840658,OTHER
6504,NCT00840658,OTHER
6504,NCT00840658,OTHER
9477,NCT04160065,OTHER
9477,NCT04160065,OTHER
6500,NCT03924674,OTHER
9473,NCT04166240,OTHER
6497,NCT03259646,OTHER
9471,NCT04169321,OTHER
9471,NCT04169321,OTHER
7417,NCT01426555,OTHER
9468,NCT04171817,OTHER
9468,NCT04171817,OTHER
6494,NCT04304833,OTHER
6491,NCT01697267,OTHER
9464,NCT04176172,OTHER
6491,NCT01697267,OTHER
7417,NCT01426555,OTHER
6487,NCT03381885,OTHER
6487,NCT03381885,OTHER
6483,NCT01492348,OTHER
6483,NCT01492348,OTHER
6483,NCT01492348,OTHER
1010,NCT02641158,OTHER
1010,NCT02641158,OTHER
9561,NCT04088123,OTHER
5846,NCT00291161,OTHER
7496,NCT00615641,OTHER
1207,NCT02458092,OTHER
9167,NCT04439656,OTHER
9167,NCT04439656,OTHER
5854,NCT00043706,OTHER
5852,NCT00808353,OTHER
5852,NCT00808353,OTHER
5852,NCT00808353,OTHER
5852,NCT00808353,OTHER
5851,NCT00221247,OTHER
5847,NCT01793090,OTHER
1219,NCT01366924,OTHER
5846,NCT00291161,OTHER
5845,NCT01480219,OTHER
1241,NCT00558701,OTHER
9159,NCT04451382,OTHER
5843,NCT01003262,OTHER
9159,NCT04451382,OTHER
5843,NCT01003262,OTHER
5843,NCT01003262,OTHER
5843,NCT01003262,OTHER
7500,NCT01023477,OTHER
7500,NCT01023477,OTHER
1231,NCT03615599,OTHER
