,NCTId,BaselineMeasureParamType
8734,NCT02958969,Number
6581,NCT01684748,Number
2357,NCT03678870,Number
3404,NCT01152580,Number
5282,NCT01444378,Number
5712,NCT03249779,Number
4039,NCT01192178,Number
5282,NCT01444378,Number
3151,NCT02319174,Number
6569,NCT00525837,Number
6569,NCT00525837,Number
4214,NCT02316353,Number
2803,NCT01570309,Number
5292,NCT01655043,Number
8755,NCT00903695,Number
2375,NCT01652573,Number
5326,NCT03048500,Number
2416,NCT01957085,Number
2416,NCT01957085,Number
8795,NCT00183339,Number
4053,NCT00031447,Number
2783,NCT01451762,Number
6459,NCT02273206,Number
5531,NCT02362425,Number
3365,NCT00319839,Number
8802,NCT01647438,Number
5346,NCT00396812,Number
2444,NCT02411396,Number
2448,NCT00734344,Number
2452,NCT02861131,Number
2778,NCT02593032,Number
5349,NCT00351416,Number
6139,NCT00896649,Number
6418,NCT00756652,Number
6418,NCT00756652,Number
3358,NCT02460991,Number
4194,NCT00200057,Number
2471,NCT00590161,Number
5359,NCT01133275,Number
4061,NCT00835120,Number
6415,NCT01625221,Number
3367,NCT00811057,Number
2439,NCT02517996,Number
2416,NCT01957085,Number
4053,NCT00031447,Number
6473,NCT00847912,Number
3374,NCT03634306,Number
5533,NCT00223080,Number
6461,NCT00856999,Number
5533,NCT00223080,Number
6134,NCT00986986,Number
2430,NCT01559649,Number
2430,NCT01559649,Number
2430,NCT01559649,Number
2430,NCT01559649,Number
4199,NCT02137512,Number
4052,NCT02730819,Number
2430,NCT01559649,Number
3119,NCT02299427,Number
2430,NCT01559649,Number
5328,NCT01038323,Number
4196,NCT00970853,Number
2437,NCT00481507,Number
8787,NCT01457339,Number
3368,NCT00112047,Number
3368,NCT00112047,Number
2559,NCT00729690,Number
6149,NCT00749203,Number
4037,NCT00039741,Number
3284,NCT01310179,Number
5702,NCT03052530,Number
2691,NCT00850135,Number
2691,NCT00850135,Number
54,NCT02813577,Number
6209,NCT00851799,Number
3135,NCT02461758,Number
9423,NCT04218799,Number
5702,NCT03052530,Number
4148,NCT03055858,Number
9650,NCT04020822,Number
3284,NCT01310179,Number
9738,NCT03951610,Number
6205,NCT01656889,Number
3284,NCT01310179,Number
5702,NCT03052530,Number
3284,NCT01310179,Number
3284,NCT01310179,Number
2702,NCT01217840,Number
2740,NCT01395368,Number
4145,NCT00135798,Number
6196,NCT01076504,Number
4097,NCT01889797,Number
2691,NCT00850135,Number
5488,NCT00595504,Number
5702,NCT03052530,Number
2680,NCT00927862,Number
5482,NCT00841269,Number
5487,NCT02067039,Number
3271,NCT00796705,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
68,NCT01154296,Number
2745,NCT00620750,Number
8957,NCT01302938,Number
4087,NCT00472303,Number
6152,NCT00720096,Number
5692,NCT00101868,Number
4097,NCT01889797,Number
4097,NCT01889797,Number
6149,NCT00749203,Number
6171,NCT00410059,Number
2724,NCT02679690,Number
6179,NCT00256724,Number
16,NCT00724867,Number
3145,NCT00308620,Number
2725,NCT00812097,Number
6178,NCT00308113,Number
6178,NCT00308113,Number
2728,NCT03557775,Number
5700,NCT01794949,Number
4122,NCT00856856,Number
3141,NCT00585013,Number
4097,NCT01889797,Number
3275,NCT01390233,Number
5,NCT00312663,Number
2730,NCT01013870,Number
2730,NCT01013870,Number
