,NCTId,BaselineMeasureParamType
4998,NCT01874951,Count of Participants
5059,NCT00356200,Count of Participants
5059,NCT00356200,Count of Participants
5061,NCT00747643,Count of Participants
5108,NCT02744846,Count of Participants
5108,NCT02744846,Count of Participants
5108,NCT02744846,Count of Participants
5108,NCT02744846,Count of Participants
5108,NCT02744846,Count of Participants
5108,NCT02744846,Count of Participants
5562,NCT01611194,Count of Participants
5562,NCT01611194,Count of Participants
5101,NCT00574587,Count of Participants
5061,NCT00747643,Count of Participants
5090,NCT00313144,Count of Participants
5562,NCT01611194,Count of Participants
5076,NCT01001221,Count of Participants
5562,NCT01611194,Count of Participants
5068,NCT01508676,Count of Participants
5068,NCT01508676,Count of Participants
5562,NCT01611194,Count of Participants
5696,NCT02994108,Count of Participants
5110,NCT01280968,Count of Participants
5700,NCT01794949,Count of Participants
8023,NCT00742781,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8049,NCT01408147,Count of Participants
8049,NCT01408147,Count of Participants
8049,NCT01408147,Count of Participants
8046,NCT01898299,Count of Participants
8046,NCT01898299,Count of Participants
8042,NCT01109576,Count of Participants
8042,NCT01109576,Count of Participants
8027,NCT01515072,Count of Participants
8023,NCT00742781,Count of Participants
8022,NCT02160847,Count of Participants
8123,NCT01980771,Count of Participants
8022,NCT02160847,Count of Participants
8022,NCT02160847,Count of Participants
8017,NCT01695291,Count of Participants
8017,NCT01695291,Count of Participants
8017,NCT01695291,Count of Participants
8017,NCT01695291,Count of Participants
8017,NCT01695291,Count of Participants
8006,NCT01839708,Count of Participants
8006,NCT01839708,Count of Participants
8004,NCT01437852,Count of Participants
8004,NCT01437852,Count of Participants
8001,NCT02949128,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8116,NCT02424526,Count of Participants
8116,NCT02424526,Count of Participants
8116,NCT02424526,Count of Participants
8106,NCT00302055,Count of Participants
8106,NCT00302055,Count of Participants
8105,NCT02088177,Count of Participants
8105,NCT02088177,Count of Participants
8105,NCT02088177,Count of Participants
8105,NCT02088177,Count of Participants
8103,NCT01537068,Count of Participants
8103,NCT01537068,Count of Participants
8077,NCT00124943,Count of Participants
8076,NCT02967016,Count of Participants
8076,NCT02967016,Count of Participants
8073,NCT02184494,Count of Participants
8073,NCT02184494,Count of Participants
8063,NCT00604214,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8051,NCT02251743,Count of Participants
8001,NCT02949128,Count of Participants
8001,NCT02949128,Count of Participants
7999,NCT01177137,Count of Participants
7981,NCT00124579,Count of Participants
7980,NCT00775645,Count of Participants
7980,NCT00775645,Count of Participants
7980,NCT00775645,Count of Participants
7980,NCT00775645,Count of Participants
7980,NCT00775645,Count of Participants
7979,NCT00217620,Count of Participants
7977,NCT00776100,Count of Participants
7977,NCT00776100,Count of Participants
7976,NCT00880191,Count of Participants
7974,NCT01641809,Count of Participants
7974,NCT01641809,Count of Participants
7970,NCT01385137,Count of Participants
7970,NCT01385137,Count of Participants
7970,NCT01385137,Count of Participants
7970,NCT01385137,Count of Participants
7964,NCT00040937,Count of Participants
7961,NCT00689728,Count of Participants
7961,NCT00689728,Count of Participants
7961,NCT00689728,Count of Participants
7956,NCT01099449,Count of Participants
7956,NCT01099449,Count of Participants
7952,NCT00124618,Count of Participants
7951,NCT00531817,Count of Participants
7949,NCT00489411,Count of Participants
7947,NCT01091454,Count of Participants
7980,NCT00775645,Count of Participants
7982,NCT00096031,Count of Participants
7999,NCT01177137,Count of Participants
7982,NCT00096031,Count of Participants
7999,NCT01177137,Count of Participants
7999,NCT01177137,Count of Participants
7999,NCT01177137,Count of Participants
7999,NCT01177137,Count of Participants
7999,NCT01177137,Count of Participants
7999,NCT01177137,Count of Participants
7997,NCT02132650,Count of Participants
7997,NCT02132650,Count of Participants
7997,NCT02132650,Count of Participants
7996,NCT01058395,Count of Participants
7996,NCT01058395,Count of Participants
7996,NCT01058395,Count of Participants
7996,NCT01058395,Count of Participants
7993,NCT00121186,Count of Participants
7993,NCT00121186,Count of Participants
7993,NCT00121186,Count of Participants
7992,NCT00369785,Count of Participants
7992,NCT00369785,Count of Participants
7992,NCT00369785,Count of Participants
7992,NCT00369785,Count of Participants
7991,NCT00872989,Count of Participants
7990,NCT00122447,Count of Participants
7986,NCT00748098,Count of Participants
7983,NCT00113399,Count of Participants
7982,NCT00096031,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8287,NCT00605189,Count of Participants
8232,NCT01811940,Count of Participants
8240,NCT01658228,Count of Participants
8238,NCT00784849,Count of Participants
8238,NCT00784849,Count of Participants
8235,NCT00676793,Count of Participants
8235,NCT00676793,Count of Participants
8234,NCT00176462,Count of Participants
8234,NCT00176462,Count of Participants
8232,NCT01811940,Count of Participants
8232,NCT01811940,Count of Participants
8232,NCT01811940,Count of Participants
8232,NCT01811940,Count of Participants
8232,NCT01811940,Count of Participants
8231,NCT02255357,Count of Participants
8123,NCT01980771,Count of Participants
8231,NCT02255357,Count of Participants
8231,NCT02255357,Count of Participants
8228,NCT00879996,Count of Participants
8228,NCT00879996,Count of Participants
8227,NCT02257099,Count of Participants
8227,NCT02257099,Count of Participants
8215,NCT02147613,Count of Participants
8215,NCT02147613,Count of Participants
8215,NCT02147613,Count of Participants
8212,NCT01297062,Count of Participants
8211,NCT01882439,Count of Participants
8210,NCT00271739,Count of Participants
8240,NCT01658228,Count of Participants
8240,NCT01658228,Count of Participants
8247,NCT02688192,Count of Participants
8247,NCT02688192,Count of Participants
8273,NCT03069352,Count of Participants
8273,NCT03069352,Count of Participants
8273,NCT03069352,Count of Participants
8273,NCT03069352,Count of Participants
8273,NCT03069352,Count of Participants
8271,NCT02333045,Count of Participants
8271,NCT02333045,Count of Participants
8271,NCT02333045,Count of Participants
8271,NCT02333045,Count of Participants
8271,NCT02333045,Count of Participants
8261,NCT03223337,Count of Participants
8261,NCT03223337,Count of Participants
8260,NCT00515177,Count of Participants
8260,NCT00515177,Count of Participants
8259,NCT00514449,Count of Participants
8259,NCT00514449,Count of Participants
8256,NCT02717754,Count of Participants
8255,NCT01100268,Count of Participants
8255,NCT01100268,Count of Participants
8251,NCT01649947,Count of Participants
8251,NCT01649947,Count of Participants
8251,NCT01649947,Count of Participants
8251,NCT01649947,Count of Participants
8247,NCT02688192,Count of Participants
8247,NCT02688192,Count of Participants
8187,NCT02025439,Count of Participants
8187,NCT02025439,Count of Participants
8186,NCT01343056,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8144,NCT02140775,Count of Participants
8142,NCT02853435,Count of Participants
8142,NCT02853435,Count of Participants
8138,NCT01184755,Count of Participants
8138,NCT01184755,Count of Participants
8136,NCT02566317,Count of Participants
8136,NCT02566317,Count of Participants
8136,NCT02566317,Count of Participants
8135,NCT01223404,Count of Participants
8135,NCT01223404,Count of Participants
8135,NCT01223404,Count of Participants
8132,NCT03599193,Count of Participants
8132,NCT03599193,Count of Participants
8132,NCT03599193,Count of Participants
8128,NCT01460940,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8123,NCT01980771,Count of Participants
8144,NCT02140775,Count of Participants
8145,NCT01141049,Count of Participants
8186,NCT01343056,Count of Participants
8145,NCT01141049,Count of Participants
8185,NCT02266576,Count of Participants
8185,NCT02266576,Count of Participants
8185,NCT02266576,Count of Participants
8184,NCT02022657,Count of Participants
8184,NCT02022657,Count of Participants
8182,NCT02422940,Count of Participants
8182,NCT02422940,Count of Participants
8182,NCT02422940,Count of Participants
8170,NCT00417976,Count of Participants
8170,NCT00417976,Count of Participants
8168,NCT01958437,Count of Participants
8168,NCT01958437,Count of Participants
8168,NCT01958437,Count of Participants
8165,NCT00320749,Count of Participants
8160,NCT01401023,Count of Participants
8160,NCT01401023,Count of Participants
8160,NCT01401023,Count of Participants
8157,NCT03353922,Count of Participants
8157,NCT03353922,Count of Participants
8157,NCT03353922,Count of Participants
8157,NCT03353922,Count of Participants
8155,NCT00389493,Count of Participants
8155,NCT00389493,Count of Participants
8152,NCT01812005,Count of Participants
8145,NCT01141049,Count of Participants
7946,NCT01376349,Count of Participants
7945,NCT01439945,Count of Participants
7945,NCT01439945,Count of Participants
7690,NCT00571038,Count of Participants
7711,NCT02843178,Count of Participants
7711,NCT02843178,Count of Participants
7707,NCT03198754,Count of Participants
7707,NCT03198754,Count of Participants
7706,NCT01746264,Count of Participants
7699,NCT02721147,Count of Participants
7699,NCT02721147,Count of Participants
7699,NCT02721147,Count of Participants
7699,NCT02721147,Count of Participants
7698,NCT00399529,Count of Participants
7698,NCT00399529,Count of Participants
7698,NCT00399529,Count of Participants
7690,NCT00571038,Count of Participants
7944,NCT00365105,Count of Participants
7666,NCT02298361,Count of Participants
7666,NCT02298361,Count of Participants
7666,NCT02298361,Count of Participants
7666,NCT02298361,Count of Participants
7659,NCT01999868,Count of Participants
7659,NCT01999868,Count of Participants
7659,NCT01999868,Count of Participants
7659,NCT01999868,Count of Participants
7659,NCT01999868,Count of Participants
7649,NCT01390220,Count of Participants
7649,NCT01390220,Count of Participants
7649,NCT01390220,Count of Participants
7711,NCT02843178,Count of Participants
7711,NCT02843178,Count of Participants
7713,NCT01569191,Count of Participants
7713,NCT01569191,Count of Participants
7790,NCT01770743,Count of Participants
7789,NCT02599961,Count of Participants
7789,NCT02599961,Count of Participants
7789,NCT02599961,Count of Participants
7789,NCT02599961,Count of Participants
7789,NCT02599961,Count of Participants
7782,NCT03698279,Count of Participants
7782,NCT03698279,Count of Participants
7782,NCT03698279,Count of Participants
7774,NCT00727506,Count of Participants
7772,NCT02221869,Count of Participants
7772,NCT02221869,Count of Participants
7772,NCT02221869,Count of Participants
7772,NCT02221869,Count of Participants
7764,NCT01138917,Count of Participants
7764,NCT01138917,Count of Participants
7764,NCT01138917,Count of Participants
7761,NCT02870205,Count of Participants
7745,NCT00858988,Count of Participants
7743,NCT02127281,Count of Participants
7743,NCT02127281,Count of Participants
7743,NCT02127281,Count of Participants
7743,NCT02127281,Count of Participants
7739,NCT00470158,Count of Participants
7739,NCT00470158,Count of Participants
7649,NCT01390220,Count of Participants
7648,NCT00790790,Count of Participants
7647,NCT00785577,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7588,NCT01673178,Count of Participants
7586,NCT03077919,Count of Participants
7586,NCT03077919,Count of Participants
7586,NCT03077919,Count of Participants
7586,NCT03077919,Count of Participants
7586,NCT03077919,Count of Participants
7586,NCT03077919,Count of Participants
7577,NCT00431847,Count of Participants
7577,NCT00431847,Count of Participants
7577,NCT00431847,Count of Participants
7565,NCT02246413,Count of Participants
7565,NCT02246413,Count of Participants
7565,NCT02246413,Count of Participants
7564,NCT02753842,Count of Participants
7564,NCT02753842,Count of Participants
7564,NCT02753842,Count of Participants
7563,NCT01775670,Count of Participants
7563,NCT01775670,Count of Participants
7559,NCT01605903,Count of Participants
7559,NCT01605903,Count of Participants
7596,NCT01661283,Count of Participants
7596,NCT01661283,Count of Participants
7645,NCT00744991,Count of Participants
7601,NCT02420353,Count of Participants
7645,NCT00744991,Count of Participants
7645,NCT00744991,Count of Participants
7645,NCT00744991,Count of Participants
7643,NCT00386100,Count of Participants
7642,NCT00676143,Count of Participants
7641,NCT00667810,Count of Participants
7636,NCT01207687,Count of Participants
7636,NCT01207687,Count of Participants
7636,NCT01207687,Count of Participants
7636,NCT01207687,Count of Participants
7631,NCT00622401,Count of Participants
7631,NCT00622401,Count of Participants
7624,NCT02756689,Count of Participants
7624,NCT02756689,Count of Participants
7624,NCT02756689,Count of Participants
7622,NCT02202031,Count of Participants
7622,NCT02202031,Count of Participants
7617,NCT00140140,Count of Participants
7603,NCT01287104,Count of Participants
7603,NCT01287104,Count of Participants
7603,NCT01287104,Count of Participants
7603,NCT01287104,Count of Participants
7603,NCT01287104,Count of Participants
7601,NCT02420353,Count of Participants
7601,NCT02420353,Count of Participants
7790,NCT01770743,Count of Participants
7790,NCT01770743,Count of Participants
7790,NCT01770743,Count of Participants
7915,NCT00956813,Count of Participants
7913,NCT00719563,Count of Participants
7913,NCT00719563,Count of Participants
7910,NCT01856673,Count of Participants
7910,NCT01856673,Count of Participants
7899,NCT00272779,Count of Participants
7897,NCT02415595,Count of Participants
7897,NCT02415595,Count of Participants
7883,NCT01470599,Count of Participants
7881,NCT01393626,Count of Participants
7877,NCT00823979,Count of Participants
7874,NCT01906515,Count of Participants
7874,NCT01906515,Count of Participants
7872,NCT04027218,Count of Participants
7872,NCT04027218,Count of Participants
7872,NCT04027218,Count of Participants
7871,NCT00248040,Count of Participants
7871,NCT00248040,Count of Participants
7868,NCT00337467,Count of Participants
7867,NCT00933270,Count of Participants
7867,NCT00933270,Count of Participants
7867,NCT00933270,Count of Participants
7858,NCT01632241,Count of Participants
7858,NCT01632241,Count of Participants
7856,NCT02386098,Count of Participants
7856,NCT02386098,Count of Participants
7913,NCT00719563,Count of Participants
7915,NCT00956813,Count of Participants
7853,NCT02006719,Count of Participants
7916,NCT01006018,Count of Participants
7938,NCT00869206,Count of Participants
7937,NCT00041119,Count of Participants
7937,NCT00041119,Count of Participants
7932,NCT01316055,Count of Participants
7932,NCT01316055,Count of Participants
7931,NCT00053898,Count of Participants
7930,NCT00008385,Count of Participants
7929,NCT00075946,Count of Participants
7928,NCT02331368,Count of Participants
7928,NCT02331368,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7927,NCT00134056,Count of Participants
7926,NCT00265850,Count of Participants
7924,NCT02615470,Count of Participants
7924,NCT02615470,Count of Participants
7924,NCT02615470,Count of Participants
7918,NCT01256294,Count of Participants
7855,NCT00773734,Count of Participants
7853,NCT02006719,Count of Participants
7793,NCT02963922,Count of Participants
7824,NCT01299272,Count of Participants
7823,NCT01085136,Count of Participants
7823,NCT01085136,Count of Participants
7822,NCT00094302,Count of Participants
7822,NCT00094302,Count of Participants
7822,NCT00094302,Count of Participants
7820,NCT01352637,Count of Participants
7820,NCT01352637,Count of Participants
7819,NCT00742859,Count of Participants
7815,NCT02849080,Count of Participants
7815,NCT02849080,Count of Participants
7815,NCT02849080,Count of Participants
7813,NCT02216123,Count of Participants
7812,NCT01102972,Count of Participants
7812,NCT01102972,Count of Participants
7810,NCT03136484,Count of Participants
7810,NCT03136484,Count of Participants
7809,NCT01495923,Count of Participants
7809,NCT01495923,Count of Participants
7808,NCT01412541,Count of Participants
7807,NCT01848184,Count of Participants
7807,NCT01848184,Count of Participants
7798,NCT00256750,Count of Participants
7797,NCT00198822,Count of Participants
7793,NCT02963922,Count of Participants
7793,NCT02963922,Count of Participants
7824,NCT01299272,Count of Participants
7824,NCT01299272,Count of Participants
7853,NCT02006719,Count of Participants
7824,NCT01299272,Count of Participants
7853,NCT02006719,Count of Participants
7852,NCT01313208,Count of Participants
7851,NCT00956631,Count of Participants
7851,NCT00956631,Count of Participants
7850,NCT01421303,Count of Participants
7848,NCT02131272,Count of Participants
7845,NCT02143648,Count of Participants
7845,NCT02143648,Count of Participants
7845,NCT02143648,Count of Participants
7844,NCT02229851,Count of Participants
7844,NCT02229851,Count of Participants
7844,NCT02229851,Count of Participants
7839,NCT00827112,Count of Participants
7836,NCT02143973,Count of Participants
7836,NCT02143973,Count of Participants
7836,NCT02143973,Count of Participants
7833,NCT01775995,Count of Participants
7833,NCT01775995,Count of Participants
7833,NCT01775995,Count of Participants
7833,NCT01775995,Count of Participants
7830,NCT00415168,Count of Participants
7828,NCT01374906,Count of Participants
7827,NCT02607865,Count of Participants
7827,NCT02607865,Count of Participants
7827,NCT02607865,Count of Participants
8280,NCT01910402,Count of Participants
8287,NCT00605189,Count of Participants
7558,NCT03207750,Count of Participants
8777,NCT02146326,Count of Participants
8797,NCT03158038,Count of Participants
8797,NCT03158038,Count of Participants
8795,NCT00183339,Count of Participants
8795,NCT00183339,Count of Participants
8795,NCT00183339,Count of Participants
8787,NCT01457339,Count of Participants
8787,NCT01457339,Count of Participants
8781,NCT03199079,Count of Participants
8781,NCT03199079,Count of Participants
8781,NCT03199079,Count of Participants
8781,NCT03199079,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8843,NCT00400803,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8777,NCT02146326,Count of Participants
8774,NCT01127633,Count of Participants
8774,NCT01127633,Count of Participants
8774,NCT01127633,Count of Participants
8765,NCT00280748,Count of Participants
8797,NCT03158038,Count of Participants
8802,NCT01647438,Count of Participants
8802,NCT01647438,Count of Participants
8803,NCT01921179,Count of Participants
8835,NCT00624520,Count of Participants
8835,NCT00624520,Count of Participants
8835,NCT00624520,Count of Participants
8825,NCT02899988,Count of Participants
8825,NCT02899988,Count of Participants
8825,NCT02899988,Count of Participants
8825,NCT02899988,Count of Participants
8820,NCT01330420,Count of Participants
8820,NCT01330420,Count of Participants
8814,NCT01932242,Count of Participants
8814,NCT01932242,Count of Participants
8814,NCT01932242,Count of Participants
8813,NCT01671332,Count of Participants
8812,NCT01265953,Count of Participants
8812,NCT01265953,Count of Participants
8812,NCT01265953,Count of Participants
8811,NCT02696291,Count of Participants
8811,NCT02696291,Count of Participants
8811,NCT02696291,Count of Participants
8805,NCT01214655,Count of Participants
8805,NCT01214655,Count of Participants
8805,NCT01214655,Count of Participants
8805,NCT01214655,Count of Participants
8803,NCT01921179,Count of Participants
8803,NCT01921179,Count of Participants
8765,NCT00280748,Count of Participants
8765,NCT00280748,Count of Participants
8759,NCT00983892,Count of Participants
8700,NCT01454284,Count of Participants
8700,NCT01454284,Count of Participants
8700,NCT01454284,Count of Participants
8691,NCT00118157,Count of Participants
8691,NCT00118157,Count of Participants
8690,NCT00410904,Count of Participants
8682,NCT02352103,Count of Participants
8682,NCT02352103,Count of Participants
8681,NCT00963807,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8676,NCT01515475,Count of Participants
8674,NCT00764517,Count of Participants
8674,NCT00764517,Count of Participants
8700,NCT01454284,Count of Participants
8702,NCT00938964,Count of Participants
8759,NCT00983892,Count of Participants
8702,NCT00938964,Count of Participants
8759,NCT00983892,Count of Participants
8756,NCT02487485,Count of Participants
8756,NCT02487485,Count of Participants
8756,NCT02487485,Count of Participants
8755,NCT00903695,Count of Participants
8755,NCT00903695,Count of Participants
8750,NCT01090011,Count of Participants
8749,NCT01982435,Count of Participants
8749,NCT01982435,Count of Participants
8749,NCT01982435,Count of Participants
8745,NCT01394003,Count of Participants
8745,NCT01394003,Count of Participants
8745,NCT01394003,Count of Participants
8745,NCT01394003,Count of Participants
8734,NCT02958969,Count of Participants
8734,NCT02958969,Count of Participants
8734,NCT02958969,Count of Participants
8733,NCT00831766,Count of Participants
8733,NCT00831766,Count of Participants
8726,NCT00098670,Count of Participants
8723,NCT02189889,Count of Participants
8723,NCT02189889,Count of Participants
8723,NCT02189889,Count of Participants
8706,NCT00482274,Count of Participants
8706,NCT00482274,Count of Participants
8835,NCT00624520,Count of Participants
8843,NCT00400803,Count of Participants
8287,NCT00605189,Count of Participants
9731,NCT03961308,Count of Participants
9814,NCT03887429,Count of Participants
9814,NCT03887429,Count of Participants
9814,NCT03887429,Count of Participants
9797,NCT03904420,Count of Participants
9797,NCT03904420,Count of Participants
9797,NCT03904420,Count of Participants
9738,NCT03951610,Count of Participants
9738,NCT03951610,Count of Participants
9738,NCT03951610,Count of Participants
9731,NCT03961308,Count of Participants
9731,NCT03961308,Count of Participants
9731,NCT03961308,Count of Participants
9650,NCT04020822,Count of Participants
8844,NCT00859053,Count of Participants
9650,NCT04020822,Count of Participants
9650,NCT04020822,Count of Participants
9423,NCT04218799,Count of Participants
9423,NCT04218799,Count of Participants
8975,NCT01721044,Count of Participants
8975,NCT01721044,Count of Participants
8975,NCT01721044,Count of Participants
8972,NCT00886821,Count of Participants
8972,NCT00886821,Count of Participants
8963,NCT00882557,Count of Participants
8957,NCT01302938,Count of Participants
8955,NCT02290223,Count of Participants
9814,NCT03887429,Count of Participants
9828,NCT03878758,Count of Participants
9828,NCT03878758,Count of Participants
9828,NCT03878758,Count of Participants
9999,NCT03766373,Count of Participants
9999,NCT03766373,Count of Participants
9999,NCT03766373,Count of Participants
9932,NCT03807739,Count of Participants
9932,NCT03807739,Count of Participants
9932,NCT03807739,Count of Participants
9900,NCT03831451,Count of Participants
9900,NCT03831451,Count of Participants
9877,NCT03848403,Count of Participants
9877,NCT03848403,Count of Participants
9877,NCT03848403,Count of Participants
9877,NCT03848403,Count of Participants
9869,NCT03851016,Count of Participants
9869,NCT03851016,Count of Participants
9869,NCT03851016,Count of Participants
9869,NCT03851016,Count of Participants
9869,NCT03851016,Count of Participants
9869,NCT03851016,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
9829,NCT03878745,Count of Participants
8955,NCT02290223,Count of Participants
8955,NCT02290223,Count of Participants
8942,NCT01566461,Count of Participants
8911,NCT00248612,Count of Participants
8911,NCT00248612,Count of Participants
8908,NCT00323635,Count of Participants
8908,NCT00323635,Count of Participants
8897,NCT01797159,Count of Participants
8897,NCT01797159,Count of Participants
8897,NCT01797159,Count of Participants
8893,NCT01664624,Count of Participants
8876,NCT02085473,Count of Participants
8871,NCT01137006,Count of Participants
8871,NCT01137006,Count of Participants
8871,NCT01137006,Count of Participants
8868,NCT02679729,Count of Participants
8866,NCT01104701,Count of Participants
8859,NCT01045421,Count of Participants
8858,NCT02206607,Count of Participants
8851,NCT01835223,Count of Participants
8851,NCT01835223,Count of Participants
8851,NCT01835223,Count of Participants
8850,NCT01435603,Count of Participants
8850,NCT01435603,Count of Participants
8850,NCT01435603,Count of Participants
8850,NCT01435603,Count of Participants
8848,NCT01033942,Count of Participants
8848,NCT01033942,Count of Participants
8848,NCT01033942,Count of Participants
8911,NCT00248612,Count of Participants
8911,NCT00248612,Count of Participants
8941,NCT01511107,Count of Participants
8919,NCT00595231,Count of Participants
8941,NCT01511107,Count of Participants
8941,NCT01511107,Count of Participants
8940,NCT01878175,Count of Participants
8940,NCT01878175,Count of Participants
8936,NCT01197911,Count of Participants
8930,NCT02497937,Count of Participants
8930,NCT02497937,Count of Participants
8929,NCT01128621,Count of Participants
8929,NCT01128621,Count of Participants
8929,NCT01128621,Count of Participants
8928,NCT00555425,Count of Participants
8928,NCT00555425,Count of Participants
8928,NCT00555425,Count of Participants
8927,NCT02509117,Count of Participants
8927,NCT02509117,Count of Participants
8926,NCT02470754,Count of Participants
8926,NCT02470754,Count of Participants
8926,NCT02470754,Count of Participants
8926,NCT02470754,Count of Participants
8926,NCT02470754,Count of Participants
8926,NCT02470754,Count of Participants
8920,NCT02165735,Count of Participants
8920,NCT02165735,Count of Participants
8919,NCT00595231,Count of Participants
8919,NCT00595231,Count of Participants
8674,NCT00764517,Count of Participants
8674,NCT00764517,Count of Participants
8663,NCT00939055,Count of Participants
8403,NCT00458211,Count of Participants
8441,NCT00621530,Count of Participants
8437,NCT00679289,Count of Participants
8437,NCT00679289,Count of Participants
8437,NCT00679289,Count of Participants
8437,NCT00679289,Count of Participants
8433,NCT01552213,Count of Participants
8427,NCT01280591,Count of Participants
8425,NCT01495858,Count of Participants
8421,NCT00553319,Count of Participants
8421,NCT00553319,Count of Participants
8408,NCT01324999,Count of Participants
8408,NCT01324999,Count of Participants
8403,NCT00458211,Count of Participants
8656,NCT00422097,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8397,NCT02037568,Count of Participants
8390,NCT00496483,Count of Participants
8389,NCT01422135,Count of Participants
8389,NCT01422135,Count of Participants
8441,NCT00621530,Count of Participants
8454,NCT01001429,Count of Participants
8455,NCT00496366,Count of Participants
8455,NCT00496366,Count of Participants
8492,NCT01245673,Count of Participants
8492,NCT01245673,Count of Participants
8492,NCT01245673,Count of Participants
8484,NCT01790438,Count of Participants
8484,NCT01790438,Count of Participants
8484,NCT01790438,Count of Participants
8484,NCT01790438,Count of Participants
8478,NCT02929667,Count of Participants
8478,NCT02929667,Count of Participants
8478,NCT02929667,Count of Participants
8472,NCT03533829,Count of Participants
8472,NCT03533829,Count of Participants
8472,NCT03533829,Count of Participants
8472,NCT03533829,Count of Participants
8472,NCT03533829,Count of Participants
8469,NCT00760383,Count of Participants
8469,NCT00760383,Count of Participants
8467,NCT01582451,Count of Participants
8467,NCT01582451,Count of Participants
8467,NCT01582451,Count of Participants
8467,NCT01582451,Count of Participants
8465,NCT00408200,Count of Participants
8465,NCT00408200,Count of Participants
8455,NCT00496366,Count of Participants
8455,NCT00496366,Count of Participants
8389,NCT01422135,Count of Participants
8387,NCT00504023,Count of Participants
8387,NCT00504023,Count of Participants
8333,NCT01928719,Count of Participants
8333,NCT01928719,Count of Participants
8332,NCT01928758,Count of Participants
8332,NCT01928758,Count of Participants
8332,NCT01928758,Count of Participants
8332,NCT01928758,Count of Participants
8330,NCT00767806,Count of Participants
8329,NCT00418314,Count of Participants
8329,NCT00418314,Count of Participants
8324,NCT01506323,Count of Participants
8324,NCT01506323,Count of Participants
8324,NCT01506323,Count of Participants
8324,NCT01506323,Count of Participants
8304,NCT00380068,Count of Participants
8303,NCT00026221,Count of Participants
8301,NCT01468896,Count of Participants
8301,NCT01468896,Count of Participants
8301,NCT01468896,Count of Participants
8301,NCT01468896,Count of Participants
8296,NCT00529308,Count of Participants
8292,NCT01709110,Count of Participants
8292,NCT01709110,Count of Participants
8292,NCT01709110,Count of Participants
8292,NCT01709110,Count of Participants
8292,NCT01709110,Count of Participants
8292,NCT01709110,Count of Participants
8333,NCT01928719,Count of Participants
8333,NCT01928719,Count of Participants
8387,NCT00504023,Count of Participants
8333,NCT01928719,Count of Participants
8387,NCT00504023,Count of Participants
8386,NCT01537887,Count of Participants
8386,NCT01537887,Count of Participants
8386,NCT01537887,Count of Participants
8381,NCT00938782,Count of Participants
8381,NCT00938782,Count of Participants
8364,NCT04474405,Count of Participants
8364,NCT04474405,Count of Participants
