,NCTId,LeadSponsorClass
5048,NCT01369797,OTHER
7574,NCT00110526,OTHER
5046,NCT00617825,OTHER
5045,NCT04163627,OTHER
5044,NCT00748111,OTHER
5043,NCT00901459,OTHER
7575,NCT04398784,OTHER
5041,NCT03914365,OTHER
5040,NCT03102580,OTHER
5039,NCT03291808,OTHER
7576,NCT04045132,OTHER
5037,NCT02271932,OTHER
5122,NCT01859858,OTHER
5124,NCT01791660,OTHER
5009,NCT00491660,OTHER
5193,NCT03674216,OTHER
5206,NCT04151186,OTHER
5203,NCT03119363,OTHER
5202,NCT00230646,OTHER
5200,NCT01007630,OTHER
5199,NCT04334278,OTHER
5198,NCT01575860,OTHER
5197,NCT00991978,OTHER
5196,NCT03758742,OTHER
7546,NCT02268877,OTHER
5194,NCT01347112,OTHER
7547,NCT04602416,OTHER
5180,NCT03007485,OTHER
5191,NCT01616537,OTHER
5190,NCT04108052,OTHER
7548,NCT01125124,OTHER
5188,NCT03442192,OTHER
5187,NCT01636466,OTHER
7549,NCT02820038,OTHER
5185,NCT01467050,OTHER
5184,NCT03373916,OTHER
5183,NCT04276051,OTHER
5182,NCT02947009,OTHER
5207,NCT01253408,OTHER
5208,NCT03989063,OTHER
5209,NCT01639079,OTHER
5210,NCT03308565,OTHER
7537,NCT02709317,OTHER
5234,NCT02697565,OTHER
5233,NCT01520298,OTHER
5232,NCT00187928,OTHER
5231,NCT03018106,OTHER
5230,NCT04356274,OTHER
7539,NCT04031326,OTHER
5227,NCT01968694,OTHER
5226,NCT01252251,OTHER
5225,NCT00203710,OTHER
7540,NCT01143207,OTHER
5223,NCT01199666,OTHER
5222,NCT04184843,OTHER
5219,NCT03451461,OTHER
7543,NCT02443727,OTHER
5217,NCT03666247,OTHER
5216,NCT03844867,OTHER
5215,NCT00686426,OTHER
5214,NCT04275180,OTHER
5213,NCT03126253,OTHER
5212,NCT04458545,OTHER
5181,NCT02476721,OTHER
5179,NCT03731000,OTHER
5126,NCT01367977,OTHER
7560,NCT00974402,OTHER
5149,NCT01202500,OTHER
5148,NCT00183989,OTHER
5147,NCT01827826,OTHER
5146,NCT04164537,OTHER
5145,NCT01263418,OTHER
5144,NCT03041077,OTHER
5143,NCT01505244,OTHER
7559,NCT01605903,OTHER
5141,NCT03978533,OTHER
5140,NCT02354287,OTHER
5138,NCT04287361,OTHER
5178,NCT03450135,OTHER
5137,NCT02698891,OTHER
5136,NCT01286038,OTHER
7562,NCT00711373,OTHER
5133,NCT03818789,OTHER
5132,NCT02652286,OTHER
7563,NCT01775670,OTHER
5130,NCT03009045,OTHER
5129,NCT01341587,OTHER
5128,NCT01395784,OTHER
5127,NCT02725840,OTHER
5151,NCT01494844,OTHER
5152,NCT03255564,OTHER
5153,NCT03283657,OTHER
7557,NCT02643576,OTHER
5177,NCT00230477,OTHER
7551,NCT04525651,OTHER
5174,NCT03694028,OTHER
5173,NCT03528382,OTHER
7553,NCT03752619,OTHER
5171,NCT01334281,OTHER
5170,NCT00129662,OTHER
5169,NCT01856205,OTHER
7554,NCT03937856,OTHER
5167,NCT03808545,OTHER
5166,NCT03555370,OTHER
5165,NCT04536350,OTHER
5164,NCT01781936,OTHER
5163,NCT01109368,OTHER
5162,NCT04500626,OTHER
5161,NCT03201406,OTHER
5160,NCT01351805,OTHER
5159,NCT03710356,OTHER
7555,NCT00165204,OTHER
7556,NCT03965676,OTHER
5155,NCT04168203,OTHER
