,NCTId,LeadSponsorClass
6365,NCT01403649,OTHER
7263,NCT04589377,OTHER
6363,NCT03832049,OTHER
7264,NCT02075307,OTHER
6361,NCT00590681,OTHER
7266,NCT01399138,OTHER
7267,NCT02938975,OTHER
6386,NCT03205865,OTHER
6387,NCT03516838,OTHER
6388,NCT02195570,OTHER
6390,NCT02490579,OTHER
6416,NCT03311126,OTHER
7244,NCT03211884,OTHER
6414,NCT01418014,OTHER
6413,NCT04329754,OTHER
6412,NCT03783702,OTHER
6411,NCT02438592,OTHER
6410,NCT00937170,OTHER
6409,NCT02525432,OTHER
7245,NCT02773446,OTHER
7246,NCT01750268,OTHER
6405,NCT01083654,OTHER
6404,NCT01491919,OTHER
7247,NCT01749215,OTHER
7248,NCT01549899,OTHER
6400,NCT02112058,OTHER
7249,NCT01232881,OTHER
6397,NCT03106116,OTHER
6396,NCT02658877,OTHER
6395,NCT03857672,OTHER
6392,NCT03750292,OTHER
6391,NCT01355679,OTHER
6358,NCT02927288,OTHER
6356,NCT04584554,OTHER
7275,NCT04071600,OTHER
6319,NCT00671944,OTHER
7270,NCT03154307,OTHER
7271,NCT02465307,OTHER
7272,NCT01338701,OTHER
6326,NCT02338024,OTHER
6325,NCT04510844,OTHER
6324,NCT00154622,OTHER
6323,NCT00005879,OTHER
6322,NCT01497678,OTHER
6321,NCT00565149,OTHER
6320,NCT00622050,OTHER
6318,NCT00756626,OTHER
6355,NCT04156919,OTHER
6317,NCT01264757,OTHER
6316,NCT01454674,OTHER
6315,NCT01541761,OTHER
6314,NCT01674049,OTHER
6313,NCT02346994,OTHER
6312,NCT03577223,OTHER
6311,NCT04186533,OTHER
6310,NCT04306523,OTHER
6309,NCT04385251,OTHER
6308,NCT04225598,OTHER
6330,NCT03332563,OTHER
6331,NCT04477083,OTHER
6332,NCT04414904,OTHER
6333,NCT04374591,OTHER
6354,NCT01886326,OTHER
7268,NCT02993458,OTHER
6352,NCT02626611,OTHER
6351,NCT01892397,OTHER
6350,NCT02919267,OTHER
6349,NCT03005145,OTHER
6348,NCT04603911,OTHER
7269,NCT03052010,OTHER
6346,NCT02635971,OTHER
6345,NCT01065064,OTHER
6344,NCT02932475,OTHER
6343,NCT02665520,OTHER
6342,NCT03763539,OTHER
6341,NCT03795532,OTHER
6340,NCT03795545,OTHER
6339,NCT03831321,OTHER
6338,NCT03939091,OTHER
6337,NCT04213664,OTHER
6336,NCT04239066,OTHER
6335,NCT04278495,OTHER
6334,NCT04326517,OTHER
6645,NCT02187224,OTHER
7174,NCT02877732,OTHER
7345,NCT02518893,OTHER
6942,NCT01491763,OTHER
6952,NCT02104622,OTHER
6951,NCT02128152,OTHER
6950,NCT02150668,OTHER
6949,NCT02223728,OTHER
6948,NCT02340026,OTHER
6947,NCT03262766,OTHER
6946,NCT03298724,OTHER
6945,NCT03433599,OTHER
6944,NCT03521856,OTHER
6943,NCT04251091,OTHER
7120,NCT02291640,OTHER
6954,NCT01894464,OTHER
6940,NCT01747824,OTHER
6939,NCT02080923,OTHER
6938,NCT03339648,OTHER
6937,NCT03488875,OTHER
6936,NCT03826303,OTHER
6935,NCT04522973,OTHER
6934,NCT01574495,OTHER
6932,NCT03767699,OTHER
7121,NCT02368808,OTHER
6930,NCT03073798,OTHER
6953,NCT01920243,OTHER
6955,NCT01815554,OTHER
6648,NCT01969864,OTHER
6968,NCT01056146,OTHER
6978,NCT00448045,OTHER
6977,NCT00485914,OTHER
6976,NCT00488969,OTHER
6975,NCT00618566,OTHER
6974,NCT00621751,OTHER
6973,NCT00692575,OTHER
6972,NCT00735670,OTHER
6971,NCT00924976,OTHER
6970,NCT00988104,OTHER
6969,NCT00989430,OTHER
6967,NCT01115998,OTHER
6956,NCT01806987,OTHER
6966,NCT01119001,OTHER
6965,NCT01207375,OTHER
6964,NCT01387100,OTHER
6963,NCT01394874,OTHER
6962,NCT01429077,OTHER
6961,NCT01548781,OTHER
6960,NCT01593189,OTHER
6959,NCT01599767,OTHER
6958,NCT01699035,OTHER
6957,NCT01795079,OTHER
6929,NCT02075801,OTHER
6928,NCT04120363,OTHER
6927,NCT03936582,OTHER
6888,NCT00253643,OTHER
6898,NCT03545217,OTHER
6897,NCT00999453,OTHER
6896,NCT03736395,OTHER
6895,NCT01257581,OTHER
6894,NCT02118454,OTHER
6893,NCT01178840,OTHER
6892,NCT01825226,OTHER
6891,NCT04523259,OTHER
6890,NCT03200886,OTHER
6889,NCT00693121,OTHER
6887,NCT02228265,OTHER
7122,NCT04586049,OTHER
6886,NCT03038594,OTHER
7128,NCT03692273,OTHER
7129,NCT03143179,OTHER
6882,NCT01019798,OTHER
6881,NCT04360044,OTHER
6880,NCT01498458,OTHER
6879,NCT03582176,OTHER
6878,NCT01209910,OTHER
6877,NCT02760537,OTHER
6876,NCT01698879,OTHER
6899,NCT00155649,OTHER
6900,NCT04336397,OTHER
6901,NCT02263001,OTHER
6902,NCT02847117,OTHER
6925,NCT03762772,OTHER
6924,NCT02129361,OTHER
6923,NCT03370991,OTHER
6922,NCT01829620,OTHER
6921,NCT02312349,OTHER
6920,NCT04537689,OTHER
6919,NCT02072694,OTHER
6918,NCT02079116,OTHER
6916,NCT02301702,OTHER
7123,NCT04575402,OTHER
6914,NCT04606342,OTHER
6913,NCT03248583,OTHER
6912,NCT03952949,OTHER
7124,NCT04534972,OTHER
6910,NCT01229748,OTHER
6909,NCT04442620,OTHER
7125,NCT04481048,OTHER
6907,NCT00782392,OTHER
6906,NCT01004094,OTHER
6905,NCT01751230,OTHER
6903,NCT01039363,OTHER
6980,NCT00283855,OTHER
6981,NCT00265447,OTHER
6982,NCT00233129,OTHER
7050,NCT01650220,OTHER
7061,NCT01005615,OTHER
7059,NCT01128140,OTHER
7058,NCT01227005,OTHER
7057,NCT01243060,OTHER
7056,NCT01291758,OTHER
7055,NCT01418976,OTHER
7054,NCT01419223,OTHER
7103,NCT01062022,OTHER
7052,NCT01517711,OTHER
7051,NCT01626131,OTHER
7049,NCT01663792,OTHER
7037,NCT03080246,OTHER
7048,NCT01901887,OTHER
7047,NCT01962038,OTHER
7046,NCT02115607,OTHER
7104,NCT01007006,OTHER
7044,NCT02817984,OTHER
7105,NCT00202046,OTHER
7042,NCT04504630,OTHER
7106,NCT02439762,OTHER
7040,NCT01884545,OTHER
7039,NCT00483522,OTHER
7063,NCT00810225,OTHER
7064,NCT00742755,OTHER
7065,NCT00691067,OTHER
7100,NCT02069613,OTHER
7091,NCT04531592,OTHER
7090,NCT01679938,OTHER
7088,NCT03279120,OTHER
7087,NCT02911675,OTHER
7086,NCT03354351,OTHER
7085,NCT02176928,OTHER
7094,NCT04023084,OTHER
7082,NCT02904369,OTHER
7095,NCT03077126,OTHER
7096,NCT01079247,OTHER
7078,NCT03833219,OTHER
7077,NCT04241133,OTHER
7076,NCT00635960,OTHER
7074,NCT03866837,OTHER
7073,NCT01096251,OTHER
7072,NCT01199380,OTHER
7071,NCT01912287,OTHER
7070,NCT00196781,OTHER
7069,NCT00393874,OTHER
7068,NCT00473096,OTHER
7067,NCT00572884,OTHER
7038,NCT01591707,OTHER
7107,NCT00134784,OTHER
6983,NCT00233103,OTHER
6996,NCT01652352,OTHER
7007,NCT03321292,OTHER
7005,NCT03532139,OTHER
7004,NCT01220713,OTHER
7003,NCT03398395,OTHER
7002,NCT02186093,OTHER
7001,NCT01625962,OTHER
7116,NCT02430506,OTHER
7117,NCT02305524,OTHER
7118,NCT02295618,OTHER
6997,NCT00272259,OTHER
6995,NCT02807506,OTHER
7035,NCT00409786,OTHER
6994,NCT02866422,OTHER
6993,NCT04043715,OTHER
6992,NCT04122326,OTHER
7119,NCT02293226,OTHER
6989,NCT00167271,OTHER
6988,NCT00205491,OTHER
6987,NCT00205530,OTHER
6986,NCT00205569,OTHER
6985,NCT00211835,OTHER
6984,NCT00233090,OTHER
7008,NCT00387296,OTHER
7009,NCT03403166,OTHER
7010,NCT01894230,OTHER
7012,NCT03712098,OTHER
7034,NCT00867425,OTHER
7108,NCT03834714,OTHER
7032,NCT01747811,OTHER
7031,NCT02370173,OTHER
7030,NCT02374918,OTHER
7029,NCT03199222,OTHER
7109,NCT00349622,OTHER
7110,NCT04545606,OTHER
7026,NCT03237013,OTHER
7111,NCT00336622,OTHER
7024,NCT02089594,OTHER
7023,NCT01942564,OTHER
7022,NCT00647569,OTHER
7020,NCT02033538,OTHER
7019,NCT02041819,OTHER
7018,NCT01992263,OTHER
7017,NCT01738360,OTHER
7016,NCT03607331,OTHER
7015,NCT00942890,OTHER
7014,NCT03462758,OTHER
7013,NCT04581317,OTHER
7130,NCT02719860,OTHER
6874,NCT02796339,OTHER
6873,NCT00632944,OTHER
6723,NCT00464724,OTHER
6734,NCT03211819,OTHER
6733,NCT00234806,OTHER
6732,NCT02046109,OTHER
6730,NCT01043718,OTHER
6729,NCT00273351,OTHER
6728,NCT00310791,OTHER
6727,NCT00315250,OTHER
6726,NCT00387075,OTHER
6725,NCT00402896,OTHER
6724,NCT00410189,OTHER
6722,NCT00556764,OTHER
6709,NCT01672658,OTHER
7160,NCT02638051,OTHER
6719,NCT01087736,OTHER
6718,NCT01158001,OTHER
6717,NCT01168687,OTHER
6716,NCT01184547,OTHER
6715,NCT01186315,OTHER
6714,NCT01391832,OTHER
6713,NCT01402817,OTHER
6712,NCT01410721,OTHER
6711,NCT01425476,OTHER
7159,NCT03668678,OTHER
6736,NCT02205385,OTHER
6737,NCT01048112,OTHER
6738,NCT01942811,OTHER
6760,NCT01452503,OTHER
6759,NCT01667276,OTHER
6758,NCT01385046,OTHER
6756,NCT03029507,OTHER
7157,NCT02289638,OTHER
6754,NCT03883009,OTHER
6753,NCT03085953,OTHER
6752,NCT03762291,OTHER
6751,NCT03156088,OTHER
6750,NCT01711411,OTHER
6749,NCT01844102,OTHER
6748,NCT04311320,OTHER
6747,NCT03953911,OTHER
7158,NCT02277405,OTHER
6745,NCT01233609,OTHER
6744,NCT02991690,OTHER
6743,NCT03221777,OTHER
6742,NCT03415412,OTHER
6741,NCT04421235,OTHER
6740,NCT03680456,OTHER
6739,NCT03302299,OTHER
6710,NCT01632709,OTHER
6708,NCT01716338,OTHER
6762,NCT04601532,OTHER
6664,NCT03090815,OTHER
6677,NCT01911390,OTHER
6676,NCT04265690,OTHER
6674,NCT02435459,OTHER
6673,NCT02258386,OTHER
6672,NCT00411671,OTHER
6671,NCT04466423,OTHER
6670,NCT00430313,OTHER
7168,NCT02667353,OTHER
6666,NCT01861951,OTHER
6665,NCT02360020,OTHER
6663,NCT04380038,OTHER
7161,NCT03075475,OTHER
6661,NCT00107991,OTHER
6660,NCT02403232,OTHER
6658,NCT01574300,OTHER
7172,NCT03433183,OTHER
6655,NCT01876771,OTHER
6654,NCT04197011,OTHER
6653,NCT03378167,OTHER
7173,NCT02765672,OTHER
6651,NCT01706211,OTHER
6650,NCT03593187,OTHER
6678,NCT01104805,OTHER
6680,NCT00837239,OTHER
6681,NCT03043326,OTHER
6682,NCT03765567,OTHER
6706,NCT02157051,OTHER
6705,NCT02187211,OTHER
6704,NCT02226367,OTHER
6703,NCT02286843,OTHER
6702,NCT02302430,OTHER
6701,NCT02322047,OTHER
6700,NCT02796716,OTHER
6699,NCT02816346,OTHER
6698,NCT03202303,OTHER
6697,NCT03305055,OTHER
6695,NCT03433300,OTHER
6693,NCT03833674,OTHER
6692,NCT03867357,OTHER
7164,NCT03499951,OTHER
6690,NCT04205656,OTHER
6689,NCT04210986,OTHER
6688,NCT04212650,OTHER
6687,NCT03312621,OTHER
6685,NCT03504085,OTHER
7165,NCT01807728,OTHER
7166,NCT03865680,OTHER
6761,NCT04124523,OTHER
6763,NCT04598386,OTHER
6872,NCT02679937,OTHER
6831,NCT03889028,OTHER
6843,NCT00711087,OTHER
6842,NCT03264235,OTHER
6841,NCT04534959,OTHER
6839,NCT03384914,OTHER
6838,NCT02224365,OTHER
6837,NCT01494519,OTHER
7138,NCT00249080,OTHER
7139,NCT00188682,OTHER
6834,NCT03417388,OTHER
7140,NCT00138918,OTHER
6830,NCT00570206,OTHER
7143,NCT01538407,OTHER
6829,NCT00751244,OTHER
6828,NCT01496014,OTHER
6827,NCT01903330,OTHER
6826,NCT00394264,OTHER
6825,NCT02076308,OTHER
6824,NCT02206542,OTHER
6823,NCT03052452,OTHER
7142,NCT01046825,OTHER
6821,NCT02222532,OTHER
6820,NCT04215445,OTHER
6844,NCT00693563,OTHER
7137,NCT00257647,OTHER
6846,NCT00718393,OTHER
6847,NCT03947216,OTHER
6871,NCT03649191,OTHER
6870,NCT00730587,OTHER
6868,NCT02725970,OTHER
6867,NCT03852628,OTHER
6866,NCT03760497,OTHER
7132,NCT02022904,OTHER
6863,NCT00760851,OTHER
6862,NCT01977846,OTHER
6861,NCT03682263,OTHER
6860,NCT02792114,OTHER
7133,NCT01484184,OTHER
6858,NCT03663452,OTHER
6857,NCT03772730,OTHER
6856,NCT01353209,OTHER
6855,NCT02878850,OTHER
6854,NCT04100564,OTHER
7135,NCT00615979,OTHER
6852,NCT00859781,OTHER
6850,NCT02286921,OTHER
6849,NCT02863809,OTHER
6848,NCT02784587,OTHER
6819,NCT01005836,OTHER
6817,NCT01190033,OTHER
6764,NCT04416412,OTHER
7152,NCT02286323,OTHER
6788,NCT00563784,OTHER
6787,NCT00932061,OTHER
6784,NCT01505478,OTHER
6783,NCT01611935,OTHER
7150,NCT02295670,OTHER
6781,NCT02115646,OTHER
6780,NCT02204098,OTHER
7151,NCT02294916,OTHER
6778,NCT02334384,OTHER
6777,NCT02377089,OTHER
6775,NCT03040687,OTHER
7144,NCT03992274,OTHER
6774,NCT03342482,OTHER
7153,NCT02286297,OTHER
6772,NCT03440554,OTHER
7154,NCT02291653,OTHER
7155,NCT02289664,OTHER
6769,NCT03678766,OTHER
6768,NCT03996876,OTHER
7156,NCT02289651,OTHER
6766,NCT04329065,OTHER
6765,NCT04387227,OTHER
6789,NCT00476346,OTHER
6790,NCT00255060,OTHER
6791,NCT02205450,OTHER
6792,NCT00178698,OTHER
6814,NCT03939507,OTHER
6813,NCT03366532,OTHER
6811,NCT04386317,OTHER
6810,NCT02851030,OTHER
6809,NCT03973606,OTHER
7145,NCT02457663,OTHER
6807,NCT01665781,OTHER
6806,NCT04029298,OTHER
7146,NCT03830840,OTHER
6804,NCT02113228,OTHER
6803,NCT02039895,OTHER
6802,NCT01128023,OTHER
6801,NCT02046590,OTHER
6800,NCT02228668,OTHER
6799,NCT03063385,OTHER
6798,NCT03030703,OTHER
6797,NCT02428920,OTHER
6796,NCT02445196,OTHER
7147,NCT01038557,OTHER
6794,NCT02855294,OTHER
7148,NCT03857360,OTHER
7344,NCT02243774,OTHER
6187,NCT00494975,OTHER
5239,NCT04609995,OTHER
5551,NCT01957501,OTHER
7494,NCT00153777,OTHER
5561,NCT03579108,OTHER
5560,NCT01157117,OTHER
5559,NCT03429322,OTHER
5558,NCT03020719,OTHER
7495,NCT03605888,OTHER
5556,NCT02927821,OTHER
5555,NCT01211418,OTHER
5554,NCT01147120,OTHER
5552,NCT01448291,OTHER
5550,NCT04145323,OTHER
5564,NCT01991249,OTHER
5549,NCT02236273,OTHER
5548,NCT00579943,OTHER
5547,NCT01956058,OTHER
5546,NCT04492592,OTHER
5545,NCT02408159,OTHER
5544,NCT03246100,OTHER
5543,NCT02789176,OTHER
5542,NCT02346162,OTHER
5541,NCT01402674,OTHER
5540,NCT00628615,OTHER
5563,NCT01084733,OTHER
7493,NCT00213083,OTHER
5721,NCT01574937,OTHER
5580,NCT03194906,OTHER
7484,NCT03429257,OTHER
5591,NCT03552978,OTHER
5589,NCT03158740,OTHER
5587,NCT01221038,OTHER
7485,NCT03397420,OTHER
5585,NCT01380795,OTHER
5584,NCT02070328,OTHER
5583,NCT03612271,OTHER
5582,NCT02364518,OTHER
7486,NCT03366454,OTHER
5579,NCT02771847,OTHER
5566,NCT00473642,OTHER
7487,NCT02903602,OTHER
5577,NCT03294551,OTHER
7488,NCT02894294,OTHER
7489,NCT02725255,OTHER
5572,NCT02440061,OTHER
5571,NCT02360007,OTHER
7490,NCT01235247,OTHER
5569,NCT02938130,OTHER
7492,NCT00310726,OTHER
5567,NCT02907983,OTHER
5539,NCT03839589,OTHER
7496,NCT00615641,OTHER
7497,NCT04471974,OTHER
5484,NCT03750838,OTHER
5497,NCT02866721,OTHER
5496,NCT01528878,OTHER
5495,NCT00156390,OTHER
5493,NCT00466206,OTHER
5490,NCT02040142,OTHER
5489,NCT01333865,OTHER
5488,NCT00595504,OTHER
7506,NCT04579328,OTHER
5486,NCT03533556,OTHER
5485,NCT03551080,OTHER
5483,NCT01028144,OTHER
7498,NCT01033513,OTHER
5482,NCT00841269,OTHER
5481,NCT02139436,OTHER
5480,NCT00837148,OTHER
5479,NCT02192931,OTHER
5478,NCT02114190,OTHER
5477,NCT02926040,OTHER
5475,NCT02045459,OTHER
5474,NCT04564599,OTHER
5473,NCT03944616,OTHER
5472,NCT04297761,OTHER
7504,NCT00272220,OTHER
5500,NCT02286141,OTHER
5501,NCT00498355,OTHER
7503,NCT01637324,OTHER
5534,NCT02339493,OTHER
7499,NCT02548208,OTHER
5530,NCT04036006,OTHER
5528,NCT02592070,OTHER
5527,NCT04592978,OTHER
7500,NCT01023477,OTHER
5525,NCT01443728,OTHER
5524,NCT03517397,OTHER
5521,NCT03175536,OTHER
5520,NCT02307929,OTHER
5518,NCT01110005,OTHER
5517,NCT02057289,OTHER
5516,NCT02986802,OTHER
5513,NCT03294473,OTHER
5512,NCT04567238,OTHER
5511,NCT01040949,OTHER
5509,NCT00926250,OTHER
5507,NCT02335905,OTHER
5506,NCT03487692,OTHER
5505,NCT03716440,OTHER
5504,NCT04011059,OTHER
7483,NCT03571932,OTHER
7482,NCT03585361,OTHER
7481,NCT03822611,OTHER
5672,NCT03813628,OTHER
5685,NCT03933085,OTHER
7470,NCT00902798,OTHER
5682,NCT04535180,OTHER
5681,NCT03409367,OTHER
5680,NCT03350217,OTHER
5679,NCT00722761,OTHER
5678,NCT04087304,OTHER
5677,NCT00681993,OTHER
7471,NCT00783770,OTHER
5674,NCT03913676,OTHER
5671,NCT00275587,OTHER
5654,NCT00785200,OTHER
5669,NCT04311736,OTHER
5667,NCT02836288,OTHER
5666,NCT01674075,OTHER
7472,NCT03412136,OTHER
5663,NCT01873131,OTHER
5662,NCT02287428,OTHER
5661,NCT03226054,OTHER
5659,NCT01836445,OTHER
5658,NCT01365819,OTHER
7475,NCT01304407,OTHER
5687,NCT00722800,OTHER
5688,NCT00302042,OTHER
5689,NCT01343654,OTHER
5690,NCT04540952,OTHER
5718,NCT00440336,OTHER
5716,NCT02352116,OTHER
5715,NCT02000739,OTHER
5713,NCT03834025,OTHER
5712,NCT03249779,OTHER
5711,NCT02958267,OTHER
5710,NCT02206893,OTHER
5708,NCT01091857,OTHER
5707,NCT03267563,OTHER
5705,NCT01278355,OTHER
7466,NCT00657787,OTHER
5701,NCT01837524,OTHER
5700,NCT01794949,OTHER
5699,NCT01646541,OTHER
5697,NCT04330235,OTHER
5696,NCT02994108,OTHER
5695,NCT04475172,OTHER
5694,NCT03789097,OTHER
7467,NCT04116463,OTHER
7468,NCT03964792,OTHER
5691,NCT02244463,OTHER
5655,NCT02489396,OTHER
5653,NCT01177579,OTHER
5597,NCT03071744,OTHER
5611,NCT03259893,OTHER
5623,NCT00573924,OTHER
5622,NCT01006824,OTHER
5621,NCT01031342,OTHER
5620,NCT01291277,OTHER
5619,NCT02237885,OTHER
5618,NCT03759236,OTHER
5615,NCT02494167,OTHER
5614,NCT01591733,OTHER
5613,NCT01152684,OTHER
5612,NCT01694784,OTHER
5610,NCT00682773,OTHER
5651,NCT02683187,OTHER
5609,NCT03786120,OTHER
5608,NCT02475707,OTHER
5607,NCT02265120,OTHER
5606,NCT01769430,OTHER
5605,NCT02759185,OTHER
5604,NCT00401414,OTHER
5603,NCT03542812,OTHER
5602,NCT01134510,OTHER
5600,NCT04170803,OTHER
5598,NCT00821236,OTHER
5624,NCT01847495,OTHER
5625,NCT01955408,OTHER
5626,NCT03107546,OTHER
5628,NCT03746769,OTHER
5650,NCT04251208,OTHER
5649,NCT03114410,OTHER
5648,NCT03048786,OTHER
5647,NCT02442739,OTHER
5645,NCT02655458,OTHER
5644,NCT01500525,OTHER
7476,NCT03432325,OTHER
5642,NCT04103164,OTHER
7477,NCT02368106,OTHER
5640,NCT02393365,OTHER
5639,NCT03326401,OTHER
5638,NCT02255162,OTHER
5637,NCT03822403,OTHER
5636,NCT00680693,OTHER
5635,NCT00823381,OTHER
5634,NCT00958022,OTHER
5633,NCT03098082,OTHER
7478,NCT00722280,OTHER
5631,NCT04132700,OTHER
5630,NCT01410084,OTHER
7479,NCT02169882,OTHER
5471,NCT02635334,OTHER
5470,NCT01063153,OTHER
5469,NCT01879033,OTHER
5308,NCT02145949,OTHER
5319,NCT01493349,OTHER
5317,NCT01308814,OTHER
5316,NCT02429934,OTHER
5315,NCT00588692,OTHER
5314,NCT04533386,OTHER
5313,NCT04562948,OTHER
5312,NCT02723825,OTHER
5311,NCT03610555,OTHER
5310,NCT03206164,OTHER
5309,NCT03843021,OTHER
5307,NCT04570293,OTHER
5295,NCT03615469,OTHER
5306,NCT03678207,OTHER
5305,NCT04212962,OTHER
5304,NCT03887390,OTHER
5303,NCT04113421,OTHER
7530,NCT02949063,OTHER
5301,NCT00613873,OTHER
5300,NCT01724489,OTHER
5299,NCT03475420,OTHER
5298,NCT04323774,OTHER
5297,NCT04040010,OTHER
5321,NCT03718585,OTHER
5322,NCT03152409,OTHER
5323,NCT02132715,OTHER
5325,NCT02086630,OTHER
5348,NCT03864302,OTHER
5347,NCT01615055,OTHER
7527,NCT02983864,OTHER
5344,NCT03153397,OTHER
7528,NCT04250688,OTHER
5342,NCT03769571,OTHER
5341,NCT03122301,OTHER
5340,NCT03811847,OTHER
5339,NCT03465813,OTHER
5338,NCT04114526,OTHER
5337,NCT03589703,OTHER
5336,NCT02879006,OTHER
5335,NCT04399889,OTHER
5333,NCT00904046,OTHER
5332,NCT01894451,OTHER
5331,NCT04586387,OTHER
7529,NCT03338530,OTHER
5329,NCT02638090,OTHER
5328,NCT01038323,OTHER
5327,NCT02532010,OTHER
5326,NCT03048500,OTHER
5296,NCT00298155,OTHER
5294,NCT03808740,OTHER
5350,NCT03683147,OTHER
5251,NCT01996384,OTHER
5262,NCT00361010,OTHER
5261,NCT00385762,OTHER
5260,NCT02796352,OTHER
5259,NCT01624389,OTHER
5258,NCT02479737,OTHER
5257,NCT01972464,OTHER
5256,NCT02570672,OTHER
7533,NCT00702637,OTHER
5254,NCT00932295,OTHER
5252,NCT04015778,OTHER
5250,NCT02075151,OTHER
5293,NCT03255265,OTHER
5249,NCT00473317,OTHER
5248,NCT01889446,OTHER
3289,NCT00855374,OTHER
5246,NCT01893112,OTHER
5245,NCT02534376,OTHER
7534,NCT00675974,OTHER
5243,NCT03743337,OTHER
5242,NCT02540512,OTHER
7535,NCT00627250,OTHER
5240,NCT00948597,OTHER
5263,NCT04555239,OTHER
5264,NCT01072019,OTHER
7532,NCT02026167,OTHER
5266,NCT00724438,OTHER
5292,NCT01655043,OTHER
5290,NCT00237952,OTHER
5289,NCT04171921,OTHER
5288,NCT01836237,OTHER
5287,NCT04197674,OTHER
5286,NCT03495388,OTHER
5285,NCT03207711,OTHER
5284,NCT02429375,OTHER
5283,NCT03161795,OTHER
7531,NCT02787759,OTHER
5279,NCT02624674,OTHER
5278,NCT03806257,OTHER
5277,NCT03177447,OTHER
5276,NCT00124358,OTHER
5275,NCT04073667,OTHER
5273,NCT00130377,OTHER
5272,NCT02343263,OTHER
5271,NCT01609348,OTHER
5269,NCT04250779,OTHER
5268,NCT03780413,OTHER
5267,NCT02990377,OTHER
5349,NCT00351416,OTHER
5351,NCT03279913,OTHER
5468,NCT01477762,OTHER
7514,NCT01572532,OTHER
5440,NCT02530619,OTHER
5437,NCT04160975,OTHER
7511,NCT03127397,OTHER
5435,NCT00753012,OTHER
5434,NCT04217902,OTHER
5432,NCT03551184,OTHER
7513,NCT01924546,OTHER
5430,NCT01442493,OTHER
5427,NCT03056625,OTHER
5426,NCT04308356,OTHER
5424,NCT03658499,OTHER
5412,NCT04429789,OTHER
5423,NCT02182115,OTHER
5422,NCT03782480,OTHER
5421,NCT03590509,OTHER
5420,NCT03815214,OTHER
5419,NCT01647399,OTHER
5418,NCT02031328,OTHER
5417,NCT03431831,OTHER
7515,NCT01428830,OTHER
5415,NCT00948701,OTHER
5414,NCT02157597,OTHER
5441,NCT02854657,OTHER
7510,NCT03431558,OTHER
7509,NCT03510286,OTHER
5444,NCT00473239,OTHER
5467,NCT00244361,OTHER
5466,NCT00710606,OTHER
5464,NCT02828280,OTHER
5463,NCT04561050,OTHER
5462,NCT03429985,OTHER
5461,NCT03050658,OTHER
5460,NCT00992264,OTHER
5458,NCT02024672,OTHER
5457,NCT01937468,OTHER
5456,NCT01868672,OTHER
5455,NCT02626949,OTHER
5454,NCT02076152,OTHER
5453,NCT00662051,OTHER
7507,NCT04096521,OTHER
5451,NCT01966302,OTHER
5450,NCT02234011,OTHER
7508,NCT04092257,OTHER
5448,NCT01698177,OTHER
5447,NCT02194088,OTHER
5446,NCT01912833,OTHER
5445,NCT00381524,OTHER
5413,NCT01847300,OTHER
5411,NCT04313049,OTHER
5352,NCT01786850,OTHER
5369,NCT02954978,OTHER
5379,NCT01733030,OTHER
5378,NCT03297645,OTHER
7522,NCT00336245,OTHER
5376,NCT02452853,OTHER
5375,NCT02771925,OTHER
5374,NCT03971448,OTHER
5373,NCT04294095,OTHER
5372,NCT04431063,OTHER
5371,NCT03529422,OTHER
5370,NCT02201212,OTHER
5368,NCT02529280,OTHER
5410,NCT03542084,OTHER
5365,NCT02774330,OTHER
5364,NCT01702311,OTHER
5363,NCT03756454,OTHER
5362,NCT03451630,OTHER
7526,NCT01299116,OTHER
5359,NCT01133275,OTHER
5358,NCT04236804,OTHER
5356,NCT02609529,OTHER
5355,NCT02141113,OTHER
5353,NCT03880812,OTHER
5380,NCT03681353,OTHER
7521,NCT00379158,OTHER
5383,NCT02781675,OTHER
5384,NCT02152397,OTHER
7516,NCT01386294,OTHER
5407,NCT03795233,OTHER
5406,NCT00636779,OTHER
5405,NCT02839915,OTHER
7517,NCT00880204,OTHER
5403,NCT03125291,OTHER
7518,NCT00532181,OTHER
5400,NCT01235793,OTHER
5399,NCT00178802,OTHER
5398,NCT00814502,OTHER
5397,NCT02475850,OTHER
5396,NCT03956810,OTHER
5395,NCT03224507,OTHER
5394,NCT02086864,OTHER
5393,NCT03438682,OTHER
5390,NCT01844492,OTHER
5389,NCT02876588,OTHER
5388,NCT01617083,OTHER
7519,NCT00513500,OTHER
7520,NCT00396526,OTHER
5385,NCT01607541,OTHER
7462,NCT00878150,OTHER
5722,NCT00379743,OTHER
7346,NCT03492021,OTHER
6036,NCT03023644,OTHER
6046,NCT02657135,OTHER
6045,NCT02679560,OTHER
6044,NCT02721680,OTHER
6043,NCT02773056,OTHER
6042,NCT02871349,OTHER
7375,NCT01049516,OTHER
7376,NCT00756600,OTHER
6039,NCT02935621,OTHER
6038,NCT02960516,OTHER
6037,NCT02988401,OTHER
7377,NCT02975596,OTHER
6048,NCT02611375,OTHER
6034,NCT03082638,OTHER
6033,NCT03097978,OTHER
6032,NCT03110302,OTHER
6031,NCT03123224,OTHER
6030,NCT03150511,OTHER
6029,NCT03197675,OTHER
6028,NCT03197896,OTHER
6027,NCT03197922,OTHER
6026,NCT03230903,OTHER
6025,NCT03258658,OTHER
6047,NCT02634944,OTHER
6049,NCT02605876,OTHER
5723,NCT03928067,OTHER
6062,NCT02187198,OTHER
7371,NCT03882515,OTHER
