,NCTId,StudyType
1024,NCT02123225,Observational
6164,NCT00582569,Observational
1118,NCT04394104,Observational
1058,NCT02825602,Observational
1098,NCT02974244,Observational
9109,NCT04495348,Observational
6157,NCT00647790,Observational
1117,NCT02863458,Observational
8990,NCT04598035,Observational
4754,NCT01435954,Observational
8982,NCT04605965,Observational
9056,NCT04545047,Observational
9108,NCT04496297,Observational
4731,NCT02812030,Observational
1022,NCT02857751,Observational
4673,NCT01107379,Observational
4724,NCT03595410,Observational
4671,NCT01077596,Observational
1113,NCT02274389,Observational
4680,NCT00314899,Observational
1068,NCT04075578,Observational
6217,NCT01334190,Observational
4749,NCT04352634,Observational
4689,NCT02880527,Observational
4712,NCT03259178,Observational
9028,NCT04567719,Observational
6219,NCT02797769,Observational
4742,NCT03641742,Observational
6146,NCT00807820,Observational
4741,NCT04092400,Observational
6218,NCT01226433,Observational
4798,NCT03953794,Observational
8961,NCT03718104,Observational
4650,NCT01547013,Observational
1140,NCT02640677,Observational
8964,NCT03233594,Observational
6216,NCT01463254,Observational
4796,NCT02692092,Observational
4688,NCT01867905,Observational
4800,NCT00131586,Observational
1044,NCT00341510,Observational
8952,NCT04157270,Observational
9071,NCT04528446,Observational
6150,NCT00743821,Observational
1082,NCT01335412,Observational
6172,NCT00409968,Observational
1154,NCT04018001,Observational
4684,NCT04580017,Observational
1041,NCT00124319,Observational
1149,NCT04342806,Observational
6175,NCT00386620,Observational
4643,NCT03494283,Observational
4802,NCT01560520,Observational
9070,NCT04530500,Observational
6148,NCT00760708,Observational
9033,NCT04565119,Observational
4795,NCT02613767,Observational
4765,NCT02701868,Observational
6176,NCT00340158,Observational
1087,NCT03527654,Observational
6144,NCT00839696,Observational
8969,NCT03370614,Observational
1134,NCT04560933,Observational
1001,NCT01865032,Observational
4654,NCT04516824,Observational
4739,NCT00013715,Observational
1035,NCT00936845,Observational
4692,NCT03494244,Observational
6215,NCT03787485,Observational
5677,NCT00681993,Interventional
7077,NCT04241133,Interventional
5721,NCT01574937,Interventional
6347,NCT03486353,Interventional
7076,NCT00635960,Interventional
7102,NCT02447848,Interventional
7078,NCT03833219,Interventional
7075,NCT02733614,Interventional
7074,NCT03866837,Interventional
7130,NCT02719860,Interventional
5722,NCT00379743,Interventional
7108,NCT03834714,Interventional
7073,NCT01096251,Interventional
6333,NCT04374591,Interventional
5719,NCT03541187,Interventional
5688,NCT00302042,Interventional
7079,NCT00955201,Interventional
7071,NCT01912287,Interventional
7128,NCT03692273,Interventional
7080,NCT01505764,Interventional
5718,NCT00440336,Interventional
6192,NCT03821402,Interventional
6346,NCT02635971,Interventional
5717,NCT03723928,Interventional
6335,NCT04278495,Interventional
7081,NCT00367770,Interventional
5716,NCT02352116,Interventional
7072,NCT01199380,Interventional
6348,NCT04603911,Interventional
5723,NCT03928067,Interventional
6349,NCT03005145,Interventional
7067,NCT00572884,Interventional
7066,NCT00633009,Interventional
7065,NCT00691067,Interventional
7064,NCT00742755,Interventional
5694,NCT03789097,Interventional
7109,NCT00349622,Interventional
6338,NCT03939091,Interventional
7070,NCT00196781,Interventional
6350,NCT02919267,Interventional
7132,NCT02022904,Interventional
5692,NCT00101868,Interventional
5690,NCT04540952,Interventional
7062,NCT00862095,Interventional
6351,NCT01892397,Interventional
5695,NCT04475172,Interventional
7068,NCT00473096,Interventional
5674,NCT03913676,Interventional
5689,NCT01343654,Interventional
7111,NCT00336622,Interventional
7131,NCT02330081,Interventional
6329,NCT02755285,Interventional
5725,NCT04432272,Interventional
6330,NCT03332563,Interventional
6331,NCT04477083,Interventional
6193,NCT03482336,Interventional
5696,NCT02994108,Interventional
6189,NCT02063230,Interventional
5724,NCT00655967,Interventional
7069,NCT00393874,Interventional
6188,NCT00962637,Interventional
7126,NCT04387812,Interventional
7127,NCT04287478,Interventional
7112,NCT00113737,Interventional
7107,NCT00134784,Interventional
6190,NCT03418857,Interventional
5683,NCT00923936,Interventional
5707,NCT03267563,Interventional
7121,NCT02368808,Interventional
7088,NCT03279120,Interventional
6340,NCT03795545,Interventional
7120,NCT02291640,Interventional
7089,NCT00109616,Interventional
7090,NCT01679938,Interventional
7091,NCT04531592,Interventional
7119,NCT02293226,Interventional
5684,NCT02175329,Interventional
5685,NCT03933085,Interventional
7092,NCT04476901,Interventional
7093,NCT01474057,Interventional
7118,NCT02295618,Interventional
5709,NCT00326495,Interventional
7094,NCT04023084,Interventional
7095,NCT03077126,Interventional
5686,NCT00788346,Interventional
7096,NCT01079247,Interventional
6339,NCT03831321,Interventional
6187,NCT00494975,Interventional
7097,NCT00156663,Interventional
5704,NCT04240483,Interventional
7061,NCT01005615,Interventional
7099,NCT01937338,Interventional
7117,NCT02305524,Interventional
5703,NCT04241471,Interventional
5701,NCT01837524,Interventional
5702,NCT03052530,Interventional
5708,NCT01091857,Interventional
6191,NCT01873573,Interventional
7125,NCT04481048,Interventional
7104,NCT01007006,Interventional
7101,NCT02544061,Interventional
5678,NCT04087304,Interventional
7106,NCT02439762,Interventional
5687,NCT00722800,Interventional
5715,NCT02000739,Interventional
6345,NCT01065064,Interventional
5714,NCT00001781,Interventional
5713,NCT03834025,Interventional
5679,NCT00722761,Interventional
7114,NCT02905981,Interventional
6344,NCT02932475,Interventional
7082,NCT02904369,Interventional
5712,NCT03249779,Interventional
5700,NCT01794949,Interventional
7110,NCT04545606,Interventional
6341,NCT03795532,Interventional
7115,NCT00111163,Interventional
7083,NCT00109551,Interventional
6336,NCT04239066,Interventional
7084,NCT00688714,Interventional
7116,NCT02430506,Interventional
5680,NCT03350217,Interventional
6343,NCT02665520,Interventional
7085,NCT02176928,Interventional
5681,NCT03409367,Interventional
6186,NCT00921557,Interventional
5711,NCT02958267,Interventional
7103,NCT01062022,Interventional
5710,NCT02206893,Interventional
6342,NCT03763539,Interventional
5691,NCT02244463,Interventional
7047,NCT01962038,Interventional
6352,NCT02626611,Interventional
5775,NCT04504604,Interventional
6995,NCT02807506,Interventional
5772,NCT03828708,Interventional
6993,NCT04043715,Interventional
6371,NCT02703948,Interventional
6992,NCT04122326,Interventional
6991,NCT01594008,Interventional
5774,NCT03336255,Interventional
6372,NCT00996281,Interventional
6990,NCT00062972,Interventional
6989,NCT00167271,Interventional
6982,NCT00233129,Interventional
6988,NCT00205491,Interventional
5776,NCT01480193,Interventional
5777,NCT00273910,Interventional
5778,NCT01841983,Interventional
6985,NCT00211835,Interventional
5779,NCT00721149,Interventional
6984,NCT00233090,Interventional
6983,NCT00233103,Interventional
6373,NCT04396717,Interventional
5771,NCT03882437,Interventional
6178,NCT00308113,Interventional
6997,NCT00272259,Interventional
5770,NCT02484248,Interventional
6365,NCT01403649,Interventional
6366,NCT00458510,Interventional
6180,NCT00253994,Interventional
5762,NCT02874573,Interventional
5763,NCT00100399,Interventional
7004,NCT01220713,Interventional
7003,NCT03398395,Interventional
5764,NCT00923247,Interventional
5765,NCT03184025,Interventional
5766,NCT04028960,Interventional
5767,NCT02044484,Interventional
6367,NCT03776994,Interventional
6179,NCT00256724,Interventional
6368,NCT01984983,Interventional
7000,NCT01907906,Interventional
5768,NCT02281760,Interventional
6999,NCT02155829,Interventional
5769,NCT03266003,Interventional
6370,NCT01807546,Interventional
6177,NCT00337961,Interventional
6374,NCT02394600,Interventional
7060,NCT01121250,Interventional
6964,NCT01387100,Interventional
5793,NCT03913715,Interventional
6969,NCT00989430,Interventional
6968,NCT01056146,Interventional
6967,NCT01115998,Interventional
6966,NCT01119001,Interventional
6965,NCT01207375,Interventional
6381,NCT03214549,Interventional
6382,NCT00048321,Interventional
6383,NCT02145299,Interventional
6963,NCT01394874,Interventional
5781,NCT00338845,Interventional
6962,NCT01429077,Interventional
6961,NCT01548781,Interventional
6960,NCT01593189,Interventional
6174,NCT00404170,Interventional
5797,NCT04073901,Interventional
6384,NCT04180020,Interventional
5799,NCT01328197,Interventional
6959,NCT01599767,Interventional
5800,NCT00694551,Interventional
6380,NCT01266122,Interventional
6970,NCT00988104,Interventional
6971,NCT00924976,Interventional
6972,NCT00735670,Interventional
6981,NCT00265447,Interventional
6980,NCT00283855,Interventional
5782,NCT00098384,Interventional
5783,NCT00156351,Interventional
5784,NCT03067649,Interventional
5785,NCT03634527,Interventional
5786,NCT02454010,Interventional
6376,NCT02133469,Interventional
6978,NCT00448045,Interventional
6977,NCT00485914,Interventional
6976,NCT00488969,Interventional
6975,NCT00618566,Interventional
5788,NCT04603794,Interventional
6974,NCT00621751,Interventional
6377,NCT01523080,Interventional
5789,NCT02284685,Interventional
5790,NCT03361384,Interventional
6973,NCT00692575,Interventional
6378,NCT02634502,Interventional
7005,NCT03532139,Interventional
7006,NCT02369861,Interventional
5759,NCT03848221,Interventional
7041,NCT01294150,Interventional
6357,NCT01880463,Interventional
5672,NCT03813628,Interventional
6183,NCT00122369,Interventional
7046,NCT02115607,Interventional
6359,NCT01987388,Interventional
7045,NCT02234778,Interventional
7044,NCT02817984,Interventional
7043,NCT03309046,Interventional
7042,NCT04504630,Interventional
6360,NCT03255681,Interventional
5758,NCT02236390,Interventional
6361,NCT00590681,Interventional
5740,NCT04418518,Interventional
7040,NCT01884545,Interventional
7039,NCT00483522,Interventional
5741,NCT01014533,Interventional
7038,NCT01591707,Interventional
5742,NCT00774371,Interventional
5743,NCT03716505,Interventional
7037,NCT03080246,Interventional
5738,NCT00876434,Interventional
7048,NCT01901887,Interventional
6356,NCT04584554,Interventional
7049,NCT01663792,Interventional
5726,NCT00599209,Interventional
7059,NCT01128140,Interventional
7058,NCT01227005,Interventional
6353,NCT00482612,Interventional
7057,NCT01243060,Interventional
5728,NCT03775096,Interventional
5729,NCT01195220,Interventional
5730,NCT03080493,Interventional
7055,NCT01418976,Interventional
5731,NCT02789215,Interventional
5733,NCT02602223,Interventional
5734,NCT02739464,Interventional
6184,NCT00083525,Interventional
5735,NCT01987830,Interventional
5736,NCT02147522,Interventional
7052,NCT01517711,Interventional
7051,NCT01626131,Interventional
6354,NCT01886326,Interventional
6355,NCT04156919,Interventional
7036,NCT01454999,Interventional
5744,NCT01860352,Interventional
7035,NCT00409786,Interventional
6364,NCT00518323,Interventional
7019,NCT02041819,Interventional
7018,NCT01992263,Interventional
7017,NCT01738360,Interventional
5752,NCT03881020,Interventional
7016,NCT03607331,Interventional
7015,NCT00942890,Interventional
5753,NCT00237094,Interventional
5754,NCT00208988,Interventional
7014,NCT03462758,Interventional
7013,NCT04581317,Interventional
5755,NCT01191788,Interventional
5756,NCT01995812,Interventional
6181,NCT00206453,Interventional
7012,NCT03712098,Interventional
7011,NCT01464307,Interventional
7010,NCT01894230,Interventional
5757,NCT00254176,Interventional
7008,NCT00387296,Interventional
7007,NCT03321292,Interventional
5751,NCT03860077,Interventional
7020,NCT02033538,Interventional
6362,NCT00088283,Interventional
5750,NCT00417742,Interventional
5745,NCT02796859,Interventional
7034,NCT00867425,Interventional
6363,NCT03832049,Interventional
7033,NCT00282516,Interventional
7032,NCT01747811,Interventional
7031,NCT02370173,Interventional
7030,NCT02374918,Interventional
7029,NCT03199222,Interventional
7028,NCT00010309,Interventional
7027,NCT01500434,Interventional
5747,NCT02188563,Interventional
7026,NCT03237013,Interventional
7025,NCT02558829,Interventional
6182,NCT00186108,Interventional
7024,NCT02089594,Interventional
5748,NCT00000362,Interventional
7022,NCT00647569,Interventional
5749,NCT02427061,Interventional
7021,NCT03483649,Interventional
5673,NCT04296942,Interventional
6508,NCT04419948,Interventional
6328,NCT00779220,Interventional
7266,NCT01399138,Interventional
7272,NCT01338701,Interventional
5572,NCT02440061,Interventional
6268,NCT01032382,Interventional
7270,NCT03154307,Interventional
5573,NCT01034579,Interventional
5574,NCT03478865,Interventional
7269,NCT03052010,Interventional
7268,NCT02993458,Interventional
7267,NCT02938975,Interventional
6269,NCT00992693,Interventional
6256,NCT02483260,Interventional
6270,NCT00868946,Interventional
7265,NCT01888848,Interventional
7264,NCT02075307,Interventional
7263,NCT04589377,Interventional
7262,NCT01412866,Interventional
5576,NCT02359994,Interventional
7261,NCT01761396,Interventional
7260,NCT01779427,Interventional
5577,NCT03294551,Interventional
5571,NCT02360007,Interventional
6267,NCT01080716,Interventional
7273,NCT00992953,Interventional
6266,NCT01083576,Interventional
6258,NCT01933685,Interventional
6259,NCT01931358,Interventional
6260,NCT01843621,Interventional
6261,NCT01790659,Interventional
7281,NCT02025413,Interventional
7280,NCT02562872,Interventional
5566,NCT00473642,Interventional
5567,NCT02907983,Interventional
5568,NCT01992874,Interventional
5569,NCT02938130,Interventional
6210,NCT00004045,Interventional
6263,NCT01536795,Interventional
7278,NCT02949037,Interventional
7277,NCT03236012,Interventional
7276,NCT03416348,Interventional
6264,NCT01435135,Interventional
6265,NCT01290601,Interventional
7275,NCT04071600,Interventional
7274,NCT01052103,Interventional
5578,NCT03505567,Interventional
7259,NCT03992001,Interventional
7258,NCT02010684,Interventional
6282,NCT00298610,Interventional
6206,NCT04517396,Interventional
5589,NCT03158740,Interventional
6283,NCT00287469,Interventional
5591,NCT03552978,Interventional
7246,NCT01750268,Interventional
6284,NCT02310334,Interventional
7245,NCT02773446,Interventional
6285,NCT00162981,Interventional
6286,NCT02156271,Interventional
5593,NCT03478878,Interventional
7244,NCT03211884,Interventional
7243,NCT03358563,Interventional
5594,NCT02600819,Interventional
6287,NCT01335009,Interventional
7242,NCT04561765,Interventional
6288,NCT00518713,Interventional
7241,NCT01024569,Interventional
7240,NCT02191267,Interventional
6289,NCT03600324,Interventional
7247,NCT01749215,Interventional
7248,NCT01549899,Interventional
5580,NCT03194906,Interventional
6207,NCT00046475,Interventional
5581,NCT03671655,Interventional
7257,NCT01031927,Interventional
7256,NCT00248300,Interventional
5582,NCT02364518,Interventional
5583,NCT03612271,Interventional
6271,NCT00703924,Interventional
6272,NCT00623168,Interventional
6273,NCT00606580,Interventional
7253,NCT00744146,Interventional
6274,NCT00490230,Interventional
6275,NCT00468858,Interventional
5585,NCT01380795,Interventional
6276,NCT00460525,Interventional
6277,NCT00384670,Interventional
6278,NCT00370682,Interventional
5586,NCT00923728,Interventional
6279,NCT00358332,Interventional
6280,NCT00349713,Interventional
6208,NCT00870285,Interventional
5564,NCT01991249,Interventional
6211,NCT01942837,Interventional
6290,NCT03295695,Interventional
6238,NCT02503319,Interventional
6234,NCT01905618,Interventional
6221,NCT02629159,Interventional
7319,NCT03869060,Interventional
6220,NCT03030716,Interventional
5546,NCT04492592,Interventional
6236,NCT02775773,Interventional
5547,NCT01956058,Interventional
6237,NCT02604238,Interventional
5549,NCT02236273,Interventional
5550,NCT04145323,Interventional
5562,NCT01611194,Interventional
6239,NCT02305186,Interventional
7317,NCT00822692,Interventional
5552,NCT01448291,Interventional
7314,NCT01307280,Interventional
7313,NCT00437021,Interventional
5553,NCT03253744,Interventional
6240,NCT02421666,Interventional
6241,NCT04573920,Interventional
7312,NCT04590963,Interventional
7320,NCT04298138,Interventional
6222,NCT02675426,Interventional
6233,NCT01092416,Interventional
7321,NCT01093053,Interventional
7332,NCT02587351,Interventional
5539,NCT03839589,Interventional
6227,NCT04182659,Interventional
6228,NCT02706847,Interventional
5541,NCT01402674,Interventional
7330,NCT00204477,Interventional
7329,NCT01301053,Interventional
5542,NCT02346162,Interventional
6224,NCT04458350,Interventional
6230,NCT00321932,Interventional
6231,NCT00329706,Interventional
7326,NCT01556581,Interventional
7325,NCT01838863,Interventional
7324,NCT02666859,Interventional
5544,NCT03246100,Interventional
6223,NCT02706951,Interventional
7323,NCT03544632,Interventional
5545,NCT02408159,Interventional
7322,NCT01208870,Interventional
7311,NCT01441167,Interventional
7310,NCT04028180,Interventional
7309,NCT04474093,Interventional
5556,NCT02927821,Interventional
6248,NCT04333459,Interventional
7290,NCT03079999,Interventional
5558,NCT03020719,Interventional
7289,NCT03449667,Interventional
6250,NCT04283513,Interventional
7287,NCT00619463,Interventional
5559,NCT03429322,Interventional
6251,NCT04203186,Interventional
7286,NCT01670227,Interventional
7285,NCT03227861,Interventional
6212,NCT02481310,Interventional
7284,NCT01175993,Interventional
6252,NCT02864901,Interventional
5560,NCT01157117,Interventional
6253,NCT02491606,Interventional
6254,NCT02488980,Interventional
7283,NCT02722356,Interventional
6255,NCT02488902,Interventional
7282,NCT01502449,Interventional
6213,NCT02462733,Interventional
6246,NCT03883477,Interventional
7308,NCT02319447,Interventional
7292,NCT01529034,Interventional
7307,NCT04574869,Interventional
7306,NCT01683409,Interventional
7305,NCT01670825,Interventional
7304,NCT00387855,Interventional
7303,NCT01964859,Interventional
5554,NCT01147120,Interventional
6242,NCT04573478,Interventional
7301,NCT03623022,Interventional
7300,NCT02469324,Interventional
6214,NCT03113786,Interventional
7299,NCT03920137,Interventional
7298,NCT02946736,Interventional
7296,NCT03767894,Interventional
5555,NCT01211418,Interventional
6243,NCT02630043,Interventional
6244,NCT02505035,Interventional
7294,NCT00632060,Interventional
6245,NCT01294982,Interventional
7293,NCT00599508,Interventional
7239,NCT04453943,Interventional
6291,NCT03892746,Interventional
7133,NCT01484184,Interventional
7171,NCT02195427,Interventional
7177,NCT00990106,Interventional
5647,NCT02442739,Interventional
7175,NCT02764983,Interventional
5648,NCT03048786,Interventional
7174,NCT02877732,Interventional
5649,NCT03114410,Interventional
7173,NCT02765672,Interventional
6197,NCT02045784,Interventional
7172,NCT03433183,Interventional
6319,NCT00671944,Interventional
5630,NCT01410084,Interventional
7169,NCT01559103,Interventional
7168,NCT02667353,Interventional
7167,NCT02153346,Interventional
7166,NCT03865680,Interventional
7165,NCT01807728,Interventional
7164,NCT03499951,Interventional
7163,NCT00643188,Interventional
5651,NCT02683187,Interventional
5653,NCT01177579,Interventional
5646,NCT01145209,Interventional
5645,NCT02655458,Interventional
6198,NCT02903355,Interventional
7179,NCT00162461,Interventional
5631,NCT04132700,Interventional
5632,NCT03440450,Interventional
5633,NCT03098082,Interventional
7183,NCT01443078,Interventional
6315,NCT01541761,Interventional
5634,NCT00958022,Interventional
5635,NCT00823381,Interventional
5636,NCT00680693,Interventional
5637,NCT03822403,Interventional
5638,NCT02255162,Interventional
6200,NCT02666742,Interventional
6316,NCT01454674,Interventional
5640,NCT02393365,Interventional
5642,NCT04103164,Interventional
6317,NCT01264757,Interventional
7182,NCT02845349,Interventional
7181,NCT01280162,Interventional
6318,NCT00756626,Interventional
7180,NCT02386878,Interventional
7162,NCT04568330,Interventional
7161,NCT03075475,Interventional
7160,NCT02638051,Interventional
5660,NCT00489931,Interventional
5661,NCT03226054,Interventional
7144,NCT03992274,Interventional
7143,NCT01538407,Interventional
7142,NCT01046825,Interventional
5662,NCT02287428,Interventional
5663,NCT01873131,Interventional
5664,NCT01744782,Interventional
7141,NCT00123968,Interventional
6323,NCT00005879,Interventional
7140,NCT00138918,Interventional
6324,NCT00154622,Interventional
5667,NCT02836288,Interventional
5668,NCT00080366,Interventional
6325,NCT04510844,Interventional
5669,NCT04311736,Interventional
7136,NCT00504335,Interventional
5670,NCT02262832,Interventional
6326,NCT02338024,Interventional
6194,NCT04560946,Interventional
6322,NCT01497678,Interventional
7147,NCT01038557,Interventional
5654,NCT00785200,Interventional
7148,NCT03857360,Interventional
7159,NCT03668678,Interventional
6320,NCT00622050,Interventional
7158,NCT02277405,Interventional
6321,NCT00565149,Interventional
7157,NCT02289638,Interventional
7156,NCT02289651,Interventional
5802,NCT03198156,Interventional
7155,NCT02289664,Interventional
7154,NCT02291653,Interventional
7153,NCT02286297,Interventional
5657,NCT02792426,Interventional
5658,NCT01365819,Interventional
5659,NCT01836445,Interventional
6196,NCT01076504,Interventional
7152,NCT02286323,Interventional
6195,NCT01249625,Interventional
7151,NCT02294916,Interventional
7150,NCT02295670,Interventional
7149,NCT01818869,Interventional
7186,NCT04370977,Interventional
7187,NCT04286243,Interventional
6292,NCT03796884,Interventional
7216,NCT00396500,Interventional
5600,NCT04170803,Interventional
7222,NCT00222547,Interventional
7221,NCT00244777,Interventional
6298,NCT01843686,Interventional
5602,NCT01134510,Interventional
5603,NCT03542812,Interventional
7218,NCT00351702,Interventional
5604,NCT00401414,Interventional
7217,NCT00355043,Interventional
7215,NCT00407394,Interventional
5629,NCT00076557,Interventional
7214,NCT00505609,Interventional
5605,NCT02759185,Interventional
7213,NCT01129089,Interventional
7212,NCT01756469,Interventional
6299,NCT01326104,Interventional
5607,NCT02265120,Interventional
6300,NCT01119326,Interventional
5608,NCT02475707,Interventional
6301,NCT00728325,Interventional
6203,NCT00372073,Interventional
7223,NCT00216333,Interventional
6296,NCT02953860,Interventional
5598,NCT00821236,Interventional
7238,NCT01398319,Interventional
6205,NCT01656889,Interventional
7236,NCT02971072,Interventional
7235,NCT01140269,Interventional
7234,NCT01387490,Interventional
7233,NCT01524133,Interventional
6293,NCT03663361,Interventional
7231,NCT02272257,Interventional
7229,NCT04330326,Interventional
6294,NCT03347552,Interventional
7228,NCT01147900,Interventional
7227,NCT00860951,Interventional
5596,NCT00536185,Interventional
7226,NCT00140361,Interventional
6295,NCT02955394,Interventional
5597,NCT03071744,Interventional
7225,NCT00198835,Interventional
7224,NCT00213096,Interventional
6204,NCT04347629,Interventional
7211,NCT01872390,Interventional
6302,NCT00508586,Interventional
5610,NCT00682773,Interventional
7195,NCT03824756,Interventional
6308,NCT04225598,Interventional
5620,NCT01291277,Interventional
7194,NCT03829358,Interventional
7193,NCT03885973,Interventional
5621,NCT01031342,Interventional
6201,NCT01055990,Interventional
7191,NCT04135625,Interventional
5622,NCT01006824,Interventional
7190,NCT04166370,Interventional
7189,NCT04185597,Interventional
5623,NCT00573924,Interventional
5624,NCT01847495,Interventional
6311,NCT04186533,Interventional
5626,NCT03107546,Interventional
6312,NCT03577223,Interventional
6313,NCT02346994,Interventional
6314,NCT01674049,Interventional
7188,NCT04234815,Interventional
5628,NCT03746769,Interventional
5619,NCT02237885,Interventional
5618,NCT03759236,Interventional
7210,NCT01873196,Interventional
7197,NCT03555669,Interventional
5611,NCT03259893,Interventional
5612,NCT01694784,Interventional
7209,NCT01930084,Interventional
7208,NCT01985269,Interventional
7207,NCT02121821,Interventional
6202,NCT00036647,Interventional
7206,NCT02395328,Interventional
7205,NCT02577380,Interventional
7204,NCT02908399,Interventional
6304,NCT02388880,Interventional
7203,NCT02927496,Interventional
7202,NCT02929121,Interventional
7201,NCT02929134,Interventional
7200,NCT03058302,Interventional
5614,NCT01591733,Interventional
7199,NCT03074799,Interventional
7198,NCT03254628,Interventional
5615,NCT02494167,Interventional
6306,NCT01948947,Interventional
6385,NCT01100658,Interventional
6938,NCT03339648,Interventional
6173,NCT00405678,Interventional
6647,NCT01032044,Interventional
6655,NCT01876771,Interventional
6003,NCT03769259,Interventional
6004,NCT03763643,Interventional
6653,NCT03378167,Interventional
6134,NCT00986986,Interventional
6651,NCT01706211,Interventional
6650,NCT03593187,Interventional
6465,NCT04338334,Interventional
6648,NCT01969864,Interventional
6646,NCT00884988,Interventional
6657,NCT02418962,Interventional
6645,NCT02187224,Interventional
6644,NCT01739803,Interventional
6006,NCT03708276,Interventional
6007,NCT03686813,Interventional
6642,NCT03885700,Interventional
6467,NCT01118026,Interventional
6640,NCT03869671,Interventional
6639,NCT01535326,Interventional
6009,NCT03668873,Interventional
6656,NCT00164671,Interventional
6464,NCT00002309,Interventional
6637,NCT00254072,Interventional
5997,NCT03898271,Interventional
6667,NCT02792699,Interventional
6140,NCT00870545,Interventional
6666,NCT01861951,Interventional
6139,NCT00896649,Interventional
5994,NCT03927404,Interventional
6138,NCT00904423,Interventional
6665,NCT02360020,Interventional
5996,NCT03900845,Interventional
6663,NCT04380038,Interventional
6137,NCT00911248,Interventional
6463,NCT03630588,Interventional
5998,NCT03873610,Interventional
6462,NCT03733626,Interventional
6661,NCT00107991,Interventional
5999,NCT03861390,Interventional
6000,NCT03851406,Interventional
6660,NCT02403232,Interventional
6659,NCT03887247,Interventional
6136,NCT00972439,Interventional
6001,NCT03803332,Interventional
6010,NCT03621085,Interventional
6635,NCT02963987,Interventional
6608,NCT00202449,Interventional
6127,NCT01140373,Interventional
6474,NCT04341948,Interventional
6020,NCT03390335,Interventional
6621,NCT04026802,Interventional
6620,NCT00342355,Interventional
6619,NCT01509573,Interventional
6021,NCT03387553,Interventional
6022,NCT03366844,Interventional
6128,NCT01118208,Interventional
6617,NCT04044326,Interventional
6024,NCT03266965,Interventional
6018,NCT03418129,Interventional
6616,NCT03250156,Interventional
6615,NCT04130984,Interventional
6614,NCT02693444,Interventional
6613,NCT03598816,Interventional
6126,NCT01155024,Interventional
6612,NCT02144441,Interventional
6611,NCT02832401,Interventional
6025,NCT03258658,Interventional
6026,NCT03230903,Interventional
6622,NCT04261738,Interventional
6473,NCT00847912,Interventional
6011,NCT03615196,Interventional
6629,NCT04168450,Interventional
6012,NCT03552705,Interventional
6634,NCT03551483,Interventional
6013,NCT03551678,Interventional
6014,NCT03535688,Interventional
6015,NCT03530163,Interventional
6632,NCT02387320,Interventional
6468,NCT01824082,Interventional
6631,NCT02831257,Interventional
6630,NCT03033602,Interventional
6628,NCT04549532,Interventional
6017,NCT03423394,Interventional
6627,NCT03167658,Interventional
6626,NCT00710502,Interventional
6129,NCT01111682,Interventional
6625,NCT01662973,Interventional
6624,NCT03221530,Interventional
6471,NCT03059095,Interventional
6016,NCT03463239,Interventional
6472,NCT00000152,Interventional
6623,NCT02132793,Interventional
5993,NCT03984487,Interventional
6668,NCT01768546,Interventional
6141,NCT00853528,Interventional
6449,NCT04070833,Interventional
5971,NCT04162847,Interventional
6447,NCT01786603,Interventional
6142,NCT00852644,Interventional
6707,NCT01959022,Interventional
6706,NCT02157051,Interventional
6705,NCT02187211,Interventional
5972,NCT03029884,Interventional
6448,NCT00451867,Interventional
6704,NCT02226367,Interventional
6703,NCT02286843,Interventional
6708,NCT01716338,Interventional
6702,NCT02302430,Interventional
6701,NCT02322047,Interventional
5974,NCT04589611,Interventional
5975,NCT04587583,Interventional
6699,NCT02816346,Interventional
6451,NCT00782353,Interventional
6452,NCT02924467,Interventional
6453,NCT04579198,Interventional
5976,NCT04571008,Interventional
5970,NCT02477124,Interventional
6143,NCT00851253,Interventional
6670,NCT00430313,Interventional
5963,NCT01559688,Interventional
6719,NCT01087736,Interventional
6718,NCT01158001,Interventional
5961,NCT04073225,Interventional
6445,NCT01678495,Interventional
6446,NCT00481689,Interventional
6717,NCT01168687,Interventional
6716,NCT01184547,Interventional
6715,NCT01186315,Interventional
6714,NCT01391832,Interventional
6713,NCT01402817,Interventional
5969,NCT03763747,Interventional
5964,NCT02949115,Interventional
6712,NCT01410721,Interventional
5965,NCT01078909,Interventional
6711,NCT01425476,Interventional
6710,NCT01632709,Interventional
6709,NCT01672658,Interventional
5966,NCT00847574,Interventional
5967,NCT02632552,Interventional
5968,NCT02367521,Interventional
6698,NCT03202303,Interventional
6454,NCT02761551,Interventional
6697,NCT03305055,Interventional
6676,NCT04265690,Interventional
6683,NCT02987543,Interventional
5986,NCT04171115,Interventional
5987,NCT04144257,Interventional
6682,NCT03765567,Interventional
6459,NCT02273206,Interventional
6680,NCT00837239,Interventional
5988,NCT04140708,Interventional
6678,NCT01104805,Interventional
6677,NCT01911390,Interventional
6460,NCT02276118,Interventional
6696,NCT03339258,Interventional
5989,NCT04136548,Interventional
6675,NCT00708890,Interventional
6674,NCT02435459,Interventional
5990,NCT04051242,Interventional
6672,NCT00411671,Interventional
6461,NCT00856999,Interventional
5991,NCT04024878,Interventional
6671,NCT04466423,Interventional
5992,NCT04001790,Interventional
6684,NCT03619369,Interventional
5985,NCT04232670,Interventional
6457,NCT02473926,Interventional
6685,NCT03504085,Interventional
6695,NCT03433300,Interventional
6455,NCT04219540,Interventional
6694,NCT03529487,Interventional
5977,NCT04517994,Interventional
6693,NCT03833674,Interventional
5978,NCT04515212,Interventional
5979,NCT04512105,Interventional
