,NCTId,StudyType
8474,NCT01804452,Observational
8473,NCT00642590,Observational
4203,NCT04047147,Observational
8471,NCT01258244,Observational
1761,NCT02639832,Observational
8485,NCT03933345,Observational
8487,NCT00590148,Observational
1763,NCT01576601,Observational
4223,NCT01611233,Observational
4228,NCT02755818,Observational
1721,NCT03336567,Observational
8503,NCT00359580,Observational
4227,NCT04132557,Observational
4226,NCT00475202,Observational
4224,NCT02880644,Observational
4222,NCT01074151,Observational
4216,NCT02282748,Observational
1729,NCT03248141,Observational
1730,NCT01511393,Observational
6559,NCT00339937,Observational
4220,NCT02245178,Observational
6560,NCT00340977,Observational
8493,NCT01008241,Observational
4202,NCT01228344,Observational
1764,NCT00626379,Observational
6605,NCT00795678,Observational
4173,NCT03372746,Observational
1800,NCT01436240,Observational
8440,NCT04247555,Observational
4176,NCT02486783,Observational
8438,NCT02527980,Observational
6593,NCT00341003,Observational
4174,NCT03264521,Observational
6596,NCT01381406,Observational
4182,NCT03137264,Observational
6598,NCT03992183,Observational
4165,NCT01928953,Observational
8426,NCT00462683,Observational
6601,NCT01692067,Observational
6603,NCT01171638,Observational
4161,NCT03042117,Observational
8446,NCT04357964,Observational
6587,NCT01446224,Observational
1766,NCT01228058,Observational
8461,NCT00566670,Observational
1767,NCT01900834,Observational
1768,NCT01423383,Observational
8468,NCT02415751,Observational
6573,NCT03259386,Observational
8464,NCT00581295,Observational
4197,NCT02720653,Observational
6578,NCT02917798,Observational
4188,NCT04423458,Observational
1779,NCT03377569,Observational
6579,NCT02043158,Observational
1781,NCT01846858,Observational
1782,NCT02047084,Observational
4191,NCT03765593,Observational
6582,NCT00341120,Observational
6679,NCT04171960,Observational
4069,NCT01598597,Observational
3889,NCT00444301,Observational
1957,NCT01505049,Observational
2118,NCT00158145,Observational
6764,NCT04416412,Observational
8192,NCT00826605,Observational
3960,NCT03286179,Observational
2126,NCT02111031,Observational
2129,NCT01263600,Observational
3957,NCT02045043,Observational
6779,NCT02295410,Observational
3947,NCT02996877,Observational
3944,NCT03106233,Observational
2146,NCT00318734,Observational
2147,NCT00384241,Observational
6784,NCT01505478,Observational
6786,NCT01132898,Observational
3938,NCT02389855,Observational
2117,NCT00740337,Observational
8197,NCT02436616,Observational
2115,NCT02283918,Observational
8208,NCT02191306,Observational
6754,NCT03883009,Observational
3978,NCT02322554,Observational
3977,NCT02467998,Observational
2098,NCT01517945,Observational
3976,NCT02813161,Observational
2100,NCT01009905,Observational
2102,NCT00525083,Observational
2114,NCT00218179,Observational
3975,NCT02813187,Observational
2104,NCT00592371,Observational
6759,NCT01667276,Observational
3971,NCT02688660,Observational
3970,NCT04548895,Observational
6761,NCT04124523,Observational
6790,NCT00255060,Observational
2156,NCT00983463,Observational
6791,NCT02205450,Observational
2208,NCT04533360,Observational
3901,NCT02233855,Observational
2202,NCT00663143,Observational
6823,NCT03052452,Observational
2205,NCT04321811,Observational
8125,NCT01469663,Observational
3897,NCT04142723,Observational
2209,NCT02792439,Observational
6816,NCT00341523,Observational
2212,NCT00466778,Observational
2213,NCT00344903,Observational
2215,NCT01639573,Observational
8119,NCT03769740,Observational
3892,NCT01118169,Observational
3891,NCT00005271,Observational
2199,NCT03266471,Observational
6815,NCT01770210,Observational
2159,NCT01140724,Observational
