,NCTId,EnrollmentCount
9767,NCT03928288,80
9763,NCT03931772,80
7413,NCT04060017,80
9745,NCT03944746,80
1661,NCT03659656,80
9743,NCT03945474,80
2704,NCT02824705,80
6193,NCT03482336,80
2216,NCT04031729,80
7356,NCT01670877,80
58,NCT02987335,80
2058,NCT01987115,80
5014,NCT04168658,80
3012,NCT01999244,80
8222,NCT00220714,80
1323,NCT02387203,80
4851,NCT04557345,80
8705,NCT02295059,80
7583,NCT00235235,80
9557,NCT04089371,80
6728,NCT00310791,80
1339,NCT03215615,80
8580,NCT01859000,80
8275,NCT00737321,80
7871,NCT00248040,80
8571,NCT03001024,80
6696,NCT03339258,80
5036,NCT04279704,80
6680,NCT00837239,80
1407,NCT03430310,80
4389,NCT03404986,80
3840,NCT02750930,8
2103,NCT03411278,8
2766,NCT00769262,8
9007,NCT04583501,8
1659,NCT01966718,8
5485,NCT03551080,8
6818,NCT04176328,8
6383,NCT02145299,8
2682,NCT01285362,8
2631,NCT00713479,8
9395,NCT04236635,8
6138,NCT00904423,8
5340,NCT03811847,8
1727,NCT00124696,8
8725,NCT00025389,8
1946,NCT02836418,8
7149,NCT01818869,8
6755,NCT03038828,8
2533,NCT02944370,8
8363,NCT01046214,8
6901,NCT02263001,8
3916,NCT00122187,8
8172,NCT01846845,8
1798,NCT03775668,8
4855,NCT04159454,8
8387,NCT00504023,8
7631,NCT00622401,8
6147,NCT00763009,8
8134,NCT00000273,8
3014,NCT00991185,8
5275,NCT04073667,8
5712,NCT03249779,8
7044,NCT02817984,8
9634,NCT04037865,8
5198,NCT01575860,8
5700,NCT01794949,8
1350,NCT01198964,8
5638,NCT02255162,8
2050,NCT00729560,8
2181,NCT03723603,8
4636,NCT02113670,8
4927,NCT03389581,799
2535,NCT01462526,798
4098,NCT02887183,794
4140,NCT02354482,7939
6541,NCT01420016,7914
1553,NCT02228967,791
4034,NCT00799617,790
4145,NCT00135798,79
7268,NCT02993458,79
6949,NCT02223728,79
8348,NCT01527617,79
6157,NCT00647790,79
7098,NCT03127293,79
3306,NCT03049904,79
3722,NCT01346527,79
6757,NCT00074633,79
2339,NCT02365116,79
2414,NCT00436865,79
1073,NCT01306968,79
6889,NCT00693121,79
5971,NCT04162847,7884
7810,NCT03136484,788
1394,NCT01675440,782
7587,NCT02755636,780
1077,NCT00682994,780
8694,NCT00435617,78
1321,NCT04589416,78
7851,NCT00956631,78
1179,NCT01769456,78
4062,NCT02230332,78
2723,NCT03822182,78
6026,NCT03230903,78
9975,NCT03779997,78
8208,NCT02191306,78
8041,NCT02836990,78
2656,NCT02101515,78
1358,NCT01857973,78
8191,NCT01889758,78
8454,NCT01001429,78
2708,NCT01502124,78
4879,NCT02111512,779
4526,NCT01431924,7779
4373,NCT00001469,7776
1306,NCT03693937,776
4548,NCT03403257,776
7482,NCT03585361,776
5612,NCT01694784,775
4967,NCT00793390,773
7578,NCT01959321,772
4559,NCT01747447,771
3526,NCT04075162,77000
7502,NCT02515149,770
1309,NCT00263887,77
5038,NCT02036502,77
1346,NCT01278862,77
4516,NCT00527722,77
6982,NCT00233129,77
6651,NCT01706211,77
4154,NCT00857376,77
2925,NCT04465019,77
2153,NCT00540852,77
1328,NCT00657618,77
5368,NCT02529280,77
5560,NCT01157117,77
4514,NCT00396162,77
5300,NCT01724489,77
4695,NCT03239782,77
4663,NCT04349020,77
5565,NCT00738725,7687
3664,NCT01261325,768
7960,NCT00075686,766
9753,NCT03938103,765
4185,NCT02197689,763
3507,NCT01439477,763
1742,NCT01781949,76235
5449,NCT02352480,760
1598,NCT01378780,760
5168,NCT02787486,760
6287,NCT01335009,76
7704,NCT02088671,76
5205,NCT00120302,76
2101,NCT03877497,76
9098,NCT04505410,76
8272,NCT00874575,76
5118,NCT04248751,76
7102,NCT02447848,76
4913,NCT02136628,76
8932,NCT03951064,76
7655,NCT02816294,76
6629,NCT04168450,76
1514,NCT00183885,76
7194,NCT03829358,76
7193,NCT03885973,76
8803,NCT01921179,76
1623,NCT04559698,76
2598,NCT03050840,76
7535,NCT00627250,76
3242,NCT01175629,7568
5795,NCT02185599,7555
19,NCT02429284,754
7221,NCT00244777,75000
6219,NCT02797769,75000
4501,NCT00097292,75000
2148,NCT04248023,7500
5868,NCT01231945,7500
3947,NCT02996877,750
2128,NCT04576949,750
3514,NCT00451022,750
9201,NCT04400903,750
151,NCT01034865,750
5157,NCT01800994,750
3434,NCT04526158,750
8609,NCT03200366,750
2981,NCT04311294,75
9237,NCT04368364,75
1451,NCT01002885,75
60,NCT03276637,75
6049,NCT02605876,75
5360,NCT02476877,75
5369,NCT02954978,75
2083,NCT02455011,75
3035,NCT01925456,75
5636,NCT00680693,75
3729,NCT02191137,75
6722,NCT00556764,75
3127,NCT04543825,75
3071,NCT03982511,75
6286,NCT02156271,75
1509,NCT00159484,75
5810,NCT00792519,75
6935,NCT04522973,75
2282,NCT02600910,75
7576,NCT04045132,75
6999,NCT02155829,75
7935,NCT03567018,75
4653,NCT01786109,75
6348,NCT04603911,75
3466,NCT01997723,75
6898,NCT03545217,75
2717,NCT03127358,75
6610,NCT01543997,75
6936,NCT03826303,75
5851,NCT00221247,75
6316,NCT01454674,75
6054,NCT02378025,75
1519,NCT00183898,75
3273,NCT03233724,75
6985,NCT00211835,75
1022,NCT02857751,75
5551,NCT01957501,75
3322,NCT03543735,75
7341,NCT01996826,75
7415,NCT00350714,75
8311,NCT04097353,75
9475,NCT04162678,75
3868,NCT01904604,75
4106,NCT00117689,75
7662,NCT03755401,75
5035,NCT03349775,75
3714,NCT00294723,746
8239,NCT00736268,746
4258,NCT00339651,745
2805,NCT01903876,743
7485,NCT03397420,742
7559,NCT01605903,741
5838,NCT02140177,740
7178,NCT00651872,740
2307,NCT01092078,740
6777,NCT02377089,74
8815,NCT02290639,74
8754,NCT03183050,74
9788,NCT03912363,74
8537,NCT02328690,74
9961,NCT03792477,74
8594,NCT03581136,74
7682,NCT00732173,74
4308,NCT04597437,74
4885,NCT03971227,74
3398,NCT03974061,74
6974,NCT00621751,74
3074,NCT01167920,74
4726,NCT01715740,74
2978,NCT03801863,74
5322,NCT03152409,74
8915,NCT01979601,74
3859,NCT01745887,74
2863,NCT00440232,74
4557,NCT01672060,739
7798,NCT00256750,738
5676,NCT00081354,737
4928,NCT02124109,736
3974,NCT02293694,735
5185,NCT01467050,732
4311,NCT01625442,732
7922,NCT00072046,732
6202,NCT00036647,731
5713,NCT03834025,73
2846,NCT00001204,73
4252,NCT00321971,73
8878,NCT01021644,73
7082,NCT02904369,73
5759,NCT03848221,73
5414,NCT02157597,73
7707,NCT03198754,73
1031,NCT01823276,73
2944,NCT03007134,73
1286,NCT02327208,73
2641,NCT03323723,73
3124,NCT01820182,73
4571,NCT00141895,73
1317,NCT04494490,7260
7331,NCT04565366,726
1565,NCT04253743,7246
7975,NCT01515800,724
6216,NCT01463254,724
3736,NCT02391948,724
2848,NCT02030600,721
7222,NCT00222547,720000
5230,NCT04356274,720
2586,NCT03301753,720
2161,NCT04125537,720
8764,NCT03261661,720
82,NCT01641029,720
4974,NCT02747732,72
7688,NCT01942746,72
4892,NCT01625910,72
4443,NCT01556945,72
2745,NCT00620750,72
5621,NCT01031342,72
4723,NCT04034784,72
9744,NCT03945383,72
8386,NCT01537887,72
8990,NCT04598035,72
8382,NCT03342872,72
6989,NCT00167271,72
5930,NCT04169412,72
7047,NCT01962038,72
5993,NCT03984487,72
9853,NCT03865212,72
9920,NCT03817970,72
9559,NCT04088357,72
9602,NCT04055168,72
3417,NCT00072813,72
2118,NCT00158145,72
9649,NCT04021602,72
6020,NCT03390335,72
4181,NCT04200443,72
8799,NCT03170206,72
8791,NCT03385486,72
9540,NCT04098744,72
5220,NCT02417506,72
2715,NCT01986894,72
3473,NCT01766102,72
6523,NCT03862924,72
4969,NCT00433173,72
5206,NCT04151186,72
5816,NCT02496962,72
7708,NCT00859716,72
8106,NCT00302055,72
7611,NCT04599296,72
2786,NCT00818896,72
6689,NCT04210986,72
9542,NCT04096937,72
5192,NCT01109524,72
8670,NCT00678769,72
8995,NCT04593784,72
6540,NCT00382057,72
1560,NCT04054947,72
4424,NCT03718130,72
8824,NCT04030962,72
8009,NCT04026295,72
4820,NCT04442867,72
2759,NCT02903433,72
7788,NCT01957813,719
3427,NCT02833922,718
6958,NCT01699035,715
6871,NCT03649191,713
1062,NCT01078246,7124
8427,NCT01280591,712
3581,NCT01162122,7109
6231,NCT00329706,710
5470,NCT01063153,71
1541,NCT02185898,71
3534,NCT00115973,71
7543,NCT02443727,71
8804,NCT01659814,71
4015,NCT02664012,71
1233,NCT02423551,71
1726,NCT01198587,71
6145,NCT00815672,71
1936,NCT02057094,71
8385,NCT02792296,71
2379,NCT03623633,71
4007,NCT03064932,71
7918,NCT01256294,71
5562,NCT01611194,71
7775,NCT00283153,71
1106,NCT03174769,71
5804,NCT02175030,706
8853,NCT01156610,706
5511,NCT01040949,705
9154,NCT04456738,704
4996,NCT01626729,703
6879,NCT03582176,702
5513,NCT03294473,70190
5051,NCT01059240,701
1098,NCT02974244,7000
5796,NCT00299481,7000
4867,NCT03975400,700
7038,NCT01591707,700
8114,NCT01683227,700
9514,NCT04121858,700
7369,NCT01967680,700
4315,NCT01170676,700
3525,NCT03455530,700
2321,NCT00013026,700
3852,NCT04588662,700
7733,NCT03413709,700
127,NCT01256164,70
9259,NCT04344561,70
3125,NCT00713427,70
8814,NCT01932242,70
7953,NCT00079118,70
9779,NCT03917160,70
2542,NCT01611948,70
7417,NCT01426555,70
2168,NCT02930941,70
4545,NCT03828877,70
1693,NCT01782898,70
5001,NCT00489151,70
3665,NCT04009070,70
5955,NCT04255953,70
5427,NCT03056625,70
1607,NCT02195544,70
6942,NCT01491763,70
5571,NCT02360007,70
9168,NCT04437732,70
6558,NCT00424294,70
4612,NCT03584113,70
8065,NCT00599599,70
9877,NCT03848403,70
6933,NCT01955382,70
9194,NCT04406935,70
5022,NCT03308097,70
2785,NCT02746874,70
4775,NCT02650154,70
2297,NCT03062033,70
1834,NCT03791580,70
9719,NCT03970512,70
