,NCTId,InterventionType
9475,NCT04162678,Procedure
6360,NCT03255681,Procedure
3129,NCT00380016,Procedure
6848,NCT02784587,Procedure
6847,NCT03947216,Procedure
4544,NCT00128999,Procedure
6875,NCT00523224,Procedure
9392,NCT04239040,Procedure
4813,NCT01524042,Procedure
4783,NCT01054833,Procedure
8452,NCT02295540,Procedure
2587,NCT03997422,Procedure
4768,NCT01622959,Procedure
8448,NCT04253483,Procedure
8443,NCT00775788,Procedure
2891,NCT00000408,Procedure
6231,NCT00329706,Procedure
9285,NCT04327596,Procedure
2907,NCT00123786,Procedure
2910,NCT02120560,Procedure
4736,NCT04431661,Procedure
4736,NCT04431661,Procedure
4736,NCT04431661,Procedure
2917,NCT01779804,Procedure
6246,NCT03883477,Procedure
8422,NCT00069433,Procedure
9305,NCT04309825,Procedure
4781,NCT03578939,Procedure
4789,NCT02856217,Procedure
7702,NCT03371225,Procedure
2836,NCT01581905,Procedure
4812,NCT03656679,Procedure
4812,NCT03656679,Procedure
1053,NCT02420041,Procedure
1053,NCT02420041,Procedure
2816,NCT02931435,Procedure
2816,NCT02931435,Procedure
7636,NCT01207687,Procedure
1049,NCT02899247,Procedure
1049,NCT02899247,Procedure
7637,NCT00073853,Procedure
2832,NCT02606396,Procedure
2832,NCT02606396,Procedure
2832,NCT02606396,Procedure
6915,NCT03820947,Procedure
4789,NCT02856217,Procedure
2836,NCT01581905,Procedure
1040,NCT03364361,Procedure
2929,NCT01127490,Procedure
2937,NCT01128374,Procedure
7668,NCT04178538,Procedure
7668,NCT04178538,Procedure
2992,NCT01894191,Procedure
6883,NCT03137953,Procedure
4667,NCT03780985,Procedure
4667,NCT03780985,Procedure
4667,NCT03780985,Procedure
8387,NCT00504023,Procedure
8387,NCT00504023,Procedure
4665,NCT03711981,Procedure
4656,NCT00795561,Procedure
4656,NCT00795561,Procedure
4654,NCT04516824,Procedure
7697,NCT04016909,Procedure
3025,NCT02591381,Procedure
3028,NCT00208832,Procedure
3028,NCT00208832,Procedure
4634,NCT04263025,Procedure
3038,NCT02191748,Procedure
2992,NCT01894191,Procedure
2992,NCT01894191,Procedure
2991,NCT02737514,Procedure
2969,NCT01239082,Procedure
7670,NCT02225847,Procedure
7675,NCT00731887,Procedure
2962,NCT00463060,Procedure
2965,NCT04039399,Procedure
2965,NCT04039399,Procedure
4692,NCT03494244,Procedure
2969,NCT01239082,Procedure
2978,NCT03801863,Procedure
6885,NCT02985255,Procedure
9346,NCT04276194,Procedure
9346,NCT04276194,Procedure
4683,NCT02561390,Procedure
4682,NCT04044261,Procedure
4675,NCT02746900,Procedure
2991,NCT02737514,Procedure
2991,NCT02737514,Procedure
4993,NCT02154555,Procedure
6040,NCT02922894,Procedure
6997,NCT00272259,Procedure
7168,NCT02667353,Procedure
7369,NCT01967680,Procedure
7369,NCT01967680,Procedure
2020,NCT02352259,Procedure
2021,NCT02291133,Procedure
7163,NCT00643188,Procedure
2030,NCT03269721,Procedure
2030,NCT03269721,Procedure
2030,NCT03269721,Procedure
2030,NCT03269721,Procedure
2030,NCT03269721,Procedure
2043,NCT01064011,Procedure
2043,NCT01064011,Procedure
2046,NCT01118585,Procedure
2058,NCT01987115,Procedure
2058,NCT01987115,Procedure
2061,NCT04326036,Procedure
2061,NCT04326036,Procedure
8998,NCT04592601,Procedure
7364,NCT04063592,Procedure
7349,NCT00639795,Procedure
5443,NCT00391365,Procedure
7173,NCT02765672,Procedure
7349,NCT00639795,Procedure
7354,NCT00788398,Procedure
7354,NCT00788398,Procedure
7354,NCT00788398,Procedure
7354,NCT00788398,Procedure
7354,NCT00788398,Procedure
8856,NCT03905720,Procedure
8855,NCT00769951,Procedure
8855,NCT00769951,Procedure
8855,NCT00769951,Procedure
1583,NCT01524146,Procedure
5452,NCT00788944,Procedure
2002,NCT01705288,Procedure
7356,NCT01670877,Procedure
7356,NCT01670877,Procedure
7357,NCT00096720,Procedure
8817,NCT00104156,Procedure
5393,NCT03438682,Procedure
8808,NCT00866411,Procedure
8808,NCT00866411,Procedure
2147,NCT00384241,Procedure
8758,NCT03564522,Procedure
5332,NCT01894451,Procedure
5332,NCT01894451,Procedure
7128,NCT03692273,Procedure
7128,NCT03692273,Procedure
5332,NCT01894451,Procedure
7416,NCT03503097,Procedure
5312,NCT02723825,Procedure
5312,NCT02723825,Procedure
5874,NCT04307420,Procedure
5874,NCT04307420,Procedure
8748,NCT02140021,Procedure
5301,NCT00613873,Procedure
7419,NCT03713970,Procedure
7419,NCT03713970,Procedure
2202,NCT00663143,Procedure
5851,NCT00221247,Procedure
2141,NCT01183637,Procedure
5352,NCT01786850,Procedure
5372,NCT04431063,Procedure
1532,NCT03395964,Procedure
1532,NCT03395964,Procedure
5376,NCT02452853,Procedure
9013,NCT04580524,Procedure
9013,NCT04580524,Procedure
5826,NCT04515069,Procedure
5826,NCT04515069,Procedure
1523,NCT00183911,Procedure
1505,NCT01047735,Procedure
1523,NCT00183911,Procedure
7145,NCT02457663,Procedure
2122,NCT03337217,Procedure
1510,NCT00183846,Procedure
1507,NCT02601092,Procedure
1507,NCT02601092,Procedure
1505,NCT01047735,Procedure
1982,NCT00160979,Procedure
5761,NCT03711747,Procedure
5889,NCT01477710,Procedure
1815,NCT00127699,Procedure
1829,NCT01516255,Procedure
1829,NCT01516255,Procedure
1707,NCT00160472,Procedure
7294,NCT00632060,Procedure
1847,NCT00967915,Procedure
1850,NCT00417001,Procedure
5703,NCT04241471,Procedure
1860,NCT00356837,Procedure
7305,NCT01670825,Procedure
5554,NCT01147120,Procedure
1872,NCT01790477,Procedure
1874,NCT00402129,Procedure
8962,NCT04066894,Procedure
8962,NCT04066894,Procedure
1905,NCT00000418,Procedure
7326,NCT01556581,Procedure
7326,NCT01556581,Procedure
5582,NCT02364518,Procedure
7236,NCT02971072,Procedure
7173,NCT02765672,Procedure
7272,NCT01338701,Procedure
7249,NCT01232881,Procedure
5640,NCT02393365,Procedure
8932,NCT03951064,Procedure
8932,NCT03951064,Procedure
8932,NCT03951064,Procedure
8932,NCT03951064,Procedure
1766,NCT01228058,Procedure
1739,NCT03054597,Procedure
5621,NCT01031342,Procedure
5621,NCT01031342,Procedure
5614,NCT01591733,Procedure
8950,NCT03900949,Procedure
1792,NCT00871468,Procedure
1792,NCT00871468,Procedure
7272,NCT01338701,Procedure
1728,NCT00580749,Procedure
1728,NCT00580749,Procedure
8883,NCT00331058,Procedure
1655,NCT01205776,Procedure
8883,NCT00331058,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
7176,NCT01780701,Procedure
5477,NCT02926040,Procedure
7175,NCT02764983,Procedure
5752,NCT03881020,Procedure
5754,NCT00208988,Procedure
5754,NCT00208988,Procedure
8981,NCT04606030,Procedure
7173,NCT02765672,Procedure
7173,NCT02765672,Procedure
7173,NCT02765672,Procedure
5490,NCT02040142,Procedure
8882,NCT01882010,Procedure
1625,NCT00606658,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
1916,NCT02248688,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
8882,NCT01882010,Procedure
7336,NCT01459107,Procedure
8882,NCT01882010,Procedure
1642,NCT01640171,Procedure
1640,NCT03756025,Procedure
8882,NCT01882010,Procedure
1632,NCT04504019,Procedure
8882,NCT01882010,Procedure
5493,NCT00466206,Procedure
8882,NCT01882010,Procedure
8744,NCT01566890,Procedure
5889,NCT01477710,Procedure
7562,NCT00711373,Procedure
7478,NCT00722280,Procedure
2426,NCT03908879,Procedure
2426,NCT03908879,Procedure
2426,NCT03908879,Procedure
5127,NCT02725840,Procedure
5127,NCT02725840,Procedure
6004,NCT03763643,Procedure
5120,NCT02975167,Procedure
1300,NCT00137228,Procedure
1300,NCT00137228,Procedure
5120,NCT02975167,Procedure
5118,NCT04248751,Procedure
9126,NCT04483206,Procedure
5114,NCT02798432,Procedure
7022,NCT00647569,Procedure
7022,NCT00647569,Procedure
8633,NCT01672684,Procedure
5105,NCT00057070,Procedure
7033,NCT00282516,Procedure
1311,NCT02794116,Procedure
2384,NCT00224913,Procedure
1311,NCT02794116,Procedure
1334,NCT03321474,Procedure
5985,NCT04232670,Procedure
1332,NCT03614819,Procedure
1332,NCT03614819,Procedure
1331,NCT04532788,Procedure
1331,NCT04532788,Procedure
5985,NCT04232670,Procedure
2395,NCT03731351,Procedure
5149,NCT01202500,Procedure
5149,NCT01202500,Procedure
5140,NCT02354287,Procedure
2412,NCT02277314,Procedure
2413,NCT00013442,Procedure
5991,NCT04024878,Procedure
5135,NCT00390494,Procedure
5135,NCT00390494,Procedure
5135,NCT00390494,Procedure
6021,NCT03387553,Procedure
5101,NCT00574587,Procedure
2470,NCT00018876,Procedure
2470,NCT00018876,Procedure
5064,NCT00173537,Procedure
8597,NCT00200096,Procedure
8597,NCT00200096,Procedure
6050,NCT02574546,Procedure
1240,NCT00593086,Procedure
2538,NCT01015820,Procedure
1237,NCT01241123,Procedure
1236,NCT01241149,Procedure
6053,NCT02391025,Procedure
5041,NCT03914365,Procedure
7004,NCT01220713,Procedure
7004,NCT01220713,Procedure
6063,NCT02168114,Procedure
7004,NCT01220713,Procedure
7003,NCT03398395,Procedure
7003,NCT03398395,Procedure
7561,NCT03005054,Procedure
1249,NCT02130323,Procedure
1253,NCT01663558,Procedure
2517,NCT02868021,Procedure
2490,NCT03014037,Procedure
1279,NCT01124903,Procedure
7500,NCT01023477,Procedure
7508,NCT04092257,Procedure
2486,NCT00203996,Procedure
2486,NCT00203996,Procedure
8616,NCT03854032,Procedure
2490,NCT03014037,Procedure
7515,NCT01428830,Procedure
1255,NCT01073124,Procedure
7515,NCT01428830,Procedure
3171,NCT00654615,Procedure
6040,NCT02922894,Procedure
6040,NCT02922894,Procedure
2516,NCT03310528,Procedure
1258,NCT04501419,Procedure
8600,NCT00873366,Procedure
5154,NCT02166294,Procedure
1339,NCT03215615,Procedure
5889,NCT01477710,Procedure
8725,NCT00025389,Procedure
8725,NCT00025389,Procedure
1415,NCT02544334,Procedure
5263,NCT04555239,Procedure
5905,NCT02198833,Procedure
5905,NCT02198833,Procedure
5253,NCT00010504,Procedure
8708,NCT01941810,Procedure
5251,NCT01996384,Procedure
5251,NCT01996384,Procedure
5250,NCT02075151,Procedure
7438,NCT04043182,Procedure
5242,NCT02540512,Procedure
1396,NCT03594292,Procedure
5242,NCT02540512,Procedure
7095,NCT03077126,Procedure
5927,NCT02798458,Procedure
5929,NCT00270439,Procedure
1417,NCT00286390,Procedure
2235,NCT00323349,Procedure
1339,NCT03215615,Procedure
1421,NCT02394457,Procedure
9057,NCT04542551,Procedure
9057,NCT04542551,Procedure
1447,NCT00764322,Procedure
8744,NCT01566890,Procedure
8744,NCT01566890,Procedure
8744,NCT01566890,Procedure
5289,NCT04171921,Procedure
9057,NCT04542551,Procedure
9057,NCT04542551,Procedure
9057,NCT04542551,Procedure
9057,NCT04542551,Procedure
8740,NCT01954576,Procedure
5289,NCT04171921,Procedure
1434,NCT01792791,Procedure
1433,NCT01264952,Procedure
5898,NCT00951171,Procedure
5898,NCT00951171,Procedure
7443,NCT00675714,Procedure
9083,NCT04518059,Procedure
7443,NCT00675714,Procedure
7443,NCT00675714,Procedure
1363,NCT00965302,Procedure
1362,NCT04163172,Procedure
1362,NCT04163172,Procedure
1361,NCT00963690,Procedure
5957,NCT02267187,Procedure
2343,NCT00674336,Procedure
8663,NCT00939055,Procedure
2351,NCT04116229,Procedure
2351,NCT04116229,Procedure
1350,NCT01198964,Procedure
5171,NCT01334281,Procedure
9112,NCT04494945,Procedure
5171,NCT01334281,Procedure
2384,NCT00224913,Procedure
1339,NCT03215615,Procedure
1339,NCT03215615,Procedure
1339,NCT03215615,Procedure
1364,NCT00413868,Procedure
1364,NCT00413868,Procedure
1365,NCT02015390,Procedure
2305,NCT04030117,Procedure
2293,NCT00013078,Procedure
2295,NCT00111176,Procedure
8682,NCT02352103,Procedure
9089,NCT04513990,Procedure
8682,NCT02352103,Procedure
2305,NCT04030117,Procedure
5944,NCT01564524,Procedure
2306,NCT02070029,Procedure
1365,NCT02015390,Procedure
8681,NCT00963807,Procedure
8681,NCT00963807,Procedure
8681,NCT00963807,Procedure
5201,NCT00010491,Procedure
5201,NCT00010491,Procedure
2324,NCT02509377,Procedure
8676,NCT01515475,Procedure
7749,NCT00537173,Procedure
7249,NCT01232881,Procedure
8100,NCT00336089,Procedure
7863,NCT02103296,Procedure
3329,NCT00114621,Procedure
3326,NCT03520387,Procedure
9612,NCT04049227,Procedure
3326,NCT03520387,Procedure
157,NCT04281290,Procedure
4402,NCT03579329,Procedure
70,NCT00412568,Procedure
7863,NCT02103296,Procedure
154,NCT01112917,Procedure
6437,NCT00032448,Procedure
9773,NCT03922724,Procedure
3320,NCT00585689,Procedure
64,NCT02848781,Procedure
4408,NCT04334707,Procedure
3315,NCT02739893,Procedure
3315,NCT02739893,Procedure
4255,NCT00032344,Procedure
3329,NCT00114621,Procedure
9907,NCT03823911,Procedure
3337,NCT00454467,Procedure
9628,NCT04038697,Procedure
3508,NCT00119574,Procedure
77,NCT02163525,Procedure
77,NCT02163525,Procedure
3337,NCT00454467,Procedure
3337,NCT00454467,Procedure
77,NCT02163525,Procedure
3518,NCT03219359,Procedure
3329,NCT00114621,Procedure
3337,NCT00454467,Procedure
7859,NCT04137250,Procedure
3337,NCT00454467,Procedure
7859,NCT04137250,Procedure
3337,NCT00454467,Procedure
3337,NCT00454467,Procedure
4393,NCT03351088,Procedure
6723,NCT00464724,Procedure
6660,NCT02403232,Procedure
9967,NCT03785392,Procedure
3696,NCT00335790,Procedure
3558,NCT02795624,Procedure
9977,NCT03778294,Procedure
8249,NCT01810640,Procedure
3921,NCT01589692,Procedure
3558,NCT02795624,Procedure
3921,NCT01589692,Procedure
3558,NCT02795624,Procedure
9887,NCT03841513,Procedure
9967,NCT03785392,Procedure
9977,NCT03778294,Procedure
8055,NCT01818739,Procedure
3921,NCT01589692,Procedure
7795,NCT02260856,Procedure
7795,NCT02260856,Procedure
3691,NCT00294242,Procedure
3567,NCT00492596,Procedure
3921,NCT01589692,Procedure
3987,NCT01651247,Procedure
6591,NCT03798184,Procedure
3997,NCT01850082,Procedure
6726,NCT00387075,Procedure
7811,NCT04243265,Procedure
7901,NCT02359097,Procedure
3898,NCT01117974,Procedure
7809,NCT01495923,Procedure
7809,NCT01495923,Procedure
7808,NCT01412541,Procedure
6426,NCT04306705,Procedure
7901,NCT02359097,Procedure
6817,NCT01190033,Procedure
8055,NCT01818739,Procedure
6538,NCT03889392,Procedure
7954,NCT00316836,Procedure
4002,NCT02446626,Procedure
4002,NCT02446626,Procedure
9628,NCT04038697,Procedure
9628,NCT04038697,Procedure
3256,NCT01131312,Procedure
9706,NCT03980769,Procedure
3400,NCT01817660,Procedure
8194,NCT01492738,Procedure
7928,NCT02331368,Procedure
4090,NCT00000411,Procedure
8204,NCT04189523,Procedure
6617,NCT04044326,Procedure
7829,NCT02711267,Procedure
6626,NCT00710502,Procedure
3400,NCT01817660,Procedure
6626,NCT00710502,Procedure
106,NCT01629537,Procedure
6475,NCT04246281,Procedure
7834,NCT01702805,Procedure
7834,NCT01702805,Procedure
3454,NCT00137696,Procedure
4352,NCT04561804,Procedure
3796,NCT01063959,Procedure
4323,NCT02317250,Procedure
4391,NCT03714711,Procedure
3423,NCT01613833,Procedure
6780,NCT02204098,Procedure
3414,NCT00485251,Procedure
3411,NCT03187080,Procedure
3414,NCT00485251,Procedure
115,NCT00054743,Procedure
3414,NCT00485251,Procedure
8015,NCT00004048,Procedure
3423,NCT01613833,Procedure
8015,NCT00004048,Procedure
3423,NCT01613833,Procedure
3411,NCT03187080,Procedure
3423,NCT01613833,Procedure
3409,NCT02465463,Procedure
3431,NCT01938222,Procedure
3796,NCT01063959,Procedure
4323,NCT02317250,Procedure
106,NCT01629537,Procedure
3374,NCT03634306,Procedure
4076,NCT01295229,Procedure
3497,NCT01502592,Procedure
4286,NCT01076816,Procedure
7919,NCT02463968,Procedure
4286,NCT01076816,Procedure
8224,NCT00759733,Procedure
3491,NCT00256789,Procedure
6639,NCT01535326,Procedure
6639,NCT01535326,Procedure
6639,NCT01535326,Procedure
6613,NCT03598816,Procedure
7995,NCT01686087,Procedure
88,NCT00413517,Procedure
4391,NCT03714711,Procedure
7993,NCT00121186,Procedure
7993,NCT00121186,Procedure
3842,NCT02207517,Procedure
9755,NCT03937531,Procedure
7919,NCT02463968,Procedure
6637,NCT00254072,Procedure
3477,NCT04345562,Procedure
9733,NCT03956056,Procedure
4091,NCT02669420,Procedure
4381,NCT01013636,Procedure
3473,NCT01766102,Procedure
3354,NCT00918996,Procedure
4385,NCT02351544,Procedure
4095,NCT01560026,Procedure
3473,NCT01766102,Procedure
7923,NCT02348645,Procedure
7923,NCT02348645,Procedure
6512,NCT03726463,Procedure
3475,NCT02078934,Procedure
7851,NCT00956631,Procedure
4389,NCT03404986,Procedure
8224,NCT00759733,Procedure
3344,NCT01323114,Procedure
9876,NCT03848650,Procedure
3414,NCT00485251,Procedure
6674,NCT02435459,Procedure
4230,NCT01654926,Procedure
9981,NCT03775590,Procedure
3614,NCT01707524,Procedure
3617,NCT03148496,Procedure
9993,NCT03769727,Procedure
3617,NCT03148496,Procedure
9822,NCT03881735,Procedure
6826,NCT00394264,Procedure
6826,NCT00394264,Procedure
6736,NCT02205385,Procedure
4494,NCT00883792,Procedure
6826,NCT00394264,Procedure
3221,NCT03044821,Procedure
9857,NCT03863522,Procedure
3613,NCT02602691,Procedure
9826,NCT03881098,Procedure
9826,NCT03881098,Procedure
4497,NCT04356027,Procedure
4497,NCT04356027,Procedure
9981,NCT03775590,Procedure
9826,NCT03881098,Procedure
4191,NCT03765593,Procedure
9981,NCT03775590,Procedure
6732,NCT02046109,Procedure
6670,NCT00430313,Procedure
3948,NCT01058421,Procedure
9799,NCT03904043,Procedure
3217,NCT02148068,Procedure
3944,NCT03106233,Procedure
8275,NCT00737321,Procedure
6736,NCT02205385,Procedure
6674,NCT02435459,Procedure
4237,NCT02100904,Procedure
6674,NCT02435459,Procedure
6674,NCT02435459,Procedure
