NCTId,ArmGroupType
NCT02540512,Placebo Comparator
NCT01889446,Placebo Comparator
NCT01889446,Placebo Comparator
NCT02570672,Placebo Comparator
NCT01972464,Placebo Comparator
NCT02556996,Placebo Comparator
NCT04250779,Placebo Comparator
NCT03696290,Placebo Comparator
NCT03696290,Placebo Comparator
NCT01625910,Placebo Comparator
NCT01653678,Placebo Comparator
NCT03054103,Placebo Comparator
NCT02037555,Placebo Comparator
NCT01169259,Placebo Comparator
NCT01828996,Placebo Comparator
NCT00396162,Placebo Comparator
NCT04247646,Placebo Comparator
NCT03897764,Placebo Comparator
NCT04607642,Placebo Comparator
NCT03282916,Placebo Comparator
NCT04386577,Placebo Comparator
NCT03660917,Placebo Comparator
NCT01758081,Placebo Comparator
NCT00333229,Placebo Comparator
NCT03831165,Placebo Comparator
NCT03905928,Placebo Comparator
NCT03905928,Placebo Comparator
NCT01669915,Placebo Comparator
NCT04596904,Placebo Comparator
NCT01684722,Placebo Comparator
NCT03532958,Placebo Comparator
NCT03433053,Placebo Comparator
NCT04557241,Placebo Comparator
NCT01994525,Placebo Comparator
NCT00806910,Placebo Comparator
NCT04314713,Placebo Comparator
NCT04314713,Placebo Comparator
NCT04314713,Placebo Comparator
NCT04314713,Placebo Comparator
NCT04314713,Placebo Comparator
NCT03110952,Placebo Comparator
NCT02018250,Placebo Comparator
NCT01994525,Placebo Comparator
NCT00292942,Placebo Comparator
NCT01877421,Placebo Comparator
NCT01666652,Placebo Comparator
NCT01556945,Placebo Comparator
NCT00984256,Placebo Comparator
NCT00376090,Placebo Comparator
NCT00376090,Placebo Comparator
NCT00376090,Placebo Comparator
NCT00376090,Placebo Comparator
NCT00249405,Placebo Comparator
NCT03418077,Placebo Comparator
NCT01633177,Placebo Comparator
NCT03021616,Placebo Comparator
NCT03168490,Placebo Comparator
NCT03168490,Placebo Comparator
NCT02045290,Placebo Comparator
NCT04049045,Placebo Comparator
NCT01715740,Placebo Comparator
NCT00255229,Placebo Comparator
NCT03499509,Placebo Comparator
NCT04335331,Placebo Comparator
NCT01896414,Placebo Comparator
NCT02350231,Placebo Comparator
NCT03290963,Placebo Comparator
NCT04588727,Placebo Comparator
NCT01881828,Placebo Comparator
NCT03277846,Placebo Comparator
NCT03277846,Placebo Comparator
NCT03083431,Placebo Comparator
NCT02777112,Placebo Comparator
NCT00739024,Placebo Comparator
NCT03540745,Placebo Comparator
NCT00836147,Placebo Comparator
NCT02232269,Placebo Comparator
NCT00486811,Placebo Comparator
NCT01728571,Placebo Comparator
NCT02661334,Placebo Comparator
NCT01954901,Placebo Comparator
NCT04026009,Placebo Comparator
NCT04026009,Placebo Comparator
NCT03579706,Placebo Comparator
NCT01782352,Placebo Comparator
NCT02239874,Placebo Comparator
NCT01704859,Placebo Comparator
NCT01001325,Placebo Comparator
NCT01427400,Placebo Comparator
NCT02990091,Placebo Comparator
NCT02990091,Placebo Comparator
NCT02357277,Placebo Comparator
NCT01630213,Placebo Comparator
NCT02601625,Placebo Comparator
NCT02601625,Placebo Comparator
NCT02601625,Placebo Comparator
NCT01786109,Placebo Comparator
NCT01488227,Placebo Comparator
NCT01661764,Placebo Comparator
NCT00528606,Placebo Comparator
NCT03964974,Placebo Comparator
NCT00613600,Placebo Comparator
NCT03352219,Placebo Comparator
NCT00278772,Placebo Comparator
NCT03009019,Placebo Comparator
NCT03006276,Placebo Comparator
NCT04279392,Placebo Comparator
NCT04140695,Placebo Comparator
NCT03568331,Placebo Comparator
NCT00819013,Placebo Comparator
NCT00282126,Placebo Comparator
NCT04275297,Placebo Comparator
NCT02500836,Placebo Comparator
NCT02161458,Placebo Comparator
NCT01354613,Placebo Comparator
NCT01511640,Placebo Comparator
NCT01511640,Placebo Comparator
NCT01630551,Placebo Comparator
NCT03341078,Placebo Comparator
NCT00729560,Placebo Comparator
NCT03999099,Placebo Comparator
NCT03764683,Placebo Comparator
NCT00218517,Placebo Comparator
NCT02057094,Placebo Comparator
NCT04359082,Placebo Comparator
NCT01516255,Placebo Comparator
NCT01516255,Placebo Comparator
NCT01704768,Placebo Comparator
NCT01349725,Placebo Comparator
NCT01554644,Placebo Comparator
NCT00350337,Placebo Comparator
NCT01099605,Placebo Comparator
NCT00814905,Placebo Comparator
NCT01617109,Placebo Comparator
NCT00888745,Placebo Comparator
NCT01295684,Placebo Comparator
NCT01293617,Placebo Comparator
NCT00668447,Placebo Comparator
NCT00366301,Placebo Comparator
NCT02651714,Placebo Comparator
NCT03118297,Placebo Comparator
NCT01591655,Placebo Comparator
NCT01545570,Placebo Comparator
NCT01924936,Placebo Comparator
NCT00797953,Placebo Comparator
NCT02056340,Placebo Comparator
NCT03403621,Placebo Comparator
NCT02458313,Placebo Comparator
NCT03699930,Placebo Comparator
NCT03148262,Placebo Comparator
NCT02179788,Placebo Comparator
NCT01737762,Placebo Comparator
NCT00277654,Placebo Comparator
NCT00587990,Placebo Comparator
NCT03406975,Placebo Comparator
NCT02217345,Placebo Comparator
NCT00547716,Placebo Comparator
NCT04587115,Placebo Comparator
NCT03266939,Placebo Comparator
NCT00930995,Placebo Comparator
NCT00946088,Placebo Comparator
NCT00976443,Placebo Comparator
NCT02069379,Placebo Comparator
NCT01996943,Placebo Comparator
NCT04450316,Placebo Comparator
NCT03481270,Placebo Comparator
NCT00709696,Placebo Comparator
NCT04374552,Placebo Comparator
NCT04031729,Placebo Comparator
NCT00465959,Placebo Comparator
NCT02079701,Placebo Comparator
NCT03709823,Placebo Comparator
NCT01876667,Placebo Comparator
NCT02516332,Placebo Comparator
NCT03844412,Placebo Comparator
NCT02455011,Placebo Comparator
NCT04371419,Placebo Comparator
NCT00097838,Placebo Comparator
NCT01164644,Placebo Comparator
NCT03597516,Placebo Comparator
NCT04576949,Placebo Comparator
NCT02192034,Placebo Comparator
NCT00134901,Placebo Comparator
NCT04155047,Placebo Comparator
NCT00258479,Placebo Comparator
NCT04258397,Placebo Comparator
NCT02930941,Placebo Comparator
NCT03841838,Placebo Comparator
NCT02638168,Placebo Comparator
NCT02257346,Placebo Comparator
NCT03709823,Placebo Comparator
NCT03301298,Placebo Comparator
NCT03542435,Placebo Comparator
NCT00539175,Placebo Comparator
NCT02963376,Placebo Comparator
NCT00938405,Placebo Comparator
NCT02133586,Placebo Comparator
NCT02133586,Placebo Comparator
NCT01560754,Placebo Comparator
NCT03535272,Placebo Comparator
NCT01908205,Placebo Comparator
NCT02617940,Placebo Comparator
NCT02963376,Placebo Comparator
NCT02963376,Placebo Comparator
NCT02911285,Placebo Comparator
NCT01555554,Placebo Comparator
NCT02016482,Placebo Comparator
NCT04098250,Placebo Comparator
NCT00485134,Placebo Comparator
NCT00672074,Placebo Comparator
NCT00378131,Placebo Comparator
NCT00267358,Placebo Comparator
NCT02858973,Placebo Comparator
NCT03820414,Placebo Comparator
NCT02963935,Placebo Comparator
NCT00694174,Placebo Comparator
NCT03400475,Placebo Comparator
NCT01342029,Placebo Comparator
NCT01465503,Placebo Comparator
NCT01216982,Placebo Comparator
NCT00263887,Placebo Comparator
NCT00220805,Placebo Comparator
NCT00121316,Placebo Comparator
NCT04215328,Placebo Comparator
NCT01992185,Placebo Comparator
NCT01916629,Placebo Comparator
NCT00001723,Placebo Comparator
NCT01992172,Placebo Comparator
NCT00505414,Placebo Comparator
NCT02478788,Placebo Comparator
NCT02867358,Placebo Comparator
NCT00907972,Placebo Comparator
NCT04453293,Placebo Comparator
NCT02908932,Placebo Comparator
NCT01702857,Placebo Comparator
NCT00655811,Placebo Comparator
NCT03430310,Placebo Comparator
NCT02156336,Placebo Comparator
NCT02596399,Placebo Comparator
NCT01725087,Placebo Comparator
NCT01603342,Placebo Comparator
NCT02300844,Placebo Comparator
NCT02186626,Placebo Comparator
NCT04349072,Placebo Comparator
NCT03095807,Placebo Comparator
NCT03015207,Placebo Comparator
NCT03576755,Placebo Comparator
NCT02915237,Placebo Comparator
NCT02915237,Placebo Comparator
NCT02915237,Placebo Comparator
NCT00620282,Placebo Comparator
NCT02568306,Placebo Comparator
NCT04049162,Placebo Comparator
NCT01561950,Placebo Comparator
NCT01563445,Placebo Comparator
NCT01329939,Placebo Comparator
NCT01329939,Placebo Comparator
NCT00531661,Placebo Comparator
NCT02958085,Placebo Comparator
NCT01018238,Placebo Comparator
NCT01932996,Placebo Comparator
NCT01075165,Placebo Comparator
NCT01511185,Placebo Comparator
NCT01198587,Placebo Comparator
NCT01198587,Placebo Comparator
NCT01473953,Placebo Comparator
NCT00722124,Placebo Comparator
