,NCTId,OverallStatus
947,NCT00758979,Withheld
948,NCT00758875,Withheld
949,NCT00758095,Withheld
950,NCT00756496,Withheld
951,NCT00754598,Withheld
952,NCT00748917,Withheld
953,NCT00748033,Withheld
954,NCT00747266,Withheld
955,NCT00739245,Withheld
956,NCT00732264,Withheld
957,NCT00732134,Withheld
958,NCT00728702,Withheld
959,NCT00727805,Withheld
960,NCT00727688,Withheld
961,NCT00726297,Withheld
962,NCT00726024,Withheld
963,NCT00725816,Withheld
964,NCT00725699,Withheld
965,NCT00716313,Withheld
966,NCT00690742,Withheld
967,NCT00681057,Withheld
968,NCT00680251,Withheld
969,NCT00678808,Withheld
879,NCT00960947,Withheld
877,NCT00968474,Withheld
753,NCT01674400,Withheld
799,NCT01442389,Withheld
786,NCT01513512,Withheld
787,NCT01499030,Withheld
788,NCT01494376,Withheld
789,NCT01480570,Withheld
790,NCT01476826,Withheld
791,NCT01473134,Withheld
792,NCT01470079,Withheld
793,NCT01464580,Withheld
794,NCT01463618,Withheld
795,NCT01462955,Withheld
796,NCT01450540,Withheld
797,NCT01443299,Withheld
798,NCT01443286,Withheld
800,NCT01436669,Withheld
876,NCT00969748,Withheld
801,NCT01436461,Withheld
802,NCT01414491,Withheld
803,NCT01414270,Withheld
804,NCT01412112,Withheld
805,NCT01408017,Withheld
806,NCT01403584,Withheld
807,NCT01392261,Withheld
808,NCT01379794,Withheld
809,NCT01374243,Withheld
810,NCT01370785,Withheld
811,NCT01367171,Withheld
812,NCT01365689,Withheld
813,NCT01358682,Withheld
785,NCT01515618,Withheld
784,NCT01524263,Withheld
782,NCT01532752,Withheld
781,NCT01533103,Withheld
754,NCT01670006,Withheld
755,NCT01662479,Withheld
756,NCT01660113,Withheld
757,NCT01658189,Withheld
758,NCT01652846,Withheld
759,NCT01643200,Withheld
760,NCT01640795,Withheld
761,NCT01630707,Withheld
762,NCT01629836,Withheld
763,NCT01627405,Withheld
764,NCT01614925,Withheld
765,NCT01613742,Withheld
766,NCT01610505,Withheld
767,NCT01610349,Withheld
768,NCT01607606,Withheld
769,NCT01604967,Withheld
770,NCT01597271,Withheld
771,NCT01591369,Withheld
772,NCT01582386,Withheld
773,NCT01575210,Withheld
774,NCT01564589,Withheld
775,NCT01560156,Withheld
776,NCT01558609,Withheld
777,NCT01556750,Withheld
778,NCT01546831,Withheld
779,NCT01546584,Withheld
780,NCT01533831,Withheld
814,NCT01336868,Withheld
815,NCT01313351,Withheld
816,NCT01313195,Withheld
847,NCT01106222,Withheld
849,NCT01100983,Withheld
850,NCT01098682,Withheld
851,NCT01097824,Withheld
852,NCT01092871,Withheld
853,NCT01077141,Withheld
854,NCT01070992,Withheld
855,NCT01067040,Withheld
856,NCT01062464,Withheld
857,NCT01062412,Withheld
858,NCT01062217,Withheld
859,NCT01057134,Withheld
860,NCT01043497,Withheld
861,NCT01039064,Withheld
862,NCT01037439,Withheld
863,NCT01030588,Withheld
864,NCT01029028,Withheld
865,NCT01022554,Withheld
866,NCT01016236,Withheld
867,NCT01008202,Withheld
868,NCT01000454,Withheld
869,NCT00993772,Withheld
870,NCT00990483,Withheld
871,NCT00990210,Withheld
872,NCT00986908,Withheld
873,NCT00981188,Withheld
874,NCT00979498,Withheld
875,NCT00979030,Withheld
848,NCT01103869,Withheld
846,NCT01108822,Withheld
817,NCT01311726,Withheld
845,NCT01112475,Withheld
818,NCT01307709,Withheld
819,NCT01297751,Withheld
820,NCT01286792,Withheld
821,NCT01258400,Withheld
822,NCT01246115,Withheld
823,NCT01240733,Withheld
824,NCT01239576,Withheld
825,NCT01234480,Withheld
826,NCT01230398,Withheld
827,NCT01201889,Withheld
828,NCT01194752,Withheld
829,NCT01194739,Withheld
830,NCT01194726,Withheld
831,NCT01183195,Withheld
832,NCT01180257,Withheld
833,NCT01171066,Withheld
834,NCT01166607,Withheld
835,NCT01164527,Withheld
836,NCT01158963,Withheld
837,NCT01150227,Withheld
838,NCT01148251,Withheld
839,NCT01147094,Withheld
840,NCT01145651,Withheld
841,NCT01145378,Withheld
842,NCT01143116,Withheld
843,NCT01140919,Withheld
844,NCT01127347,Withheld
501,NCT03147820,Withheld
522,NCT03125109,Withheld
499,NCT03150407,Withheld
274,NCT04192630,Withheld
266,NCT04206384,Withheld
267,NCT04203745,Withheld
268,NCT04202419,Withheld
269,NCT04201340,Withheld
270,NCT04200898,Withheld
271,NCT04196907,Withheld
272,NCT04195581,Withheld
273,NCT04194307,Withheld
275,NCT04189913,Withheld
264,NCT04207749,Withheld
276,NCT04189081,Withheld
277,NCT04186806,Withheld
278,NCT04184973,Withheld
279,NCT04178720,Withheld
280,NCT04177771,Withheld
281,NCT04177212,Withheld
282,NCT04176965,Withheld
283,NCT04175340,Withheld
265,NCT04206839,Withheld
263,NCT04210622,Withheld
328,NCT04035161,Withheld
252,NCT04243369,Withheld
244,NCT04285541,Withheld
245,NCT04281940,Withheld
246,NCT04279522,Withheld
247,NCT04277455,Withheld
248,NCT04263532,Withheld
249,NCT04252183,Withheld
250,NCT04247581,Withheld
251,NCT04244357,Withheld
253,NCT04243239,Withheld
262,NCT04211441,Withheld
254,NCT04239885,Withheld
255,NCT04237207,Withheld
256,NCT04236869,Withheld
257,NCT04230486,Withheld
258,NCT04224155,Withheld
259,NCT04223609,Withheld
260,NCT04220060,Withheld
261,NCT04219891,Withheld
284,NCT04166032,Withheld
285,NCT04162652,Withheld
286,NCT04158466,Withheld
317,NCT04064606,Withheld
309,NCT04081727,Withheld
310,NCT04079842,Withheld
311,NCT04079816,Withheld
312,NCT04078490,Withheld
