,NCTId,IsFDARegulatedDrug
2068,NCT03266939,Yes
6521,NCT04032171,Yes
6522,NCT04032158,Yes
6528,NCT04464707,Yes
2061,NCT04326036,Yes
2060,NCT03982602,Yes
6529,NCT04458857,Yes
6530,NCT04041284,Yes
6531,NCT03965091,Yes
6532,NCT03893825,Yes
2055,NCT02859142,Yes
6694,NCT03529487,Yes
1976,NCT04279392,Yes
6696,NCT03339258,Yes
1839,NCT02922127,Yes
6925,NCT03762772,Yes
6928,NCT04120363,Yes
6931,NCT03890666,Yes
7005,NCT03532139,Yes
7012,NCT03712098,Yes
7021,NCT03483649,Yes
7048,NCT01901887,Yes
7088,NCT03279120,Yes
7091,NCT04531592,Yes
7092,NCT04476901,Yes
7094,NCT04023084,Yes
7114,NCT02905981,Yes
6914,NCT04606342,Yes
7125,NCT04481048,Yes
7127,NCT04287478,Yes
7142,NCT01046825,Yes
1817,NCT03301298,Yes
7172,NCT03433183,Yes
1812,NCT03973177,Yes
1811,NCT03403621,Yes
1810,NCT03542435,Yes
1801,NCT03979209,Yes
1798,NCT03775668,Yes
7243,NCT03358563,Yes
1893,NCT03126331,Yes
1899,NCT03118297,Yes
6697,NCT03305055,Yes
1939,NCT04242173,Yes
6698,NCT03202303,Yes
6762,NCT04601532,Yes
6765,NCT04387227,Yes
1953,NCT03153202,Yes
6766,NCT04329065,Yes
6767,NCT04255498,Yes
6771,NCT03564782,Yes
6780,NCT02204098,Yes
1942,NCT03764683,Yes
6788,NCT00563784,Yes
6795,NCT02238483,Yes
6811,NCT04386317,Yes
6890,NCT03200886,Yes
6820,NCT04215445,Yes
6822,NCT03459846,Yes
6834,NCT03417388,Yes
6839,NCT03384914,Yes
6847,NCT03947216,Yes
6849,NCT02863809,Yes
6852,NCT00859781,Yes
1917,NCT03385057,Yes
6867,NCT03852628,Yes
6879,NCT03582176,Yes
6881,NCT04360044,Yes
8021,NCT04387734,Yes
1427,NCT00584805,Yes
8050,NCT03389750,Yes
8061,NCT02272998,Yes
8783,NCT02061423,Yes
1113,NCT02274389,Yes
8786,NCT03395314,Yes
8791,NCT03385486,Yes
8797,NCT03158038,Yes
1103,NCT04001803,Yes
8799,NCT03170206,Yes
8801,NCT03912350,Yes
8813,NCT01671332,Yes
8821,NCT03137082,Yes
8824,NCT04030962,Yes
8828,NCT04363242,Yes
8834,NCT04475523,Yes
1086,NCT00936715,Yes
8838,NCT03235219,Yes
8852,NCT03723395,Yes
1076,NCT04468360,Yes
8872,NCT04497116,Yes
8895,NCT04233918,Yes
8898,NCT04004325,Yes
8911,NCT00248612,Yes
8912,NCT03356639,Yes
8913,NCT03770780,Yes
8916,NCT03771586,Yes
8917,NCT04154670,Yes
8778,NCT04086264,Yes
8766,NCT04034004,Yes
1129,NCT03243305,Yes
8707,NCT03758625,Yes
8672,NCT04230499,Yes
8677,NCT03071406,Yes
8678,NCT02829931,Yes
8679,NCT02513563,Yes
8683,NCT02086604,Yes
8684,NCT03315507,Yes
8688,NCT04159896,Yes
8696,NCT03614949,Yes
8698,NCT03384836,Yes
1157,NCT03599739,Yes
8704,NCT02963090,Yes
1152,NCT03168854,Yes
8747,NCT04374630,Yes
8711,NCT02973399,Yes
8713,NCT04221997,Yes
8716,NCT03602014,Yes
1145,NCT03291782,Yes
1144,NCT04026321,Yes
8730,NCT04178577,Yes
8734,NCT02958969,Yes
1136,NCT03906006,Yes
8742,NCT04443088,Yes
8743,NCT04488575,Yes
1133,NCT03078751,Yes
8934,NCT03164967,Yes
8935,NCT03635905,Yes
8937,NCT03434769,Yes
9052,NCT04548648,Yes
9036,NCT04563026,Yes
9037,NCT04561362,Yes
9038,NCT04560673,Yes
9039,NCT04559230,Yes
9040,NCT04558567,Yes
9044,NCT04555811,Yes
9045,NCT04554914,Yes
9046,NCT04554212,Yes
9047,NCT04553133,Yes
9048,NCT04551677,Yes
9049,NCT04551430,Yes
9054,NCT04546581,Yes
9030,NCT04566445,Yes
9058,NCT04542304,Yes
9059,NCT04541550,Yes
9061,NCT04540120,Yes
9066,NCT04535986,Yes
9073,NCT04526665,Yes
9074,NCT04526509,Yes
9075,NCT04524962,Yes
9076,NCT04524858,Yes
9078,NCT04524273,Yes
9085,NCT04517552,Yes
9087,NCT04515576,Yes
9035,NCT04563754,Yes
9026,NCT04568616,Yes
8946,NCT01743976,Yes
8989,NCT04598321,Yes
8947,NCT03762161,Yes
8950,NCT03900949,Yes
8959,NCT03436953,Yes
1026,NCT03326596,Yes
8970,NCT04524351,Yes
8973,NCT02422485,Yes
8979,NCT04607668,Yes
8980,NCT04607200,Yes
8983,NCT04605549,Yes
8985,NCT04604275,Yes
8987,NCT04599881,Yes
1003,NCT03363464,Yes
9025,NCT04569747,Yes
8995,NCT04593784,Yes
8999,NCT04592549,Yes
9003,NCT04587713,Yes
