,NCTId,InterventionBrowseBranchAbbrev
2946,NCT00598793,Micro
1331,NCT04532788,Micro
4938,NCT01785004,Micro
2948,NCT01713530,Micro
6849,NCT02863809,Micro
6850,NCT02286921,Micro
4942,NCT02165644,Micro
1348,NCT00001723,Micro
2747,NCT02825251,Micro
1956,NCT00668941,Mi
7074,NCT03866837,Mi
7804,NCT00860470,Mi
7945,NCT01439945,Mi
7083,NCT00109551,Mi
5772,NCT03828708,Mi
8779,NCT03212677,Mi
3572,NCT02404012,Mi
5804,NCT02175030,Mi
8899,NCT01721798,Mi
7114,NCT02905981,Mi
7944,NCT00365105,Mi
7522,NCT00336245,Mi
3109,NCT04371536,Mi
5898,NCT00951171,Mi
5653,NCT01177579,Mi
7526,NCT01299116,Mi
2911,NCT03438227,Mi
7739,NCT00470158,Mi
9692,NCT03991169,Mi
9968,NCT03785366,Mi
7390,NCT00130208,Lipd
5113,NCT01119521,Lipd
5245,NCT02534376,Lipd
7588,NCT01673178,Lipd
7010,NCT01894230,Lipd
4225,NCT03474029,Lipd
9021,NCT04575090,Lipd
2222,NCT03271931,Lipd
3118,NCT01785615,Lipd
1127,NCT03073343,Lipd
6134,NCT00986986,Lipd
5979,NCT04512105,Lipd
7593,NCT01582711,Lipd
7074,NCT03866837,Lipd
5849,NCT02297126,Lipd
6118,NCT01310192,Lipd
5475,NCT02045459,Lipd
4725,NCT00062556,Lipd
4694,NCT00816426,Lipd
1348,NCT00001723,Lipd
5616,NCT01602913,Lipd
4932,NCT00588471,Lipd
7804,NCT00860470,Lipd
6739,NCT03302299,Lipd
8132,NCT03599193,Lipd
7199,NCT03074799,Lipd
2857,NCT01231165,Lipd
6325,NCT04510844,Lipd
5568,NCT01992874,Lipd
5816,NCT02496962,Lipd
7229,NCT04330326,Lipd
6084,NCT01751737,Lipd
1456,NCT03400475,Lipd
8852,NCT03723395,Lipd
2854,NCT01029288,Lipd
7218,NCT00351702,Lipd
5817,NCT03654053,Lipd
1837,NCT01554644,Lipd
2506,NCT01349088,Lipd
2493,NCT02413125,Lipd
4505,NCT00202878,Lipd
6762,NCT04601532,Lipd
4082,NCT00071266,Lipd
3087,NCT01665677,Lipd
3562,NCT01178320,Lipd
5214,NCT04275180,Lipd
2873,NCT01930149,Lipd
2868,NCT02402803,Lipd
5976,NCT04571008,Lipd
8915,NCT01979601,Lipd
1468,NCT00938405,Lipd
2446,NCT00115830,Lipd
3338,NCT02290106,Lipd
7936,NCT01011478,Lipd
7005,NCT03532139,Lipd
7389,NCT00130312,Lipd
7523,NCT00164281,Lipd
7442,NCT02236078,Lipd
6488,NCT04365270,Lipd
2604,NCT00255216,Lipd
2354,NCT03219372,Lipd
2730,NCT01013870,Lipd
2064,NCT02056340,Lipd
9831,NCT03877003,Lipd
6815,NCT01770210,Lipd
7458,NCT01672710,Lipd
2329,NCT00548639,Lipd
8386,NCT01537887,Lipd
6539,NCT00648544,Lipd
8353,NCT00704912,Lipd
4284,NCT01092572,Lipd
6834,NCT03417388,Lipd
22,NCT00928694,Lipd
6206,NCT04517396,Lipd
7862,NCT03828201,Lipd
7441,NCT02832778,Lipd
3908,NCT00880178,Lipd
3021,NCT01097785,Lipd
5164,NCT01781936,Infl
7290,NCT03079999,Infl
3520,NCT03818737,Infl
6222,NCT02675426,Infl
3518,NCT03219359,Infl
9910,NCT03822962,Infl
4270,NCT02188368,Infl
6223,NCT02706951,Infl
3858,NCT02595073,Infl
8495,NCT01236586,Infl
4124,NCT01523977,Infl
7265,NCT01888848,Infl
5589,NCT03158740,Infl
6711,NCT01425476,Infl
1470,NCT01921127,Infl
6098,NCT01525680,Infl
2442,NCT00004727,Infl
6191,NCT01873573,Infl
8961,NCT03718104,Infl
9554,NCT04090684,Infl
7271,NCT02465307,Infl
3351,NCT00394329,Infl
4524,NCT00299065,Infl
5205,NCT00120302,Infl
5109,NCT02839785,Infl
6221,NCT02629159,Infl
4526,NCT01431924,Infl
2723,NCT03822182,Infl
9551,NCT04091022,Infl
4253,NCT00576693,Infl
6302,NCT00508586,Infl
8441,NCT00621530,Infl
2328,NCT03243084,Infl
8008,NCT03701711,Infl
2298,NCT00048555,Infl
7236,NCT02971072,Infl
7569,NCT04322357,Infl
9760,NCT03933631,Infl
8914,NCT02341638,Infl
8496,NCT02508935,Infl
7964,NCT00040937,Infl
7990,NCT00122447,Infl
4107,NCT02804750,Infl
6212,NCT02481310,Infl
8973,NCT02422485,Infl
8053,NCT02144649,Infl
4273,NCT02889809,Infl
7559,NCT01605903,Infl
6577,NCT03828019,Infl
7675,NCT00731887,Infl
6178,NCT00308113,Infl
2463,NCT03742258,Infl
2844,NCT02296840,Infl
9523,NCT04115644,Infl
2432,NCT04122378,Infl
4291,NCT03278808,Infl
1466,NCT00880035,Infl
1973,NCT03006276,Infl
49,NCT02773979,Infl
3328,NCT01714102,Infl
3866,NCT04504734,Infl
5730,NCT03080493,Infl
9850,NCT03866005,Infl
3628,NCT00733096,Infl
3326,NCT03520387,Infl
7681,NCT03753360,Infl
9320,NCT04299438,Infl
3880,NCT00001479,Infl
2455,NCT04233164,Infl
3529,NCT01588158,Infl
1462,NCT01917643,Infl
8566,NCT02187055,Infl
3693,NCT03218787,Infl
3872,NCT01751451,Infl
9576,NCT04077190,Infl
5195,NCT01387178,Infl
6137,NCT00911248,Infl
7414,NCT02374060,Infl
5645,NCT02655458,Infl
6683,NCT02987543,Infl
1509,NCT00159484,Infl
7590,NCT03839719,Infl
1562,NCT02016482,Infl
4359,NCT00697151,Infl
9315,NCT04305145,Infl
9638,NCT04032834,Infl
9652,NCT04018599,Infl
9633,NCT04038125,Infl
4266,NCT02206425,Infl
7391,NCT04094298,Infl
8269,NCT04117022,Infl
2409,NCT01364805,Infl
2018,NCT01011634,Infl
5635,NCT00823381,Infl
6661,NCT00107991,Infl
6596,NCT01381406,Infl
8251,NCT01649947,Infl
5220,NCT02417506,Infl
4363,NCT02479555,Infl
7437,NCT00823212,Infl
9674,NCT04002362,Infl
4157,NCT00005007,Infl
5150,NCT02172040,Infl
3598,NCT02511054,Infl
5189,NCT02979197,Infl
7431,NCT02706873,Infl
1906,NCT01813227,Infl
2380,NCT01333917,Infl
3450,NCT00675584,Infl
1559,NCT03931395,Infl
3655,NCT03992469,Infl
3456,NCT00307398,Infl
6200,NCT02666742,Infl
7951,NCT00531817,Infl
1452,NCT00997503,Infl
4386,NCT03185871,Infl
5933,NCT00628498,Infl
5242,NCT02540512,Infl
6265,NCT01290601,Infl
8045,NCT00061906,Infl
9726,NCT03962894,Infl
4261,NCT02103335,Infl
6167,NCT00527982,Infl
6228,NCT02706847,Infl
9860,NCT03862053,Infl
7491,NCT01052584,Infl
2002,NCT01705288,Infl
2425,NCT01330810,Infl
3510,NCT01425099,Infl
9348,NCT04273282,Infl
1477,NCT02195505,Infl
7761,NCT02870205,Infl
7500,NCT01023477,Infl
3369,NCT02213068,Infl
9903,NCT03828682,Infl
3367,NCT00811057,Infl
2281,NCT01878786,Infl
1968,NCT03009019,Infl
4177,NCT03352115,Infl
8489,NCT02219906,Infl
8596,NCT03277573,Infl
7469,NCT02380313,Infl
9895,NCT03833921,Infl
3666,NCT00078208,Infl
8953,NCT04606966,Infl
1917,NCT03385057,Infl
4265,NCT02685826,Infl
7479,NCT02169882,Infl
2151,NCT04258397,Infl
3669,NCT01951417,Infl
9618,NCT04046549,Infl
3670,NCT00232115,Infl
5677,NCT00681993,Infl
4144,NCT01110200,Infl
1979,NCT04571697,Infl
4333,NCT04375293,Infl
9901,NCT03829566,Infl
7760,NCT02927249,Infl
3391,NCT04070573,Infl
5122,NCT01859858,Infl
9985,NCT03773107,Infl
8250,NCT01742338,Infl
1642,NCT01640171,Infl
4079,NCT00837434,Infl
1676,NCT03264131,Infl
2216,NCT04031729,Infl
6926,NCT01510327,Infl
4882,NCT03143049,Infl
3955,NCT02720510,Infl
142,NCT02252159,Infl
1220,NCT00130364,Infl
2901,NCT04134923,Infl
3145,NCT00308620,Infl
5322,NCT03152409,Infl
5008,NCT01435941,Infl
9143,NCT04467723,Infl
9401,NCT04233671,Infl
5999,NCT03861390,Infl
3086,NCT02153814,Infl
3142,NCT04131504,Infl
6473,NCT00847912,Infl
3141,NCT00585013,Infl
1147,NCT01538459,Infl
4823,NCT02485145,Infl
8310,NCT03482440,Infl
5860,NCT00005493,Infl
7981,NCT00124579,Infl
5038,NCT02036502,Infl
8845,NCT04149639,Infl
4032,NCT00664040,Infl
3172,NCT02176213,Infl
1131,NCT01623544,Infl
5996,NCT03900845,Infl
6393,NCT02294357,Infl
7828,NCT01374906,Infl
5901,NCT02807623,Infl
3016,NCT00109668,Infl
2194,NCT02762370,Infl
8234,NCT00176462,Infl
2514,NCT00636454,Infl
1146,NCT02592941,Infl
4810,NCT04499495,Infl
6541,NCT01420016,Infl
3136,NCT02922985,Infl
7850,NCT01421303,Infl
8624,NCT04207060,Infl
6553,NCT04392557,Infl
2224,NCT00924508,Infl
8883,NCT00331058,Infl
5296,NCT00298155,Infl
7027,NCT01500434,Infl
9406,NCT04231318,Infl
3042,NCT00208026,Infl
2543,NCT01268670,Infl
6472,NCT00000152,Infl
2199,NCT03266471,Infl
4994,NCT04043689,Infl
3967,NCT00032890,Infl
7852,NCT01313208,Infl
7855,NCT00773734,Infl
5447,NCT02194088,Infl
8526,NCT00587496,Infl
8425,NCT01495858,Infl
7007,NCT03321292,Infl
5395,NCT03224507,Infl
3038,NCT02191748,Infl
6467,NCT01118026,Infl
3746,NCT02987257,Infl
7927,NCT00134056,Infl
8839,NCT02777554,Infl
5468,NCT01477762,Infl
5431,NCT02641353,Infl
4738,NCT03634852,Infl
6412,NCT03783702,Infl
6834,NCT03417388,Infl
4743,NCT02036060,Infl
9266,NCT04341727,Infl
8552,NCT01710358,Infl
1181,NCT02543931,Infl
4039,NCT01192178,Infl
1217,NCT00183807,Infl
2673,NCT00808210,Infl
8689,NCT02520115,Infl
8881,NCT03241732,Infl
1285,NCT00139581,Infl
6052,NCT02506192,Infl
7821,NCT00857324,Infl
4640,NCT01511939,Infl
4816,NCT03794882,Infl
4100,NCT02616640,Infl
1053,NCT02420041,Infl
4605,NCT02357277,Infl
1061,NCT01870986,Infl
2963,NCT00758628,Infl
2572,NCT00135720,Infl
3253,NCT03671746,Infl
1065,NCT01589978,Infl
8420,NCT02944578,Infl
2088,NCT04372108,Infl
9260,NCT04344457,Infl
8427,NCT01280591,Infl
1801,NCT03979209,Infl
2645,NCT01228214,Infl
8649,NCT01733017,Infl
2950,NCT03680495,Infl
6348,NCT04603911,Infl
7858,NCT01632241,Infl
5068,NCT01508676,Infl
2692,NCT02443142,Infl
4825,NCT04588727,Infl
6852,NCT00859781,Infl
1326,NCT00232011,Infl
9068,NCT04534322,Infl
5072,NCT01646463,Infl
4931,NCT04158830,Infl
1322,NCT00121316,Infl
3797,NCT02479620,Infl
1812,NCT03973177,Infl
2211,NCT02934191,Infl
1327,NCT00231998,Infl
2467,NCT03426137,Infl
1043,NCT02030990,Infl
2857,NCT01231165,Infl
6339,NCT03831321,Infl
3271,NCT00796705,Infl
2962,NCT00463060,Infl
3229,NCT00395304,Infl
1799,NCT00995410,Infl
4670,NCT01332500,Infl
8508,NCT01182727,Infl
4661,NCT04579120,Infl
7976,NCT00880191,Infl
6508,NCT04419948,Infl
1295,NCT00150059,Infl
2242,NCT01063179,Infl
4084,NCT00000641,Infl
5359,NCT01133275,Infl
1229,NCT01287351,Infl
1659,NCT01966718,Infl
5361,NCT02368301,Infl
7862,NCT03828201,Infl
7816,NCT02431208,Infl
6890,NCT03200886,Infl
6767,NCT04255498,Infl
4954,NCT02299115,Infl
4910,NCT04570449,Infl
4904,NCT03111810,Infl
9142,NCT04469530,Infl
9061,NCT04540120,Infl
2617,NCT02932579,Infl
4092,NCT02807454,Infl
1095,NCT00620867,Infl
7813,NCT02216123,Infl
6558,NCT00424294,Infl
9189,NCT04411667,Infl
4906,NCT00940784,Infl
4657,NCT04171180,Infl
6513,NCT01205178,Infl
2166,NCT00685555,Infl
1104,NCT00000157,Infl
3222,NCT01775865,Infl
7142,NCT01046825,Infl
3903,NCT00318643,Infe
4024,NCT00356915,Infe
3807,NCT00551200,Infe
3762,NCT03935828,Infe
3765,NCT01338506,Infe
3636,NCT00633373,Infe
5876,NCT02139397,Infe
5777,NCT00273910,Infe
5871,NCT03250338,Infe
4029,NCT00101712,Infe
5832,NCT04463264,Infe
4002,NCT02446626,Infe
2201,NCT00456248,Infe
3790,NCT00351832,Infe
3602,NCT01533480,Infe
4225,NCT03474029,Infe
3973,NCT00249782,Infe
3788,NCT00325429,Infe
3598,NCT02511054,Infe
5741,NCT01014533,Infe
8881,NCT03241732,Infe
5945,NCT03685058,Infe
2309,NCT01753115,Infe
8845,NCT04149639,Infe
5738,NCT00876434,Infe
3794,NCT00414947,Infe
4234,NCT03521817,Infe
3873,NCT00171990,Infe
2148,NCT04248023,Infe
4239,NCT00089947,Infe
8843,NCT00400803,Infe
8911,NCT00248612,Infe
5941,NCT00633087,Infe
4195,NCT03604705,Infe
9267,NCT04341675,Infe
4023,NCT00138593,Infe
5767,NCT02044484,Infe
3968,NCT04023604,Infe
4191,NCT03765593,Infe
5765,NCT03184025,Infe
5760,NCT01874886,Infe
4020,NCT01016483,Infe
3994,NCT01196429,Infe
4198,NCT00088504,Infe
2304,NCT02539576,Infe
4202,NCT01228344,Infe
5755,NCT01191788,Infe
5891,NCT00811954,Infe
4204,NCT03945981,Infe
2195,NCT00346580,Infe
5866,NCT00004025,Infe
5790,NCT03361384,Infe
3757,NCT00219557,Infe
3679,NCT00084136,Infe
5844,NCT00778544,Infe
5810,NCT00792519,Infe
4124,NCT01523977,Infe
5845,NCT01480219,Infe
3922,NCT00926796,Infe
3681,NCT01411891,Infe
4084,NCT00000641,Infe
3718,NCT00232076,Infe
5848,NCT00778414,Infe
2238,NCT01050907,Infe
5808,NCT02249182,Infe
5849,NCT02297126,Infe
2242,NCT01063179,Infe
3724,NCT04240288,Infe
9275,NCT04334382,Infe
4074,NCT01321346,Infe
3728,NCT00249405,Infe
4240,NCT00120471,Infe
2232,NCT00322049,Infe
4072,NCT01127282,Infe
8821,NCT03137082,Infe
4068,NCT04018651,Infe
8869,NCT02972255,Infe
3918,NCT00040027,Infe
8899,NCT01721798,Infe
3708,NCT00233337,Infe
8900,NCT01594632,Infe
3700,NCT00729937,Infe
3697,NCT00368134,Infe
3797,NCT02479620,Infe
3933,NCT00000980,Infe
9260,NCT04344457,Infe
3834,NCT02519777,Infe
8871,NCT01137006,Infe
3837,NCT01814722,Infe
5834,NCT04495634,Infe
3936,NCT00039962,Infe
3699,NCT00110240,Infe
8437,NCT00679289,Infe
3828,NCT00002120,Infe
3707,NCT02673229,Infe
2259,NCT01857245,Infe
5931,NCT01213914,Infe
2260,NCT03081871,Infe
4114,NCT02840877,Infe
4096,NCT00000720,Infe
2263,NCT00547716,Infe
3704,NCT00102388,Infe
8893,NCT01664624,Infe
8813,NCT01671332,Infe
2244,NCT00607620,Infe
4123,NCT04171466,Infe
3674,NCT00613730,Infe
4134,NCT02961751,Infe
3808,NCT00034294,Infe
4169,NCT03180723,Infe
3952,NCT00102466,Infe
3746,NCT02987257,Infe
3653,NCT01917994,Infe
8902,NCT00122512,Infe
5856,NCT01818791,Infe
4159,NCT00703846,Infe
3912,NCT00398528,Infe
3816,NCT00106431,Infe
4160,NCT00100581,Infe
4037,NCT00039741,Infe
4035,NCT00555217,Infe
8884,NCT02624193,Infe
2175,NCT00000938,Infe
5788,NCT04603794,Infe
3647,NCT01070056,Infe
8903,NCT00122486,Infe
4171,NCT00081640,Infe
4175,NCT02655354,Infe
3641,NCT00459615,Infe
8848,NCT01033942,Infe
4176,NCT02486783,Infe
9266,NCT04341727,Infe
8904,NCT00120770,Infe
5782,NCT00098384,Infe
4106,NCT00117689,Infe
3914,NCT00325117,Infe
3735,NCT00101673,Infe
4152,NCT00407147,Infe
8852,NCT03723395,Infe
3740,NCT02253550,Infe
3743,NCT04461353,Infe
2273,NCT03798691,Infe
4145,NCT00135798,Infe
3667,NCT03734523,Infe
4053,NCT00031447,Infe
5800,NCT00694551,Infe
4147,NCT02923193,Infe
3846,NCT00078598,Infe
4150,NCT00000861,Infe
8447,NCT04294264,Infe
2174,NCT00001101,Infe
3658,NCT00260156,Infe
8901,NCT00570440,Infe
2224,NCT00924508,Infe
2279,NCT01760408,Infe
9277,NCT04332861,Infe
5791,NCT02769078,Infe
5850,NCT03164616,Infe
5919,NCT01086475,Infe
3945,NCT00121979,Infe
4045,NCT00300287,Infe
2281,NCT01878786,Infe
3833,NCT00099957,Infe
5214,NCT04275180,Infe
4241,NCT01717287,Infe
4920,NCT00159458,Infe
9162,NCT04448002,Infe
5399,NCT00178802,Infe
5400,NCT01235793,Infe
8536,NCT02290938,Infe
9165,NCT04441593,Infe
4848,NCT03658954,Infe
8667,NCT01773239,Infe
3043,NCT02240407,Infe
3044,NCT00391352,Infe
5407,NCT03795233,Infe
4843,NCT01581307,Infe
5413,NCT01847300,Infe
4838,NCT01372345,Infe
5416,NCT02919306,Infe
4837,NCT01372358,Infe
4836,NCT04169867,Infe
8670,NCT00678769,Infe
5417,NCT03431831,Infe
3049,NCT01051284,Infe
5395,NCT03224507,Infe
3034,NCT03884478,Infe
4866,NCT04048707,Infe
4895,NCT03696290,Infe
4919,NCT03554785,Infe
2984,NCT00001043,Infe
8548,NCT04231851,Infe
2615,NCT03689530,Infe
3001,NCT00510614,Infe
2614,NCT02429505,Infe
3008,NCT01227590,Infe
5375,NCT02771925,Infe
3014,NCT00991185,Infe
4868,NCT03800394,Infe
2603,NCT02027324,Infe
5379,NCT01733030,Infe
4884,NCT04517006,Infe
9053,NCT04546763,Infe
8545,NCT04580810,Infe
9052,NCT04548648,Infe
4870,NCT02777112,Infe
5388,NCT01617083,Infe
8671,NCT04042909,Infe
4824,NCT03290963,Infe
8672,NCT04230499,Infe
3147,NCT02707042,Infe
4750,NCT03245879,Infe
3120,NCT02124044,Infe
4738,NCT03634852,Infe
3130,NCT00001729,Infe
3131,NCT03465917,Infe
2531,NCT01222585,Infe
5474,NCT04564599,Infe
3145,NCT00308620,Infe
4717,NCT00736554,Infe
4762,NCT00372983,Infe
8689,NCT02520115,Infe
4715,NCT03512730,Infe
3155,NCT04476251,Infe
5484,NCT03750838,Infe
3157,NCT02619773,Infe
4708,NCT01810731,Infe
2512,NCT04574167,Infe
5490,NCT02040142,Infe
3115,NCT02630563,Infe
9035,NCT04563754,Infe
3069,NCT00000693,Infe
9041,NCT04558541,Infe
4812,NCT03656679,Infe
3074,NCT01167920,Infe
5423,NCT02182115,Infe
2563,NCT01240174,Infe
3076,NCT03917875,Infe
4810,NCT04499495,Infe
3077,NCT00005667,Infe
2560,NCT00001037,Infe
8674,NCT00764517,Infe
4771,NCT04509622,Infe
4805,NCT03845985,Infe
5431,NCT02641353,Infe
3086,NCT02153814,Infe
4793,NCT00561054,Infe
8526,NCT00587496,Infe
4788,NCT04334824,Infe
8680,NCT01902225,Infe
8681,NCT00963807,Infe
2981,NCT04311294,Infe
4921,NCT02433210,Infe
3169,NCT00711490,Infe
2977,NCT03807817,Infe
2803,NCT01570309,Infe
5130,NCT03009045,Infe
9105,NCT04498520,Infe
5125,NCT01155869,Infe
8596,NCT03277573,Infe
5244,NCT01156701,Infe
5113,NCT01119521,Infe
5108,NCT02744846,Infe
2705,NCT00059267,Infe
5101,NCT00574587,Infe
5096,NCT00000788,Infe
5090,NCT00313144,Infe
2840,NCT02560038,Infe
5077,NCT03337438,Infe
5076,NCT01001221,Infe
2697,NCT01863719,Infe
5075,NCT03662412,Infe
2695,NCT01008280,Infe
5073,NCT04502589,Infe
5137,NCT02698891,Infe
2798,NCT02644057,Infe
2715,NCT01986894,Infe
2769,NCT01977989,Infe
2745,NCT00620750,Infe
9118,NCT04486313,Infe
2737,NCT03211156,Infe
9120,NCT04485559,Infe
2751,NCT03930745,Infe
5194,NCT01347112,Infe
2733,NCT03163849,Infe
9115,NCT04488055,Infe
2773,NCT01723059,Infe
8590,NCT00245453,Infe
2728,NCT03557775,Infe
5177,NCT00230477,Infe
2780,NCT03076216,Infe
9127,NCT04482712,Infe
8571,NCT03001024,Infe
2717,NCT03127358,Infe
2788,NCT01953120,Infe
5155,NCT04168203,Infe
9135,NCT04478617,Infe
5265,NCT02556996,Infe
5070,NCT00138411,Infe
4960,NCT02941601,Infe
9142,NCT04469530,Infe
2667,NCT02135302,Infe
2927,NCT03600103,Infe
2932,NCT00502788,Infe
4964,NCT00672204,Infe
2936,NCT01529138,Infe
4961,NCT03106363,Infe
2938,NCT00573898,Infe
4956,NCT01762995,Infe
2926,NCT03987581,Infe
5322,NCT03152409,Infe
2647,NCT03625492,Infe
5325,NCT02086630,Infe
5327,NCT02532010,Infe
5334,NCT03646084,Infe
2636,NCT03791814,Infe
2635,NCT00924898,Infe
2968,NCT00266058,Infe
8554,NCT00268242,Infe
4978,NCT02590198,Infe
2859,NCT01966094,Infe
5032,NCT02056535,Infe
2864,NCT00736190,Infe
9138,NCT04473430,Infe
5059,NCT00356200,Infe
5054,NCT00298922,Infe
2681,NCT03409003,Infe
9090,NCT04513899,Infe
5037,NCT02271932,Infe
2892,NCT04173884,Infe
5029,NCT02801747,Infe
8629,NCT01700036,Infe
5015,NCT04266938,Infe
5004,NCT03501407,Infe
5001,NCT00489151,Infe
4998,NCT01874951,Infe
2916,NCT02302950,Infe
5296,NCT00298155,Infe
8627,NCT01007552,Infe
8555,NCT03560232,Infe
2511,NCT02185300,Infe
5497,NCT02866721,Infe
4243,NCT00308061,Infe
2409,NCT01364805,Infe
4363,NCT02479555,Infe
5651,NCT02683187,Infe
5654,NCT00785200,Infe
4362,NCT00192634,Infe
3487,NCT01482962,Infe
3488,NCT03201159,Infe
3490,NCT01648140,Infe
2370,NCT00271011,Infe
5668,NCT00080366,Infe
8756,NCT02487485,Infe
8929,NCT01128621,Infe
4337,NCT02578641,Infe
5673,NCT04296942,Infe
8479,NCT01625793,Infe
3504,NCT02989701,Infe
4329,NCT00683085,Infe
5677,NCT00681993,Infe
3509,NCT00380380,Infe
3510,NCT01425099,Infe
3474,NCT00050856,Infe
8933,NCT02217007,Infe
8755,NCT00903695,Infe
2403,NCT03960970,Infe
4435,NCT02018250,Infe
8950,NCT03900949,Infe
2406,NCT00000455,Infe
3423,NCT01613833,Infe
5637,NCT03822403,Infe
4405,NCT00734539,Infe
5638,NCT02255162,Infe
5642,NCT04103164,Infe
2400,NCT01951209,Infe
2389,NCT01396044,Infe
8746,NCT02665143,Infe
3437,NCT03723655,Infe
4396,NCT00662571,Infe
8941,NCT01511107,Infe
4383,NCT01223313,Infe
9215,NCT04386057,Infe
4376,NCT03360422,Infe
4375,NCT01244204,Infe
4316,NCT03674775,Infe
5683,NCT00923936,Infe
4312,NCT03430973,Infe
2326,NCT04018417,Infe
2337,NCT04374552,Infe
4272,NCT03571750,Infe
2336,NCT03984838,Infe
5707,NCT03267563,Infe
4270,NCT02188368,Infe
8776,NCT00813423,Infe
4267,NCT03572595,Infe
4266,NCT02206425,Infe
8468,NCT02415751,Infe
3538,NCT00238498,Infe
3555,NCT01518478,Infe
5723,NCT03928067,Infe
5724,NCT00655967,Infe
3556,NCT01810354,Infe
2317,NCT04450316,Infe
8914,NCT02341638,Infe
2316,NCT01996943,Infe
4244,NCT00615407,Infe
3539,NCT00150046,Infe
4274,NCT00358917,Infe
4308,NCT04597437,Infe
4296,NCT01641796,Infe
9228,NCT04375813,Infe
4305,NCT02304263,Infe
4303,NCT00114699,Infe
4301,NCT00312169,Infe
4298,NCT00098748,Infe
5689,NCT01343654,Infe
5693,NCT03707080,Infe
2349,NCT00728377,Infe
5694,NCT03789097,Infe
2338,NCT03240068,Infe
2346,NCT03340051,Infe
9232,NCT04373044,Infe
5695,NCT04475172,Infe
2342,NCT01402453,Infe
4291,NCT03278808,Infe
8923,NCT01909752,Infe
3532,NCT01388439,Infe
4280,NCT00422448,Infe
4437,NCT01877421,Infe
4441,NCT01659515,Infe
5498,NCT03451773,Infe
3409,NCT02465463,Infe
9006,NCT04584710,Infe
5527,NCT04592978,Infe
3226,NCT01233050,Infe
5531,NCT02362425,Infe
8708,NCT01941810,Infe
8710,NCT00004263,Infe
3247,NCT01943682,Infe
4604,NCT00908830,Infe
2477,NCT03702270,Infe
5542,NCT02346162,Infe
4599,NCT03859362,Infe
9196,NCT04404855,Infe
4589,NCT03710694,Infe
3276,NCT02118012,Infe
3277,NCT02263326,Infe
3283,NCT01751620,Infe
8978,NCT04608773,Infe
8718,NCT00058045,Infe
2463,NCT03742258,Infe
4651,NCT03486093,Infe
8506,NCT01490697,Infe
2491,NCT03702283,Infe
3182,NCT03462966,Infe
4694,NCT00816426,Infe
4688,NCT01867905,Infe
8697,NCT00515255,Infe
3173,NCT00995488,Infe
3177,NCT00250133,Infe
4676,NCT04598399,Infe
4675,NCT02746900,Infe
8509,NCT01239368,Infe
2503,NCT02308735,Infe
4652,NCT04198974,Infe
5507,NCT02335905,Infe
5514,NCT03152760,Infe
4669,NCT01710943,Infe
3191,NCT02133872,Infe
5517,NCT02057289,Infe
9010,NCT04581603,Infe
5522,NCT01243437,Infe
2493,NCT02413125,Infe
4569,NCT03853304,Infe
4564,NCT03021616,Infe
8719,NCT00006264,Infe
4458,NCT00292942,Infe
4493,NCT02037555,Infe
3368,NCT00112047,Infe
3369,NCT02213068,Infe
3377,NCT01212003,Infe
8488,NCT00063804,Infe
4467,NCT01954290,Infe
3398,NCT03974061,Infe
4459,NCT00292929,Infe
8954,NCT04331366,Infe
8733,NCT00831766,Infe
3403,NCT00678132,Infe
4454,NCT00657917,Infe
4452,NCT00761020,Infe
3405,NCT03022929,Infe
4451,NCT00884377,Infe
5632,NCT03440450,Infe
4450,NCT00984256,Infe
4449,NCT01140191,Infe
8734,NCT02958969,Infe
9204,NCT04398368,Infe
2455,NCT04233164,Infe
3336,NCT00005924,Infe
3314,NCT01856907,Infe
8973,NCT02422485,Infe
3320,NCT00585689,Infe
3322,NCT03543735,Infe
5573,NCT01034579,Infe
8721,NCT00004930,Infe
4547,NCT03831165,Infe
2448,NCT00734344,Infe
4536,NCT00088543,Infe
3361,NCT00319332,Infe
8724,NCT00039468,Infe
4530,NCT03282916,Infe
8963,NCT00882557,Infe
8961,NCT03718104,Infe
4520,NCT03266783,Infe
5594,NCT02600819,Infe
8492,NCT01245673,Infe
8727,NCT00085124,Infe
2437,NCT00481507,Infe
4232,NCT01796106,Infe
6401,NCT00031499,Infe
7353,NCT03385304,Infe
8302,NCT01017640,Infe
7696,NCT02170246,Infe
1950,NCT04303676,Infe
6212,NCT02481310,Infe
1945,NCT00528814,Infe
7338,NCT03026556,Infe
9595,NCT04058145,Infe
6407,NCT00108862,Infe
6216,NCT01463254,Infe
6701,NCT02322047,Infe
8212,NCT01297062,Infe
7348,NCT02689713,Infe
6404,NCT01491919,Infe
9601,NCT04055623,Infe
6217,NCT01334190,Infe
1740,NCT04349072,Infe
9853,NCT03865212,Infe
6209,NCT00851799,Infe
9865,NCT03855410,Infe
8338,NCT00176982,Infe
7717,NCT01539005,Infe
7716,NCT04044235,Infe
6200,NCT02666742,Infe
8105,NCT02088177,Infe
6203,NCT00372073,Infe
8170,NCT00417976,Infe
1544,NCT04382625,Infe
9591,NCT04060849,Infe
7711,NCT02843178,Infe
6705,NCT02187211,Infe
6903,NCT01039363,Infe
6704,NCT02226367,Infe
9855,NCT03864146,Infe
6218,NCT01226433,Infe
6700,NCT02796716,Infe
7623,NCT01903889,Infe
6220,NCT03030716,Infe
7382,NCT00970944,Infe
6393,NCT02294357,Infe
1262,NCT00002102,Infe
1762,NCT02995915,Infe
