,NCTId,InterventionBrowseBranchAbbrev
6408,NCT03516773,Vi
6554,NCT00710957,Vi
2520,NCT03136029,Vi
7804,NCT00860470,Vi
2291,NCT00779142,Vi
2417,NCT01049048,Vi
5427,NCT03056625,Vi
7074,NCT03866837,Vi
2676,NCT00835289,Vi
8272,NCT00874575,Vi
4938,NCT01785004,Vi
2042,NCT01630551,Vi
7449,NCT02878382,Vi
9940,NCT03803553,Vi
9261,NCT04344184,Vi
4082,NCT00071266,Vi
6279,NCT00358332,Vi
5847,NCT01793090,Vi
1153,NCT02097173,Vi
5837,NCT01601847,Vi
2966,NCT01996072,Vi
3700,NCT00729937,Vi
4733,NCT03280979,Vi
1168,NCT02032459,Vi
7786,NCT02066441,Vi
2673,NCT00808210,Vi
6849,NCT02863809,Vi
8163,NCT00700791,Vi
1398,NCT00412087,Vi
6084,NCT01751737,Vi
7797,NCT00198822,Vi
9850,NCT03866005,Vi
6789,NCT00476346,Vi
8551,NCT01711359,Vi
4725,NCT00062556,Vi
2409,NCT01364805,Vi
5630,NCT01410084,Vi
5574,NCT03478865,Vi
135,NCT01369030,Vi
9337,NCT04283630,Vi
6920,NCT04537689,Vi
8292,NCT01709110,Vi
6357,NCT01880463,Vi
8037,NCT02077907,Vi
1252,NCT01668069,Vi
3828,NCT00002120,Vi
6488,NCT04365270,Vi
6328,NCT00779220,Vi
4898,NCT02684071,Vi
7222,NCT00222547,Vi
5927,NCT02798458,Vi
5405,NCT02839915,Vi
7183,NCT01443078,Vi
7523,NCT00164281,Vi
4637,NCT01630213,Vi
4862,NCT01578499,Vi
5542,NCT02346162,Vi
5976,NCT04571008,Vi
7965,NCT02865187,Vi
7226,NCT00140361,Vi
2792,NCT02956408,Vi
7926,NCT00265850,Vi
8588,NCT02360644,Vi
5419,NCT01647399,Vi
4897,NCT02414529,Vi
7925,NCT01107626,Vi
3562,NCT01178320,Vi
5241,NCT02019524,Vi
7508,NCT04092257,Vi
2178,NCT01696409,Vi
7507,NCT04096521,Vi
3060,NCT00106054,Vi
4569,NCT03853304,Vi
7944,NCT00365105,Vi
8323,NCT00308971,Vi
4586,NCT01728571,Vi
4584,NCT01704859,Vi
1261,NCT00002103,Vi
1523,NCT00183911,Vi
6212,NCT02481310,Vi
4613,NCT01409681,Vi
7956,NCT01099449,Vi
3908,NCT00880178,Vi
4583,NCT01696435,Vi
5218,NCT02138838,Vi
3911,NCT00631085,Vi
2155,NCT00363038,Vi
1956,NCT00668941,Vi
5698,NCT03089684,Vi
6643,NCT00342992,Vi
2157,NCT00018551,Vi
1259,NCT00002434,Vi
6472,NCT00000152,Vi
4266,NCT02206425,Vi
4582,NCT02239874,Vi
1274,NCT02636348,Vi
1260,NCT00002317,Vi
1814,NCT00995917,Vi
4843,NCT01581307,Vi
5160,NCT01351805,Vi
7216,NCT00396500,Vi
8574,NCT03483441,Vi
6904,NCT02011789,Vi
4579,NCT01782352,Vi
4888,NCT01633177,Vi
3929,NCT00418938,Vi
4560,NCT01653678,Vi
9981,NCT03775590,Vi
7621,NCT02114229,Vi
3065,NCT03467789,Vi
4559,NCT01747447,Vi
8132,NCT03599193,Vi
3211,NCT03615950,Vi
