,NCTId,ConditionBrowseLeafId
9714,NCT03976076,T5927
4954,NCT02299115,T5927
1736,NCT02186626,T5925
5163,NCT01109368,T592
5104,NCT00792155,T592
7435,NCT02656017,T592
3417,NCT00072813,T592
6538,NCT03889392,T592
6745,NCT01233609,T592
6512,NCT03726463,T592
4929,NCT00422799,T5898
1906,NCT01813227,T5898
8072,NCT03015896,T5898
8178,NCT02049541,T5898
9349,NCT04273139,T5898
8152,NCT01812005,T5898
7913,NCT00719563,T5898
9583,NCT04072458,T5898
2082,NCT03844412,T5889
5251,NCT01996384,T5889
8962,NCT04066894,T5888
8387,NCT00504023,T5888
8748,NCT02140021,T5888
4256,NCT00391664,T5888
7946,NCT01376349,T5888
3458,NCT00566995,T5887
2682,NCT01285362,T5879
8898,NCT04004325,T5879
4352,NCT04561804,T5879
4350,NCT02702479,T5879
3941,NCT03060538,T5879
1505,NCT01047735,T5879
3167,NCT00323414,T5879
3338,NCT02290106,T5879
9457,NCT04186793,T5879
9817,NCT03883607,T5879
6909,NCT04442620,T5879
2471,NCT00590161,T5879
1127,NCT03073343,T5879
2587,NCT03997422,T5879
4674,NCT03683589,T5879
3827,NCT01629095,T5879
4156,NCT01694849,T5879
3771,NCT03339245,T5879
2216,NCT04031729,T5879
9534,NCT04104321,T5879
2255,NCT02217345,T5879
9482,NCT04152473,T5879
2322,NCT01643512,T5879
2156,NCT00983463,T5879
1751,NCT03576755,T5879
3488,NCT03201159,T5879
9550,NCT04091061,T5879
7229,NCT04330326,T5879
4740,NCT01766960,T5879
2628,NCT00099723,T5879
1391,NCT01702857,T5875
4444,NCT01502735,T5875
8811,NCT02696291,T5875
4433,NCT02239614,T5875
6776,NCT02718469,T5875
6112,NCT01353040,T5875
1876,NCT01502345,T5875
6113,NCT01353027,T5875
7446,NCT02269423,T5875
9987,NCT03771963,T5875
6260,NCT01843621,T5875
7319,NCT03869060,T5875
4292,NCT02421367,T5875
6269,NCT00992693,T5875
1429,NCT00584194,T5875
6270,NCT00868946,T5875
6278,NCT00370682,T5875
6277,NCT00384670,T5875
6099,NCT01518881,T5875
6275,NCT00468858,T5875
1424,NCT00869713,T5875
6272,NCT00623168,T5875
4429,NCT03110952,T5875
4428,NCT03141138,T5875
1838,NCT00350337,T5875
6072,NCT01943825,T5875
4378,NCT02372175,T5875
6250,NCT04283513,T5875
6066,NCT02041715,T5875
6095,NCT01566877,T5875
6256,NCT02483260,T5875
3668,NCT02794181,T5875
1901,NCT02116205,T5875
4455,NCT00415051,T5875
4440,NCT01666652,T5875
4425,NCT03609398,T5875
1475,NCT00290147,T5875
4445,NCT01502358,T5875
6248,NCT04333459,T5875
4308,NCT04597437,T5875
7906,NCT03631719,T5875
2232,NCT00322049,T5875
7320,NCT04298138,T5875
6093,NCT01593072,T5875
1482,NCT03051386,T5857
6367,NCT03776994,T5857
1431,NCT00582088,T5857
6368,NCT01984983,T5857
4426,NCT03531242,T5857
1430,NCT00582504,T5857
8962,NCT04066894,T5840
4256,NCT00391664,T5840
8748,NCT02140021,T5840
7946,NCT01376349,T5840
6185,NCT00116090,T5835
9652,NCT04018599,T5835
5566,NCT00473642,T5835
1974,NCT00790803,T5835
3852,NCT04588662,T5835
6577,NCT03828019,T5835
9416,NCT04222712,T5835
5738,NCT00876434,T5835
7414,NCT02374060,T5835
5164,NCT01781936,T5835
1033,NCT02155478,T5835
5501,NCT00498355,T5835
1290,NCT00121147,T5835
5226,NCT01252251,T5835
3523,NCT00280826,T5835
9125,NCT04483440,T5835
5911,NCT01773655,T5835
7946,NCT01376349,T5832
3807,NCT00551200,T5814
2681,NCT03409003,T5814
9759,NCT03933904,T5802
9804,NCT03899805,T5801
1841,NCT01953016,T580
1738,NCT03642691,T5781
1844,NCT03775954,T5779
2743,NCT00097552,T5776
5168,NCT02787486,T5776
5291,NCT03050814,T5775
1425,NCT00787826,T5769
1481,NCT03867162,T5769
119,NCT01150695,T5769
1426,NCT00584844,T5769
8890,NCT03422367,T5762
6023,NCT03276195,T5762
5370,NCT02201212,T5762
7479,NCT02169882,T5760
7745,NCT00858988,T5753
5168,NCT02787486,T5745
5168,NCT02787486,T5743
5307,NCT04570293,T5728
4511,NCT03593330,T5728
8491,NCT03778177,T5728
6514,NCT01465607,T5712
1653,NCT03814096,T5712
6401,NCT00031499,T5712
1867,NCT01317784,T5712
3397,NCT00300534,T5712
3481,NCT02341950,T5706
9956,NCT03794102,T5704
3018,NCT02808143,T5704
9867,NCT03854721,T5704
9037,NCT04561362,T5704
3067,NCT04136808,T5704
7799,NCT04060342,T5704
9590,NCT04064190,T5704
9217,NCT04383938,T5704
4304,NCT03945162,T5704
3320,NCT00585689,T5704
1808,NCT01520038,T5704
9204,NCT04398368,T5704
8452,NCT02295540,T5681
1730,NCT01511393,T5662
9425,NCT04216732,T5662
8015,NCT00004048,T5662
5764,NCT00923247,T5662
8045,NCT00061906,T5661
1841,NCT01953016,T565
3801,NCT01476423,T5647
9014,NCT04579926,T5633
7408,NCT03329404,T5633
2932,NCT00502788,T5633
7259,NCT03992001,T5633
1844,NCT03775954,T5633
4949,NCT01479582,T5633
3631,NCT02587520,T5618
1270,NCT01890850,T5618
4708,NCT01810731,T5618
73,NCT00601835,T5618
5408,NCT02853617,T5618
9493,NCT04142983,T5618
7538,NCT03950986,T5618
2606,NCT03824093,T5618
1007,NCT03463577,T5618
7505,NCT00337428,T5618
5857,NCT00133445,T5618
7228,NCT01147900,T5618
30,NCT00341588,T5614
2463,NCT03742258,T5582
9885,NCT03842254,T558
7913,NCT00719563,T5579
1467,NCT01093885,T5576
2215,NCT01639573,T5576
7554,NCT03937856,T5576
4701,NCT04246528,T5576
5854,NCT00043706,T5576
8644,NCT01257802,T5576
4686,NCT01241383,T5576
7591,NCT03844061,T5576
1537,NCT02228850,T5576
4734,NCT03914781,T5576
5063,NCT03411057,T5576
9509,NCT04125290,T5572
1856,NCT00037219,T5571
4195,NCT03604705,T5571
3481,NCT02341950,T5570
5480,NCT00837148,T5564
9074,NCT04526509,T5564
7992,NCT00369785,T5534
5792,NCT02483650,T5522
1844,NCT03775954,T5520
4360,NCT00005567,T5520
8634,NCT02019667,T5518
4056,NCT01682746,T5515
7992,NCT00369785,T5515
6917,NCT00342199,T5500
9217,NCT04383938,T5498
9191,NCT04410302,T5498
7780,NCT01522768,T5498
9122,NCT04485013,T5498
3355,NCT01445327,T5498
1418,NCT01322633,T5498
9236,NCT04368702,T5498
7799,NCT04060342,T5498
3165,NCT02144051,T5498
1503,NCT00640692,T5498
3192,NCT04191551,T5498
7830,NCT00415168,T5498
5490,NCT02040142,T5498
1510,NCT00183846,T5498
9811,NCT03891784,T5498
1519,NCT00183898,T5498
1525,NCT00183859,T5498
3267,NCT00911820,T5498
9917,NCT03819088,T5498
4700,NCT02274012,T5498
1523,NCT00183911,T5498
1587,NCT00183872,T5498
9037,NCT04561362,T5498
1701,NCT01950572,T5498
9428,NCT04214119,T5498
6816,NCT00341523,T5498
6792,NCT00178698,T5498
7368,NCT00042510,T5498
8514,NCT00030940,T5493
3746,NCT02987257,T5490
5138,NCT04287361,T5483
9227,NCT04378075,T5483
6862,NCT01977846,T5482
8001,NCT02949128,T543
5063,NCT03411057,T5424
3178,NCT04077164,T5424
7850,NCT01421303,T5424
2300,NCT03378336,T5424
9527,NCT04110522,T5424
2654,NCT02281747,T5424
8211,NCT01882439,T5424
9652,NCT04018599,T5424
1101,NCT02498301,T5424
117,NCT02886689,T5424
4535,NCT03660917,T5395
9991,NCT03770377,T5364
8833,NCT02445794,T5364
4535,NCT03660917,T5364
5051,NCT01059240,T5354
4054,NCT03196375,T5354
2109,NCT04256265,T5354
3481,NCT02341950,T5349
6515,NCT03198819,T5349
3221,NCT03044821,T5349
5569,NCT02938130,T5349
9957,NCT03794011,T5349
9864,NCT03856034,T5349
2324,NCT02509377,T5349
3606,NCT04002830,T5347
3442,NCT04552691,T5347
4184,NCT02004691,T5347
5927,NCT02798458,T5347
9000,NCT04591288,T5304
8149,NCT00017199,T5298
9758,NCT03936465,T5296
4737,NCT01859026,T5296
7359,NCT02008877,T5296
