,NCTId,InterventionMeshId
6282,NCT00298610,D000077332
3641,NCT00459615,D000077332
6056,NCT02353026,D000077332
6933,NCT01955382,D000077332
7115,NCT00111163,D000077332
7226,NCT00140361,D000077332
4459,NCT00292929,D000077332
7186,NCT04370977,D000077332
9540,NCT04098744,D000077332
4458,NCT00292942,D000077332
4403,NCT00360087,D000077300
7081,NCT00367770,D000077300
4686,NCT01241383,D000077300
1499,NCT00691184,D000077291
9325,NCT04294225,D000077289
7934,NCT00382070,D000077289
2793,NCT00134680,D000077289
9026,NCT04568616,D000077289
6856,NCT01353209,D000077289
5349,NCT00351416,D000077289
4236,NCT00332709,D000077289
9612,NCT04049227,D000077289
9025,NCT04569747,D000077289
9018,NCT04577001,D000077289
9047,NCT04553133,D000077289
6417,NCT00999804,D000077289
3799,NCT00332852,D000077289
5262,NCT00361010,D000077287
8974,NCT02002819,D000077287
4808,NCT00279617,D000077287
6717,NCT01168687,D000077287
8524,NCT01041170,D000077285
8649,NCT01733017,D000077276
8387,NCT00504023,D000077271
1249,NCT02130323,D000077271
1271,NCT00859105,D000077271
5777,NCT00273910,D000077271
8923,NCT01909752,D000077271
1253,NCT01663558,D000077271
8866,NCT01104701,D000077270
2878,NCT01676116,D000077270
3644,NCT00518882,D000077270
4538,NCT01524705,D000077270
1111,NCT02917057,D000077270
8893,NCT01664624,D000077270
1958,NCT00313001,D000077270
1098,NCT02974244,D000077270
3958,NCT02059564,D000077270
8212,NCT01297062,D000077270
8069,NCT02641990,D000077270
8733,NCT00831766,D000077269
8683,NCT02086604,D000077269
8492,NCT01245673,D000077269
8189,NCT01996865,D000077269
8128,NCT01460940,D000077269
5645,NCT02655458,D000077269
8072,NCT03015896,D000077269
7928,NCT02331368,D000077269
5638,NCT02255162,D000077269
4265,NCT02685826,D000077269
8177,NCT02077959,D000077269
5038,NCT02036502,D000077269
4266,NCT02206425,D000077269
6393,NCT02294357,D000077269
3955,NCT02720510,D000077269
8174,NCT02992522,D000077269
5198,NCT01575860,D000077269
8008,NCT03701711,D000077269
5395,NCT03224507,D000077269
7816,NCT02431208,D000077269
5359,NCT01133275,D000077269
5361,NCT02368301,D000077269
4189,NCT00101790,D000077268
9938,NCT03803761,D000077267
3026,NCT00183963,D000077267
6295,NCT02955394,D000077267
4732,NCT01556191,D000077267
7985,NCT02760030,D000077267
6296,NCT02953860,D000077267
7356,NCT01670877,D000077267
3989,NCT01953588,D000077267
9105,NCT04498520,D000077267
9348,NCT04273282,D000077266
4694,NCT00816426,D000077266
1829,NCT01516255,D000077266
7237,NCT01434173,D000077266
1373,NCT00414011,D000077266
8212,NCT01297062,D000077266
4738,NCT03634852,D000077266
4564,NCT03021616,D000077266
2715,NCT01986894,D000077266
8386,NCT01537887,D000077266
2679,NCT01521117,D000077265
5139,NCT00230568,D000077265
8240,NCT01658228,D000077265
6990,NCT00062972,D000077265
4447,NCT01194336,D000077265
4242,NCT00000173,D000077265
5535,NCT01466088,D000077265
5896,NCT01845636,D000077265
7992,NCT00369785,D000077265
8003,NCT00483028,D000077265
8946,NCT01743976,D000077265
7948,NCT01009918,D000077261
5728,NCT03775096,D000077261
4059,NCT01587638,D000077261
8129,NCT00537043,D000077261
3489,NCT00184054,D000077237
7017,NCT01738360,D000077237
5232,NCT00187928,D000077236
9010,NCT04581603,D000077236
7246,NCT01750268,D000077236
7247,NCT01749215,D000077236
7062,NCT00862095,D000077236
6719,NCT01087736,D000077236
8232,NCT01811940,D000077236
3445,NCT01764685,D000077236
7617,NCT00140140,D000077235
7183,NCT01443078,D000077235
5192,NCT01109524,D000077235
6605,NCT00795678,D000077235
7583,NCT00235235,D000077235
103,NCT01235260,D000077214
3784,NCT01713777,D000077213
7914,NCT00223509,D000077213
2814,NCT00531518,D000077213
8547,NCT01588457,D000077213
3711,NCT01733394,D000077213
9237,NCT04368364,D000077212
7586,NCT03077919,D000077212
4343,NCT03309163,D000077212
3650,NCT03739021,D000077212
6045,NCT02679560,D000077212
2978,NCT03801863,D000077212
5899,NCT04302181,D000077212
4200,NCT00768248,D000077212
2974,NCT02662023,D000077212
5903,NCT02325414,D000077211
1976,NCT04279392,D000077211
5917,NCT01205646,D000077211
4542,NCT00333229,D000077211
7417,NCT01426555,D000077211
3864,NCT03924414,D000077211
6230,NCT00321932,D000077211
4236,NCT00332709,D000077211
9563,NCT04087096,D000077211
7938,NCT00869206,D000077211
7944,NCT00365105,D000077211
9803,NCT03900793,D000077210
6746,NCT01449825,D000077210
4756,NCT00672594,D000077210
3884,NCT00491738,D000077210
2962,NCT00463060,D000077210
6882,NCT01019798,D000077210
1376,NCT00299741,D000077210
6713,NCT01402817,D000077210
2652,NCT00790595,D000077210
8776,NCT00813423,D000077210
5327,NCT02532010,D000077209
3273,NCT03233724,D000077209
8298,NCT01130506,D000077209
9407,NCT04229979,D000077209
9835,NCT03875287,D000077209
8778,NCT04086264,D000077209
7976,NCT00880191,D000077206
1046,NCT02419443,D000077206
5730,NCT03080493,D000077206
5375,NCT02771925,D000077206
8935,NCT03635905,D000077206
8145,NCT01141049,D000077206
7809,NCT01495923,D000077206
7986,NCT00748098,D000077206
7972,NCT00087399,D000077206
5741,NCT01014533,D000077206
3656,NCT01668667,D000077206
2887,NCT00097279,D000077205
6553,NCT04392557,D000077205
8892,NCT01748994,D000077205
2565,NCT00411892,D000077205
4348,NCT02192684,D000077205
2486,NCT00203996,D000077205
5128,NCT01395784,D000077205
5333,NCT00904046,D000077205
7916,NCT01006018,D000077205
2946,NCT00598793,D000077205
4061,NCT00835120,D000077205
9609,NCT04049669,D000077204
2888,NCT03405792,D000077204
6576,NCT00689221,D000077204
6572,NCT00813943,D000077204
8143,NCT03246113,D000077204
9977,NCT03778294,D000077204
5400,NCT01235793,D000077204
4181,NCT04200443,D000077204
6361,NCT00590681,D000077204
4948,NCT03426891,D000077204
5662,NCT02287428,D000077204
5238,NCT04267978,D000077204
9434,NCT04209790,D000077204
8395,NCT03921242,D000077203
4160,NCT00100581,D000077190
3490,NCT01648140,D000077190
4198,NCT00088504,D000077190
5635,NCT00823381,D000077185
3328,NCT01714102,D000077185
8489,NCT02219906,D000077185
6746,NCT01449825,D000077157
5709,NCT00326495,D000077157
3358,NCT02460991,D000077157
5480,NCT00837148,D000077157
6672,NCT00411671,D000077157
7979,NCT00217620,D000077157
4732,NCT01556191,D000077156
6651,NCT01706211,D000077154
3041,NCT00399711,D000077154
2593,NCT00427154,D000077154
5019,NCT00324675,D000077154
2860,NCT00333151,D000077154
3645,NCT00318422,D000077154
2913,NCT01625923,D000077152
3313,NCT03781115,D000077152
7274,NCT01052103,D000077152
2707,NCT02939287,D000077152
1519,NCT00183898,D000077150
7956,NCT01099449,D000077150
5291,NCT03050814,D000077150
9185,NCT04417699,D000077150
6243,NCT02630043,D000077150
1449,NCT00642603,D000077150
4843,NCT01581307,D000077150
2605,NCT00356122,D000077150
6346,NCT02635971,D000077150
7926,NCT00265850,D000077150
4920,NCT00159458,D000077150
5614,NCT01591733,D000077150
6584,NCT01175291,D000077150
8447,NCT04294264,D000077150
7680,NCT03000374,D000077150
1522,NCT00159432,D000077150
7926,NCT00265850,D000077146
9529,NCT04109924,D000077146
1510,NCT00183846,D000077146
2370,NCT00271011,D000077146
4849,NCT01016860,D000077146
8176,NCT01814501,D000077146
2352,NCT00856830,D000077146
3267,NCT00911820,D000077146
5238,NCT04267978,D000077146
1587,NCT00183872,D000077146
3060,NCT00106054,D000077146
3929,NCT00418938,D000077146
9584,NCT04072445,D000077146
8724,NCT00039468,D000077146
5624,NCT01847495,D000077146
7953,NCT00079118,D000077146
5122,NCT01859858,D000077146
1449,NCT00642603,D000077146
9940,NCT03803553,D000077146
1217,NCT00183807,D000077146
9579,NCT04074343,D000077146
1525,NCT00183859,D000077146
5614,NCT01591733,D000077146
6926,NCT01510327,D000077144
2645,NCT01228214,D000077144
9313,NCT04305587,D000077144
7027,NCT01500434,D000077144
1771,NCT01561950,D000077144
3334,NCT01789814,D000077144
1065,NCT01589978,D000077144
4906,NCT00940784,D000077144
3701,NCT01742117,D000077144
7437,NCT00823212,D000077144
1797,NCT01603342,D000077144
2857,NCT01231165,D000077144
2605,NCT00356122,D000077143
6181,NCT00206453,D000077143
7243,NCT03358563,D000077143
1520,NCT00183742,D000077143
1524,NCT00159471,D000077143
9893,NCT03837353,D000077143
3994,NCT01196429,D000077143
8681,NCT00963807,D000077143
8907,NCT00148902,D000077143
8466,NCT00574769,D000077143
7953,NCT00079118,D000077143
6885,NCT02985255,D000077143
8813,NCT01671332,D000077143
7183,NCT01443078,D000077143
7942,NCT00040885,D000077143
7983,NCT00113399,D000077143
3267,NCT00911820,D000077143
8631,NCT00151047,D000077143
7991,NCT00872989,D000077143
8706,NCT00482274,D000077143
8165,NCT00320749,D000077143
1587,NCT00183872,D000077143
6158,NCT00636441,D000077143
5677,NCT00681993,D000077143
3773,NCT00454779,D000077143
9507,NCT04126070,D000077143
2428,NCT03737370,D000077143
7927,NCT00134056,D000077143
4743,NCT02036060,D000077143
6882,NCT01019798,D000077143
8285,NCT00055861,D000077143
9727,NCT03962725,D000077123
2482,NCT02703909,D000077123
2149,NCT00751179,D000077123
9840,NCT03874052,D000075242
8677,NCT03071406,D000074324
9049,NCT04551430,D000074324
8678,NCT02829931,D000074324
9111,NCT04495257,D000074324
9392,NCT04239040,D000074324
1893,NCT03126331,D000074324
8619,NCT01703507,D000074324
9293,NCT04319224,D000074324
9789,NCT03912064,D000074324
9668,NCT04007588,D000074324
9331,NCT04291755,D000074324
3497,NCT01502592,D000074324
3469,NCT00324155,D000074324
9553,NCT04090775,D000074324
4836,NCT04169867,D000074324
8553,NCT03135249,D000074323
8726,NCT00098670,D000074323
2215,NCT01639573,D000074323
8285,NCT00055861,D000074322
9531,NCT04108858,D000074322
8726,NCT00098670,D000074322
9529,NCT04109924,D000074322
8301,NCT01468896,D000074322
8284,NCT00089154,D000074322
8674,NCT00764517,D000074322
2463,NCT03742258,D000074322
7636,NCT01207687,D000074322
6212,NCT02481310,D000074322
8015,NCT00004048,D000074322
8657,NCT01749384,D000074322
6766,NCT04329065,D000074322
3740,NCT02253550,D000069616
7338,NCT03026556,D000069604
5791,NCT02769078,D000069604
3620,NCT00440648,D000069603
3844,NCT00324571,D000069603
3540,NCT00268957,D000069603
9618,NCT04046549,D000069594
2788,NCT01953120,D000069594
9519,NCT04118153,D000069594
7659,NCT01999868,D000069594
7798,NCT00256750,D000069594
5316,NCT02429934,D000069594
4357,NCT04344873,D000069594
7385,NCT00048932,D000069594
9136,NCT04477642,D000069594
3369,NCT02213068,D000069594
4626,NCT03709888,D000069583
7647,NCT00785577,D000069583
9110,NCT04495283,D000069583
2033,NCT01511640,D000069583
4925,NCT01846182,D000069583
2608,NCT00352651,D000069583
2559,NCT00729690,D000069583
3310,NCT01391858,D000069583
3401,NCT00646451,D000069583
8325,NCT00760474,D000069583
2611,NCT02311777,D000069583
1665,NCT00555750,D000069582
8260,NCT00515177,D000069582
1301,NCT00847483,D000069580
5501,NCT00498355,D000069579
5566,NCT00473642,D000069579
3777,NCT00486018,D000069579
8749,NCT01982435,D000069579
4138,NCT04514653,D000069579
3778,NCT00485836,D000069579
1290,NCT00121147,D000069557
1301,NCT00847483,D000069557
1180,NCT00803387,D000069557
7742,NCT04169269,D000069552
7338,NCT03026556,D000069552
4520,NCT03266783,D000069552
5791,NCT02769078,D000069552
35,NCT03242278,D000069552
7659,NCT01999868,D000069549
2088,NCT04372108,D000069549
1786,NCT02015546,D000069503
3872,NCT01751451,D000069501
9895,NCT03833921,D000069501
1820,NCT02415621,D000069501
6683,NCT02987543,D000069501
4505,NCT00202878,D000069499
1086,NCT00936715,D000069480
5891,NCT00811954,D000069480
8271,NCT02333045,D000069480
6209,NCT00851799,D000069480
3679,NCT00084136,D000069480
3368,NCT00112047,D000069480
1709,NCT01632995,D000069480
8184,NCT02022657,D000069480
7812,NCT01102972,D000069480
1178,NCT01772823,D000069480
1179,NCT01769456,D000069480
1908,NCT00118898,D000069480
2040,NCT02572505,D000069480
8928,NCT00555425,D000069479
9712,NCT03976258,D000069479
8228,NCT00879996,D000069479
4764,NCT01843751,D000069479
5377,NCT00248092,D000069478
8787,NCT01457339,D000069478
4227,NCT04132557,D000069478
5435,NCT00753012,D000069478
1638,NCT03338803,D000069476
3740,NCT02253550,D000069474
2733,NCT03163849,D000069474
5808,NCT02249182,D000069474
83,NCT02128542,D000069474
9907,NCT03823911,D000069474
1468,NCT00938405,D000069472
6988,NCT00205491,D000069470
8240,NCT01658228,D000069470
8911,NCT00248612,D000069470
5271,NCT01609348,D000069470
4175,NCT02655354,D000069470
6972,NCT00735670,D000069470
8103,NCT01537068,D000069468
3462,NCT00581061,D000069464
8286,NCT03817931,D000069464
3486,NCT01215721,D000069464
2790,NCT02784834,D000069462
4638,NCT02410278,D000069462
2012,NCT01903291,D000069462
1109,NCT01873417,D000069462
8169,NCT01535924,D000069461
5047,NCT01500083,D000069461
4974,NCT02747732,D000069461
6416,NCT03311126,D000069461
2574,NCT00758693,D000069461
2352,NCT00856830,D000069461
3839,NCT01234766,D000069461
1692,NCT02239926,D000069458
3980,NCT00644332,D000069458
4991,NCT01174173,D000069458
5879,NCT03486561,D000069458
1410,NCT02156336,D000069458
1455,NCT01342029,D000069458
7839,NCT00827112,D000069454
5891,NCT00811954,D000069454
6209,NCT00851799,D000069454
1829,NCT01516255,D000069450
3349,NCT01620489,D000069450
3958,NCT02059564,D000069450
2754,NCT02205528,D000069450
3645,NCT00318422,D000069450
1755,NCT00620282,D000069450
1725,NCT01473953,D000069450
2860,NCT00333151,D000069450
3644,NCT00518882,D000069450
2469,NCT02298192,D000069450
2867,NCT02696148,D000069450
1759,NCT02870231,D000069450
1813,NCT02235961,D000069450
1603,NCT02963935,D000069450
9953,NCT03795701,D000069450
1716,NCT00873223,D000069450
2878,NCT01676116,D000069450
3386,NCT01392573,D000069450
3714,NCT00294723,D000069450
2826,NCT01511198,D000069450
7012,NCT03712098,D000069450
7793,NCT02963922,D000069450
3712,NCT01272232,D000069450
6480,NCT04373967,D000069450
1735,NCT01511185,D000069450
3186,NCT01618162,D000069450
3148,NCT00943501,D000069450
5218,NCT02138838,D000069449
8483,NCT04232657,D000069448
3643,NCT00936897,D000069448
2379,NCT03623633,D000069448
9563,NCT04087096,D000069448
5195,NCT01387178,D000069447
6596,NCT01381406,D000069447
7812,NCT01102972,D000069446
8280,NCT01910402,D000069446
6209,NCT00851799,D000069446
3679,NCT00084136,D000069446
1908,NCT00118898,D000069446
5891,NCT00811954,D000069446
7899,NCT00272779,D000069446
7839,NCT00827112,D000069446
7868,NCT00337467,D000069446
