,NCTId,StdAge
4046,NCT00005159,Older Adult
7929,NCT00075946,Older Adult
4059,NCT01587638,Older Adult
7930,NCT00008385,Older Adult
4057,NCT00272363,Older Adult
4055,NCT01816633,Older Adult
7931,NCT00053898,Older Adult
4054,NCT03196375,Older Adult
4052,NCT02730819,Older Adult
7932,NCT01316055,Older Adult
4051,NCT00257907,Older Adult
4049,NCT03031457,Older Adult
4048,NCT00235729,Older Adult
7933,NCT03984747,Older Adult
4047,NCT03504826,Older Adult
7934,NCT00382070,Older Adult
4061,NCT00835120,Older Adult
4045,NCT00300287,Older Adult
4044,NCT02757937,Older Adult
7935,NCT03567018,Older Adult
4043,NCT00554359,Older Adult
4042,NCT02924051,Older Adult
7936,NCT01011478,Older Adult
4041,NCT03117998,Older Adult
4040,NCT02005445,Older Adult
7937,NCT00041119,Older Adult
4038,NCT00402922,Older Adult
7938,NCT00869206,Older Adult
4036,NCT04530032,Older Adult
4035,NCT00555217,Older Adult
7939,NCT03360799,Older Adult
4060,NCT02842866,Older Adult
7928,NCT02331368,Older Adult
4088,NCT03702920,Older Adult
4075,NCT04259632,Older Adult
7916,NCT01006018,Older Adult
4087,NCT00472303,Older Adult
7917,NCT01483469,Older Adult
4085,NCT00945906,Older Adult
4084,NCT00000641,Older Adult
7918,NCT01256294,Older Adult
4083,NCT04266834,Older Adult
4082,NCT00071266,Older Adult
7919,NCT02463968,Older Adult
4079,NCT00837434,Older Adult
7920,NCT03141567,Older Adult
4077,NCT01871506,Older Adult
4076,NCT01295229,Older Adult
7921,NCT03932799,Older Adult
7922,NCT00072046,Older Adult
4062,NCT02230332,Older Adult
4073,NCT00359723,Older Adult
4072,NCT01127282,Older Adult
7923,NCT02348645,Older Adult
4071,NCT04202900,Older Adult
4070,NCT00939380,Older Adult
7924,NCT02615470,Older Adult
4069,NCT01598597,Older Adult
7925,NCT01107626,Older Adult
4067,NCT00761813,Older Adult
4066,NCT00683553,Older Adult
7926,NCT00265850,Older Adult
4065,NCT01714323,Older Adult
7927,NCT00134056,Older Adult
4063,NCT00180479,Older Adult
7991,NCT00872989,Older Adult
3917,NCT03684070,Older Adult
3916,NCT00122187,Older Adult
8078,NCT01389544,Older Adult
3763,NCT01685034,Older Adult
3762,NCT03935828,Older Adult
8073,NCT02184494,Older Adult
3761,NCT02376751,Older Adult
3760,NCT04082338,Older Adult
8074,NCT00167921,Older Adult
3759,NCT03966755,Older Adult
3758,NCT03421626,Older Adult
8075,NCT03874793,Older Adult
3757,NCT00219557,Older Adult
3755,NCT00724906,Older Adult
8077,NCT00124943,Older Adult
3754,NCT03834142,Older Adult
3753,NCT03284541,Older Adult
3752,NCT00517166,Older Adult
3765,NCT01338506,Older Adult
3750,NCT00166088,Older Adult
8079,NCT01167270,Older Adult
3748,NCT04335929,Older Adult
8080,NCT01713972,Older Adult
3746,NCT02987257,Older Adult
3745,NCT03588741,Older Adult
8081,NCT02371317,Older Adult
3744,NCT00330369,Older Adult
3743,NCT04461353,Older Adult
8082,NCT00397735,Older Adult
3742,NCT01638104,Older Adult
3741,NCT02347202,Older Adult
8084,NCT02858778,Older Adult
3740,NCT02253550,Older Adult
8072,NCT03015896,Older Adult
8071,NCT03665675,Older Adult
3738,NCT03256344,Older Adult
3784,NCT01713777,Older Adult
8055,NCT01818739,Older Adult
3797,NCT02479620,Older Adult
3796,NCT01063959,Older Adult
3795,NCT01899976,Older Adult
8056,NCT03710109,Older Adult
3793,NCT00028353,Older Adult
8057,NCT01530321,Older Adult
3791,NCT00069446,Older Adult
3790,NCT00351832,Older Adult
8059,NCT01857440,Older Adult
3788,NCT00325429,Older Adult
3787,NCT01547351,Older Adult
8061,NCT02272998,Older Adult
3785,NCT03825484,Older Adult
8063,NCT00604214,Older Adult
3767,NCT04583072,Older Adult
3781,NCT02392078,Older Adult
3780,NCT00094055,Older Adult
3778,NCT00485836,Older Adult
8065,NCT00599599,Older Adult
3777,NCT00486018,Older Adult
3776,NCT00087529,Older Adult
3775,NCT03636477,Older Adult
8068,NCT04083690,Older Adult
3773,NCT00454779,Older Adult
3772,NCT00422643,Older Adult
3771,NCT03339245,Older Adult
3770,NCT04538495,Older Adult
8070,NCT03555331,Older Adult
3769,NCT00668928,Older Adult
8085,NCT01052220,Older Adult
3737,NCT01488227,Older Adult
3799,NCT00332852,Older Adult
3693,NCT03218787,Older Adult
3705,NCT01813266,Older Adult
8104,NCT04106882,Older Adult
3704,NCT00102388,Older Adult
3703,NCT00395876,Older Adult
3702,NCT01980485,Older Adult
8106,NCT00302055,Older Adult
3701,NCT01742117,Older Adult
3700,NCT00729937,Older Adult
8107,NCT04043936,Older Adult
3699,NCT00110240,Older Adult
3697,NCT00368134,Older Adult
3695,NCT03107468,Older Adult
8109,NCT03312387,Older Adult
3694,NCT04285489,Older Adult
3692,NCT02469532,Older Adult
8103,NCT01537068,Older Adult
8110,NCT01858311,Older Adult
3690,NCT04468776,Older Adult
8111,NCT02759172,Older Adult
3689,NCT03812263,Older Adult
3688,NCT02629289,Older Adult
3687,NCT00347412,Older Adult
8113,NCT00679666,Older Adult
3686,NCT03650556,Older Adult
3685,NCT03571893,Older Adult
8114,NCT01683227,Older Adult
