NCTId,ArmGroupInterventionName
NCT03780985,Procedure
NCT00951171,Procedure
NCT03897764,Procedure
NCT03897764,Procedure
NCT01766102,Procedure
NCT03951064,Procedure
NCT03951064,Procedure
NCT00956631,Procedure
NCT02541032,Procedure
NCT04276194,Procedure
NCT00795561,Procedure
NCT00451308,Procedure
NCT00451308,Procedure
NCT04326036,Procedure
NCT04326036,Procedure
NCT00951171,Procedure
NCT01841957,Procedure
NCT03713970,Procedure
NCT03713970,Procedure
NCT04356027,Procedure
NCT01220713,Procedure
NCT01220713,Procedure
NCT01220713,Procedure
NCT03395964,Procedure
NCT01477710,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT00674336,Procedure
NCT04214249,Procedure
NCT04214249,Procedure
NCT03881735,Procedure
NCT00722280,Procedure
NCT04137250,Procedure
NCT02452853,Procedure
NCT02040142,Procedure
NCT02393365,Procedure
NCT03839719,Procedure
NCT03839719,Procedure
NCT03839719,Procedure
NCT03839719,Procedure
NCT03839719,Procedure
NCT03785392,Procedure
NCT03785392,Procedure
NCT00788398,Procedure
NCT00788398,Procedure
NCT02985255,Procedure
NCT02163525,Procedure
NCT02163525,Procedure
NCT01515475,Procedure
NCT01515475,Procedure
NCT03614819,Procedure
NCT03310528,Procedure
NCT03310528,Procedure
NCT03310528,Procedure
NCT03310528,Procedure
NCT00247377,Procedure
NCT00391365,Procedure
NCT00391365,Procedure
NCT02225847,Procedure
NCT02225847,Procedure
NCT00967915,Procedure
NCT02975167,Procedure
NCT02975167,Procedure
NCT02198833,Procedure
NCT02198833,Procedure
NCT03863522,Procedure
NCT02975167,Procedure
NCT02975167,Procedure
NCT00659087,Procedure
NCT02465463,Procedure
NCT01633892,Procedure
NCT02267187,Procedure
NCT01345591,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT01987115,Procedure
NCT04555239,Procedure
NCT04555239,Procedure
NCT01281267,Procedure
NCT01239082,Procedure
NCT04356027,Procedure
NCT03848650,Procedure
NCT01894451,Procedure
NCT00329706,Procedure
NCT00329706,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
NCT02317250,Procedure
NCT02539433,Procedure
NCT01589692,Procedure
NCT04066894,Procedure
NCT03054597,Procedure
NCT03054597,Procedure
NCT01873573,Procedure
NCT01873573,Procedure
NCT02394457,Procedure
NCT01817660,Procedure
NCT02720653,Procedure
NCT04049305,Procedure
NCT04037852,Procedure
NCT02798458,Procedure
NCT02078934,Procedure
NCT02602691,Procedure
NCT02153814,Procedure
NCT02153814,Procedure
NCT04044261,Procedure
NCT04281290,Procedure
NCT02291133,Procedure
NCT00430313,Procedure
NCT00430313,Procedure
NCT01031342,Procedure
NCT01031342,Procedure
NCT04189523,Procedure
NCT01556581,Procedure
NCT04232670,Procedure
NCT04232670,Procedure
NCT04579601,Procedure
NCT04191473,Procedure
NCT01015820,Procedure
NCT01015820,Procedure
NCT02667353,Procedure
NCT02359097,Procedure
NCT04221594,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT00433173,Procedure
NCT02765672,Procedure
NCT02764983,Procedure
NCT02764983,Procedure
NCT02765672,Procedure
NCT02103296,Procedure
NCT02103296,Procedure
NCT01033188,Procedure
NCT04431063,Procedure
NCT03494244,Procedure
NCT03494244,Procedure
NCT03614819,Procedure
NCT04542551,Procedure
NCT01873573,Procedure
NCT01873573,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT03269721,Procedure
NCT04218370,Procedure
NCT04218370,Procedure
NCT02198833,Procedure
NCT02198833,Procedure
NCT02093091,Procedure
NCT02093091,Procedure
NCT02544334,Procedure
NCT02544334,Procedure
NCT02544334,Procedure
NCT02544334,Procedure
NCT01124903,Procedure
NCT01494519,Procedure
NCT00000411,Procedure
NCT01459107,Procedure
NCT04248751,Procedure
NCT00795561,Procedure
