,NCTId,InterventionAncestorId
8146,NCT00004084,D000074322
9427,NCT04214249,D000074322
1012,NCT02581748,D000074322
3060,NCT00106054,D000074322
6417,NCT00999804,D000074322
3452,NCT03180242,D000074322
4265,NCT02685826,D000074322
2793,NCT00134680,D000074322
8553,NCT03135249,D000074322
9024,NCT04570839,D000074322
3365,NCT00319839,D000074322
4710,NCT02829918,D000074322
3047,NCT02800486,D000074322
7960,NCT00075686,D000074322
1777,NCT02015156,D000074322
3043,NCT02240407,D000074322
8189,NCT01996865,D000074322
4960,NCT02941601,D000074322
4022,NCT00819169,D000074322
6491,NCT01697267,D000074322
6746,NCT01449825,D000074322
7799,NCT04060342,D000074322
1221,NCT03030430,D000074322
8178,NCT02049541,D000074322
6765,NCT04387227,D000074322
8437,NCT00679289,D000074322
9025,NCT04569747,D000074322
9883,NCT03843294,D000074322
4003,NCT04220203,D000074322
5467,NCT00244361,D000074322
9845,NCT03867682,D000074322
4983,NCT02720484,D000074322
8627,NCT01007552,D000074322
7952,NCT00124618,D000074322
4948,NCT03426891,D000074322
7021,NCT03483649,D000074322
8678,NCT02829931,D000074322
8677,NCT03071406,D000074322
9621,NCT04044430,D000074322
7019,NCT02041819,D000074322
4395,NCT01040832,D000074322
1449,NCT00642603,D000074322
9645,NCT04022980,D000074322
5454,NCT02076152,D000074322
6903,NCT01039363,D000074322
8618,NCT02538614,D000074322
3791,NCT00069446,D000074322
5197,NCT00991978,D000074322
1953,NCT03153202,D000074322
9293,NCT04319224,D000074322
8616,NCT03854032,D000074322
3674,NCT00613730,D000074322
5192,NCT01109524,D000074322
7922,NCT00072046,D000074322
3469,NCT00324155,D000074322
5291,NCT03050814,D000074322
7925,NCT01107626,D000074322
8176,NCT01814501,D000074322
6605,NCT00795678,D000074322
6022,NCT03366844,D000074322
1939,NCT04242173,D000074322
7926,NCT00265850,D000074322
7680,NCT03000374,D000074322
8619,NCT01703507,D000074322
6584,NCT01175291,D000074322
3776,NCT00087529,D000074322
3775,NCT03636477,D000074322
8466,NCT00574769,D000074322
8303,NCT00026221,D000074322
2311,NCT04357587,D000074322
3710,NCT00312845,D000074322
6876,NCT01698879,D000074322
4319,NCT04274907,D000074322
3738,NCT03256344,D000074322
9713,NCT03976102,D000074322
9492,NCT04143711,D000074322
7341,NCT01996826,D000074322
2888,NCT03405792,D000074322
5252,NCT04015778,D000074322
8072,NCT03015896,D000074322
6587,NCT01446224,D000074322
6068,NCT02023996,D000074322
9392,NCT04239040,D000074322
3773,NCT00454779,D000074322
8638,NCT00619671,D000074322
3839,NCT01234766,D000074322
6361,NCT00590681,D000074322
3886,NCT04130516,D000074322
5371,NCT03529422,D000074322
1906,NCT01813227,D000074322
8950,NCT03900949,D000074322
6542,NCT00756444,D000074322
7497,NCT04471974,D000074322
9802,NCT03901378,D000074322
2574,NCT00758693,D000074322
6827,NCT01903330,D000074322
1893,NCT03126331,D000074322
6822,NCT03459846,D000074322
3497,NCT01502592,D000074322
9182,NCT04421560,D000074322
9361,NCT04262869,D000074322
5101,NCT00574587,D000074322
8170,NCT00417976,D000074322
8177,NCT02077959,D000074322
3929,NCT00418938,D000074322
9789,NCT03912064,D000074322
2605,NCT00356122,D000074322
9243,NCT04359199,D000074322
3884,NCT00491738,D000074322
5326,NCT03048500,D000074322
8725,NCT00025389,D000074322
5329,NCT02638090,D000074322
3846,NCT00078598,D000074322
2370,NCT00271011,D000074322
5332,NCT01894451,D000074322
7686,NCT01067287,D000074322
9769,NCT03927105,D000074322
2943,NCT01979211,D000074322
5346,NCT00396812,D000074322
7928,NCT02331368,D000074322
5148,NCT00183989,D000074322
9778,NCT03919175,D000074322
7929,NCT00075946,D000074322
6004,NCT03763643,D000074322
5991,NCT04024878,D000074322
9668,NCT04007588,D000074322
2172,NCT04337138,D000074322
9804,NCT03899805,D000074322
9499,NCT04134559,D000074322
8698,NCT03384836,D000074322
3163,NCT03452579,D000074322
5677,NCT00681993,D000074322
9595,NCT04058145,D000074322
4853,NCT04525326,D000074322
8532,NCT01439750,D000074322
5683,NCT00923936,D000074322
1063,NCT01603264,D000074322
9947,NCT03798314,D000074322
4205,NCT04006119,D000074322
9111,NCT04495257,D000074322
9049,NCT04551430,D000074322
7982,NCT00096031,D000074322
4477,NCT00716456,D000074322
7978,NCT00268489,D000074322
5694,NCT03789097,D000074322
3189,NCT01884740,D000074322
4836,NCT04169867,D000074322
8843,NCT00400803,D000074322
7356,NCT01670877,D000074322
9217,NCT04383938,D000074322
4793,NCT00561054,D000074322
7142,NCT01046825,D000074322
4097,NCT01889797,D000074322
8174,NCT02992522,D000074322
4100,NCT02616640,D000074322
6703,NCT02286843,D000074322
9596,NCT04057365,D000074322
7771,NCT02336048,D000074322
9507,NCT04126070,D000074322
9943,NCT03801369,D000074322
4092,NCT02807454,D000074322
9590,NCT04064190,D000074322
6667,NCT02792699,D000074322
7749,NCT00537173,D000074322
9940,NCT03803553,D000074322
9099,NCT04502706,D000074322
7312,NCT04590963,D000074322
1522,NCT00159432,D000074322
5662,NCT02287428,D000074322
9555,NCT04090528,D000074322
8152,NCT01812005,D000074322
5673,NCT04296942,D000074322
1067,NCT02031991,D000074322
6416,NCT03311126,D000074322
2215,NCT01639573,D000074322
4169,NCT03180723,D000074322
7591,NCT03844061,D000074322
8251,NCT01649947,D000074322
9901,NCT03829566,D000074322
9331,NCT04291755,D000074322
1609,NCT03293654,D000074322
8704,NCT02963090,D000074322
7984,NCT02940301,D000074322
1695,NCT00833963,D000074322
9213,NCT04387084,D000074322
4827,NCT03040791,D000074322
9044,NCT04555811,D000074322
5850,NCT03164616,D000074322
5709,NCT00326495,D000074322
9520,NCT04118036,D000074322
9444,NCT04201145,D000074322
3267,NCT00911820,D000074322
8688,NCT04159896,D000074322
7973,NCT00085501,D000074322
9553,NCT04090775,D000074322
8750,NCT01090011,D000074322
7596,NCT01661283,D000074322
6239,NCT02305186,D000074322
4817,NCT03086395,D000074322
3273,NCT03233724,D000074322
6292,NCT03796884,D000074268
6472,NCT00000152,D000072664
7797,NCT00198822,D000072664
1942,NCT03764683,D000068796
2052,NCT03999099,D000068796
1849,NCT00573599,D000068776
7057,NCT01243060,D000068776
1864,NCT00137202,D000068776
3690,NCT04468776,D000068776
1605,NCT02142712,D000068776
3043,NCT02240407,D000068776
5227,NCT01968694,D000068776
