,NCTId,BaselineMeasureDispersionType
7823,NCT01085136,Standard Deviation
2656,NCT02101515,Standard Deviation
2641,NCT03323723,Standard Deviation
7820,NCT01352637,Standard Deviation
2643,NCT01135992,Standard Deviation
2643,NCT01135992,Standard Deviation
2643,NCT01135992,Standard Deviation
2643,NCT01135992,Standard Deviation
7820,NCT01352637,Standard Deviation
7819,NCT00742859,Standard Deviation
7815,NCT02849080,Standard Deviation
7813,NCT02216123,Standard Deviation
7812,NCT01102972,Standard Deviation
7910,NCT01856673,Standard Deviation
7916,NCT01006018,Standard Deviation
8103,NCT01537068,Standard Deviation
7918,NCT01256294,Standard Deviation
8063,NCT00604214,Standard Deviation
8063,NCT00604214,Standard Deviation
8063,NCT00604214,Standard Deviation
2309,NCT01753115,Standard Deviation
8063,NCT00604214,Standard Deviation
8063,NCT00604214,Standard Deviation
2312,NCT02069379,Standard Deviation
2312,NCT02069379,Standard Deviation
2312,NCT02069379,Standard Deviation
8063,NCT00604214,Standard Deviation
8063,NCT00604214,Standard Deviation
2315,NCT02781844,Standard Deviation
2318,NCT03112993,Standard Deviation
2318,NCT03112993,Standard Deviation
2318,NCT03112993,Standard Deviation
2319,NCT03481270,Standard Deviation
2319,NCT03481270,Standard Deviation
2328,NCT03243084,Standard Deviation
2328,NCT03243084,Standard Deviation
2328,NCT03243084,Standard Deviation
8051,NCT02251743,Standard Deviation
8051,NCT02251743,Standard Deviation
8051,NCT02251743,Standard Deviation
2333,NCT00709696,Standard Deviation
8051,NCT02251743,Standard Deviation
8064,NCT01155830,Standard Deviation
2302,NCT02879812,Standard Deviation
2301,NCT01631747,Standard Deviation
8077,NCT00124943,Standard Deviation
2251,NCT00587990,Standard Deviation
2252,NCT02063178,Standard Deviation
2252,NCT02063178,Standard Deviation
2262,NCT01654315,Standard Deviation
2265,NCT02692417,Standard Deviation
2265,NCT02692417,Standard Deviation
2265,NCT02692417,Standard Deviation
2265,NCT02692417,Standard Deviation
2265,NCT02692417,Standard Deviation
2272,NCT01894581,Standard Deviation
2272,NCT01894581,Standard Deviation
8077,NCT00124943,Standard Deviation
2301,NCT01631747,Standard Deviation
8077,NCT00124943,Standard Deviation
8077,NCT00124943,Standard Deviation
8077,NCT00124943,Standard Deviation
8077,NCT00124943,Standard Deviation
8076,NCT02967016,Standard Deviation
8076,NCT02967016,Standard Deviation
2291,NCT00779142,Standard Deviation
8073,NCT02184494,Standard Deviation
2296,NCT02747433,Standard Deviation
2296,NCT02747433,Standard Deviation
2301,NCT01631747,Standard Deviation
2336,NCT03984838,Standard Deviation
8049,NCT01408147,Standard Deviation
8046,NCT01898299,Standard Deviation
7932,NCT01316055,Standard Deviation
7961,NCT00689728,Standard Deviation
7951,NCT00531817,Standard Deviation
7949,NCT00489411,Standard Deviation
7946,NCT01376349,Standard Deviation
2469,NCT02298192,Standard Deviation
2469,NCT02298192,Standard Deviation
2471,NCT00590161,Standard Deviation
7938,NCT00869206,Standard Deviation
7937,NCT00041119,Standard Deviation
2482,NCT02703909,Standard Deviation
2486,NCT00203996,Standard Deviation
7931,NCT00053898,Standard Deviation
2444,NCT02411396,Standard Deviation
2489,NCT01514279,Standard Deviation
2489,NCT01514279,Standard Deviation
7924,NCT02615470,Standard Deviation
7924,NCT02615470,Standard Deviation
7924,NCT02615470,Standard Deviation
2500,NCT01453894,Standard Deviation
7924,NCT02615470,Standard Deviation
7924,NCT02615470,Standard Deviation
2508,NCT02129608,Standard Deviation
2508,NCT02129608,Standard Deviation
2508,NCT02129608,Standard Deviation
2452,NCT02861131,Standard Deviation
7974,NCT01641809,Standard Deviation
8046,NCT01898299,Standard Deviation
8001,NCT02949128,Standard Deviation
8042,NCT01109576,Standard Deviation
8042,NCT01109576,Standard Deviation
2357,NCT03678870,Standard Deviation
8023,NCT00742781,Standard Deviation
8022,NCT02160847,Standard Deviation
2388,NCT00528931,Standard Deviation
2389,NCT01396044,Standard Deviation
2390,NCT00680706,Standard Deviation
2394,NCT02828111,Standard Deviation
2394,NCT02828111,Standard Deviation
8004,NCT01437852,Standard Deviation
2404,NCT00675506,Standard Deviation
2430,NCT01559649,Standard Deviation
7999,NCT01177137,Standard Deviation
7999,NCT01177137,Standard Deviation
7999,NCT01177137,Standard Deviation
7999,NCT01177137,Standard Deviation
7999,NCT01177137,Standard Deviation
2410,NCT00267631,Standard Deviation
7997,NCT02132650,Standard Deviation
7997,NCT02132650,Standard Deviation
7990,NCT00122447,Standard Deviation
7986,NCT00748098,Standard Deviation
2430,NCT01559649,Standard Deviation
7167,NCT02153346,Standard Deviation
3628,NCT00733096,Standard Deviation
8509,NCT01239368,Standard Deviation
6262,NCT01769612,Standard Deviation
6288,NCT00518713,Standard Deviation
6285,NCT00162981,Standard Deviation
4852,NCT03277846,Standard Deviation
6283,NCT00287469,Standard Deviation
6282,NCT00298610,Standard Deviation
6279,NCT00358332,Standard Deviation
6278,NCT00370682,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
4860,NCT00317473,Standard Deviation
6277,NCT00384670,Standard Deviation
4862,NCT01578499,Standard Deviation
6276,NCT00460525,Standard Deviation
6275,NCT00468858,Standard Deviation
6273,NCT00606580,Standard Deviation
6273,NCT00606580,Standard Deviation
6273,NCT00606580,Standard Deviation
6273,NCT00606580,Standard Deviation
6268,NCT01032382,Standard Deviation
6266,NCT01083576,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4834,NCT01881828,Standard Deviation
4821,NCT00223990,Standard Deviation
4826,NCT01963169,Standard Deviation
6306,NCT01948947,Standard Deviation
4829,NCT02698371,Standard Deviation
4829,NCT02698371,Standard Deviation
6304,NCT02388880,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
4834,NCT01881828,Standard Deviation
6265,NCT01290601,Standard Deviation
6262,NCT01769612,Standard Deviation
3629,NCT00396318,Standard Deviation
6261,NCT01790659,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6222,NCT02675426,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
4964,NCT00672204,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6221,NCT02629159,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
6230,NCT00321932,Standard Deviation
6261,NCT01790659,Standard Deviation
6261,NCT01790659,Standard Deviation
6261,NCT01790659,Standard Deviation
6260,NCT01843621,Standard Deviation
4890,NCT01390649,Standard Deviation
4892,NCT01625910,Standard Deviation
4893,NCT02609308,Standard Deviation
4893,NCT02609308,Standard Deviation
4893,NCT02609308,Standard Deviation
4905,NCT01803464,Standard Deviation
4907,NCT01721473,Standard Deviation
6228,NCT02706847,Standard Deviation
6223,NCT02706951,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6228,NCT02706847,Standard Deviation
6223,NCT02706951,Standard Deviation
6223,NCT02706951,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4591,NCT01001325,Standard Deviation
4601,NCT01344616,Standard Deviation
4604,NCT00908830,Standard Deviation
6473,NCT00847912,Standard Deviation
6459,NCT02273206,Standard Deviation
4631,NCT01700517,Standard Deviation
6447,NCT01786603,Standard Deviation
4638,NCT02410278,Standard Deviation
4642,NCT01084239,Standard Deviation
4644,NCT02601625,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
4653,NCT01786109,Standard Deviation
4653,NCT01786109,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
6439,NCT02601820,Standard Deviation
4659,NCT02267317,Standard Deviation
4659,NCT02267317,Standard Deviation
6489,NCT02294318,Standard Deviation
6490,NCT02508480,Standard Deviation
6495,NCT02113410,Standard Deviation
4533,NCT02972515,Standard Deviation
6558,NCT00424294,Standard Deviation
4514,NCT00396162,Standard Deviation
4514,NCT00396162,Standard Deviation
6543,NCT01987908,Standard Deviation
6542,NCT00756444,Standard Deviation
6541,NCT01420016,Standard Deviation
6541,NCT01420016,Standard Deviation
6541,NCT01420016,Standard Deviation
6541,NCT01420016,Standard Deviation
6541,NCT01420016,Standard Deviation
4533,NCT02972515,Standard Deviation
4533,NCT02972515,Standard Deviation
6517,NCT02207803,Standard Deviation
4533,NCT02972515,Standard Deviation
4533,NCT02972515,Standard Deviation
4533,NCT02972515,Standard Deviation
6536,NCT01746979,Standard Deviation
4542,NCT00333229,Standard Deviation
4543,NCT01864564,Standard Deviation
4543,NCT01864564,Standard Deviation
4543,NCT01864564,Standard Deviation
6527,NCT02845700,Standard Deviation
4552,NCT00364182,Standard Deviation
4554,NCT01684722,Standard Deviation
4659,NCT02267317,Standard Deviation
4659,NCT02267317,Standard Deviation
6439,NCT02601820,Standard Deviation
6323,NCT00005879,Standard Deviation
6350,NCT02919267,Standard Deviation
6350,NCT02919267,Standard Deviation
6350,NCT02919267,Standard Deviation
6350,NCT02919267,Standard Deviation
4782,NCT03333876,Standard Deviation
4782,NCT03333876,Standard Deviation
4782,NCT03333876,Standard Deviation
4786,NCT02023151,Standard Deviation
6323,NCT00005879,Standard Deviation
6323,NCT00005879,Standard Deviation
6323,NCT00005879,Standard Deviation
6323,NCT00005879,Standard Deviation
6350,NCT02919267,Standard Deviation
4807,NCT02359045,Standard Deviation
6323,NCT00005879,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
4821,NCT00223990,Standard Deviation
6350,NCT02919267,Standard Deviation
6352,NCT02626611,Standard Deviation
6439,NCT02601820,Standard Deviation
6404,NCT01491919,Standard Deviation
6439,NCT02601820,Standard Deviation
6438,NCT02784106,Standard Deviation
4672,NCT00486811,Standard Deviation
4673,NCT01107379,Standard Deviation
6418,NCT00756652,Standard Deviation
6415,NCT01625221,Standard Deviation
6415,NCT01625221,Standard Deviation
6405,NCT01083654,Standard Deviation
6404,NCT01491919,Standard Deviation
6404,NCT01491919,Standard Deviation
4704,NCT02244957,Standard Deviation
6404,NCT01491919,Standard Deviation
6353,NCT00482612,Standard Deviation
4722,NCT02094898,Standard Deviation
6383,NCT02145299,Standard Deviation
6380,NCT01266122,Standard Deviation
6372,NCT00996281,Standard Deviation
6372,NCT00996281,Standard Deviation
6372,NCT00996281,Standard Deviation
6372,NCT00996281,Standard Deviation
6371,NCT02703948,Standard Deviation
6364,NCT00518323,Standard Deviation
4752,NCT01191411,Standard Deviation
4756,NCT00672594,Standard Deviation
4971,NCT02694978,Standard Deviation
4973,NCT02800642,Standard Deviation
6207,NCT00046475,Standard Deviation
5933,NCT00628498,Standard Deviation
5865,NCT03157531,Standard Deviation
5423,NCT02182115,Standard Deviation
5430,NCT01442493,Standard Deviation
5846,NCT00291161,Standard Deviation
5435,NCT00753012,Standard Deviation
5841,NCT02796651,Standard Deviation
5442,NCT02488915,Standard Deviation
5442,NCT02488915,Standard Deviation
5442,NCT02488915,Standard Deviation
5443,NCT00391365,Standard Deviation
5447,NCT02194088,Standard Deviation
5460,NCT00992264,Standard Deviation
5466,NCT00710606,Standard Deviation
5468,NCT01477762,Standard Deviation
5470,NCT01063153,Standard Deviation
5818,NCT01272284,Standard Deviation
5482,NCT00841269,Standard Deviation
5488,NCT00595504,Standard Deviation
5489,NCT01333865,Standard Deviation
5808,NCT02249182,Standard Deviation
5493,NCT00466206,Standard Deviation
5499,NCT01677195,Standard Deviation
5501,NCT00498355,Standard Deviation
5794,NCT01378065,Standard Deviation
5794,NCT01378065,Standard Deviation
5865,NCT03157531,Standard Deviation
5865,NCT03157531,Standard Deviation
5865,NCT03157531,Standard Deviation
5364,NCT01702311,Standard Deviation
5328,NCT01038323,Standard Deviation
5330,NCT00526994,Standard Deviation
5919,NCT01086475,Standard Deviation
5917,NCT01205646,Standard Deviation
5915,NCT01292876,Standard Deviation
5913,NCT01458561,Standard Deviation
5346,NCT00396812,Standard Deviation
5346,NCT00396812,Standard Deviation
5349,NCT00351416,Standard Deviation
5907,NCT01928849,Standard Deviation
5904,NCT02307916,Standard Deviation
5896,NCT01845636,Standard Deviation
5402,NCT01973608,Standard Deviation
5896,NCT01845636,Standard Deviation
5894,NCT02253654,Standard Deviation
5891,NCT00811954,Standard Deviation
5891,NCT00811954,Standard Deviation
5891,NCT00811954,Standard Deviation
5889,NCT01477710,Standard Deviation
5382,NCT00741091,Standard Deviation
5881,NCT02844543,Standard Deviation
5388,NCT01617083,Standard Deviation
5873,NCT01435512,Standard Deviation
5870,NCT01105091,Standard Deviation
5794,NCT01378065,Standard Deviation
5794,NCT01378065,Standard Deviation
5518,NCT01110005,Standard Deviation
5702,NCT03052530,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5711,NCT02958267,Standard Deviation
5709,NCT00326495,Standard Deviation
5702,NCT03052530,Standard Deviation
5630,NCT01410084,Standard Deviation
5604,NCT00401414,Standard Deviation
5701,NCT01837524,Standard Deviation
5701,NCT01837524,Standard Deviation
5696,NCT02994108,Standard Deviation
5688,NCT00302042,Standard Deviation
5687,NCT00722800,Standard Deviation
5680,NCT03350217,Standard Deviation
5679,NCT00722761,Standard Deviation
5679,NCT00722761,Standard Deviation
5659,NCT01836445,Standard Deviation
5659,NCT01836445,Standard Deviation
5664,NCT01744782,Standard Deviation
5711,NCT02958267,Standard Deviation
5602,NCT01134510,Standard Deviation
5779,NCT00721149,Standard Deviation
5560,NCT01157117,Standard Deviation
5777,NCT00273910,Standard Deviation
5531,NCT02362425,Standard Deviation
5531,NCT02362425,Standard Deviation
5538,NCT01160458,Standard Deviation
5764,NCT00923247,Standard Deviation
5755,NCT01191788,Standard Deviation
5558,NCT03020719,Standard Deviation
5558,NCT03020719,Standard Deviation
5560,NCT01157117,Standard Deviation
5560,NCT01157117,Standard Deviation
5560,NCT01157117,Standard Deviation
5560,NCT01157117,Standard Deviation
5594,NCT02600819,Standard Deviation
5560,NCT01157117,Standard Deviation
5562,NCT01611194,Standard Deviation
5562,NCT01611194,Standard Deviation
5562,NCT01611194,Standard Deviation
5562,NCT01611194,Standard Deviation
5566,NCT00473642,Standard Deviation
5568,NCT01992874,Standard Deviation
5573,NCT01034579,Standard Deviation
5741,NCT01014533,Standard Deviation
5736,NCT02147522,Standard Deviation
5730,NCT03080493,Standard Deviation
5328,NCT01038323,Standard Deviation
5317,NCT01308814,Standard Deviation
6205,NCT01656889,Standard Deviation
5315,NCT00588692,Standard Deviation
6149,NCT00749203,Standard Deviation
6149,NCT00749203,Standard Deviation
6149,NCT00749203,Standard Deviation
6149,NCT00749203,Standard Deviation
6147,NCT00763009,Standard Deviation
6140,NCT00870545,Standard Deviation
5076,NCT01001221,Standard Deviation
5076,NCT01001221,Standard Deviation
5076,NCT01001221,Standard Deviation
6136,NCT00972439,Standard Deviation
6134,NCT00986986,Standard Deviation
6126,NCT01155024,Standard Deviation
6126,NCT01155024,Standard Deviation
5090,NCT00313144,Standard Deviation
6126,NCT01155024,Standard Deviation
6119,NCT01305811,Standard Deviation
6114,NCT01345591,Standard Deviation
6114,NCT01345591,Standard Deviation
6109,NCT01390064,Standard Deviation
6109,NCT01390064,Standard Deviation
6109,NCT01390064,Standard Deviation
6109,NCT01390064,Standard Deviation
6102,NCT01466127,Standard Deviation
6096,NCT01564407,Standard Deviation
5128,NCT01395784,Standard Deviation
5059,NCT00356200,Standard Deviation
6151,NCT00742001,Standard Deviation
6151,NCT00742001,Standard Deviation
6189,NCT02063230,Standard Deviation
4991,NCT01174173,Standard Deviation
4991,NCT01174173,Standard Deviation
4991,NCT01174173,Standard Deviation
4991,NCT01174173,Standard Deviation
4998,NCT01874951,Standard Deviation
4998,NCT01874951,Standard Deviation
4998,NCT01874951,Standard Deviation
4998,NCT01874951,Standard Deviation
4998,NCT01874951,Standard Deviation
4998,NCT01874951,Standard Deviation
6195,NCT01249625,Standard Deviation
6187,NCT00494975,Standard Deviation
6151,NCT00742001,Standard Deviation
6183,NCT00122369,Standard Deviation
5019,NCT00324675,Standard Deviation
6179,NCT00256724,Standard Deviation
5026,NCT02233517,Standard Deviation
6158,NCT00636441,Standard Deviation
5043,NCT00901459,Standard Deviation
5047,NCT01500083,Standard Deviation
6151,NCT00742001,Standard Deviation
6151,NCT00742001,Standard Deviation
6151,NCT00742001,Standard Deviation
6151,NCT00742001,Standard Deviation
5129,NCT01341587,Standard Deviation
6092,NCT01633892,Standard Deviation
6092,NCT01633892,Standard Deviation
5282,NCT01444378,Standard Deviation
5218,NCT02138838,Standard Deviation
5221,NCT02257372,Standard Deviation
5231,NCT03018106,Standard Deviation
5235,NCT00645047,Standard Deviation
5257,NCT01972464,Standard Deviation
5257,NCT01972464,Standard Deviation
5257,NCT01972464,Standard Deviation
5257,NCT01972464,Standard Deviation
5272,NCT02343263,Standard Deviation
5968,NCT02367521,Standard Deviation
5968,NCT02367521,Standard Deviation
5965,NCT01078909,Standard Deviation
5207,NCT01253408,Standard Deviation
5292,NCT01655043,Standard Deviation
5957,NCT02267187,Standard Deviation
5956,NCT02253147,Standard Deviation
5954,NCT00506389,Standard Deviation
5953,NCT01537081,Standard Deviation
5952,NCT00480779,Standard Deviation
5300,NCT01724489,Standard Deviation
5943,NCT01673828,Standard Deviation
5941,NCT00633087,Standard Deviation
5938,NCT02319967,Standard Deviation
5315,NCT00588692,Standard Deviation
5218,NCT02138838,Standard Deviation
5207,NCT01253408,Standard Deviation
6088,NCT01673594,Standard Deviation
5175,NCT02945046,Standard Deviation
6082,NCT01760785,Standard Deviation
6077,NCT01828983,Standard Deviation
5150,NCT02172040,Standard Deviation
5150,NCT02172040,Standard Deviation
6075,NCT01847469,Standard Deviation
6072,NCT01943825,Standard Deviation
6069,NCT02019927,Standard Deviation
6061,NCT02240329,Standard Deviation
6058,NCT02318979,Standard Deviation
6058,NCT02318979,Standard Deviation
6058,NCT02318979,Standard Deviation
5175,NCT02945046,Standard Deviation
5195,NCT01387178,Standard Deviation
5176,NCT02964338,Standard Deviation
5176,NCT02964338,Standard Deviation
6054,NCT02378025,Standard Deviation
6049,NCT02605876,Standard Deviation
5186,NCT01657760,Standard Deviation
5189,NCT02979197,Standard Deviation
5189,NCT02979197,Standard Deviation
5192,NCT01109524,Standard Deviation
5194,NCT01347112,Standard Deviation
5194,NCT01347112,Standard Deviation
5195,NCT01387178,Standard Deviation
4508,NCT01169259,Standard Deviation
4505,NCT00202878,Standard Deviation
6569,NCT00525837,Standard Deviation
7026,NCT03237013,Standard Deviation
7015,NCT00942890,Standard Deviation
7011,NCT01464307,Standard Deviation
7010,NCT01894230,Standard Deviation
3868,NCT01904604,Standard Deviation
3868,NCT01904604,Standard Deviation
3868,NCT01904604,Standard Deviation
3868,NCT01904604,Standard Deviation
3868,NCT01904604,Standard Deviation
3868,NCT01904604,Standard Deviation
3870,NCT01486264,Standard Deviation
3877,NCT02173379,Standard Deviation
6999,NCT02155829,Standard Deviation
6999,NCT02155829,Standard Deviation
3884,NCT00491738,Standard Deviation
3896,NCT00523978,Standard Deviation
6984,NCT00233090,Standard Deviation
6983,NCT00233103,Standard Deviation
3902,NCT02213198,Standard Deviation
3909,NCT00384397,Standard Deviation
6972,NCT00735670,Standard Deviation
6972,NCT00735670,Standard Deviation
3915,NCT00972283,Standard Deviation
3915,NCT00972283,Standard Deviation
6967,NCT01115998,Standard Deviation
3922,NCT00926796,Standard Deviation
3858,NCT02595073,Standard Deviation
3858,NCT02595073,Standard Deviation
3858,NCT02595073,Standard Deviation
3837,NCT01814722,Standard Deviation
3831,NCT00325754,Standard Deviation
3831,NCT00325754,Standard Deviation
3831,NCT00325754,Standard Deviation
3831,NCT00325754,Standard Deviation
3831,NCT00325754,Standard Deviation
3831,NCT00325754,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
3858,NCT02595073,Standard Deviation
7026,NCT03237013,Standard Deviation
3840,NCT02750930,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
3843,NCT03500159,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
7025,NCT02558829,Standard Deviation
7025,NCT02558829,Standard Deviation
3851,NCT00094094,Standard Deviation
6962,NCT01429077,Standard Deviation
3926,NCT00453362,Standard Deviation
3927,NCT03354663,Standard Deviation
4012,NCT01390909,Standard Deviation
3985,NCT02933502,Standard Deviation
6911,NCT00909857,Standard Deviation
4000,NCT01154101,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
4012,NCT01390909,Standard Deviation
4012,NCT01390909,Standard Deviation
6905,NCT01751230,Standard Deviation
3984,NCT01028937,Standard Deviation
4014,NCT01590888,Standard Deviation
4014,NCT01590888,Standard Deviation
4014,NCT01590888,Standard Deviation
4014,NCT01590888,Standard Deviation
4014,NCT01590888,Standard Deviation
4014,NCT01590888,Standard Deviation
6905,NCT01751230,Standard Deviation
6905,NCT01751230,Standard Deviation
4024,NCT00356915,Standard Deviation
6895,NCT01257581,Standard Deviation
6895,NCT01257581,Standard Deviation
3985,NCT02933502,Standard Deviation
3983,NCT01956669,Standard Deviation
3928,NCT00617851,Standard Deviation
6933,NCT01955382,Standard Deviation
3929,NCT00418938,Standard Deviation
3939,NCT00157755,Standard Deviation
3940,NCT02932878,Standard Deviation
3940,NCT02932878,Standard Deviation
6941,NCT01707030,Standard Deviation
3955,NCT02720510,Standard Deviation
3956,NCT00982644,Standard Deviation
3956,NCT00982644,Standard Deviation
3956,NCT00982644,Standard Deviation
6933,NCT01955382,Standard Deviation
6933,NCT01955382,Standard Deviation
6933,NCT01955382,Standard Deviation
6926,NCT01510327,Standard Deviation
6933,NCT01955382,Standard Deviation
6926,NCT01510327,Standard Deviation
6926,NCT01510327,Standard Deviation
6926,NCT01510327,Standard Deviation
6926,NCT01510327,Standard Deviation
6926,NCT01510327,Standard Deviation
6926,NCT01510327,Standard Deviation
3979,NCT00905125,Standard Deviation
3980,NCT00644332,Standard Deviation
3980,NCT00644332,Standard Deviation
3980,NCT00644332,Standard Deviation
7026,NCT03237013,Standard Deviation
7026,NCT03237013,Standard Deviation
6895,NCT01257581,Standard Deviation
7027,NCT01500434,Standard Deviation
3679,NCT00084136,Standard Deviation
3679,NCT00084136,Standard Deviation
3681,NCT01411891,Standard Deviation
3684,NCT00684021,Standard Deviation
3700,NCT00729937,Standard Deviation
3702,NCT01980485,Standard Deviation
3703,NCT00395876,Standard Deviation
7109,NCT00349622,Standard Deviation
7109,NCT00349622,Standard Deviation
7109,NCT00349622,Standard Deviation
7107,NCT00134784,Standard Deviation
3710,NCT00312845,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3712,NCT01272232,Standard Deviation
3714,NCT00294723,Standard Deviation
3714,NCT00294723,Standard Deviation
3714,NCT00294723,Standard Deviation
3714,NCT00294723,Standard Deviation
3719,NCT00528840,Standard Deviation
3727,NCT00528606,Standard Deviation
7131,NCT02330081,Standard Deviation
7131,NCT02330081,Standard Deviation
7131,NCT02330081,Standard Deviation
3644,NCT00518882,Standard Deviation
3631,NCT02587520,Standard Deviation
3632,NCT00978627,Standard Deviation
3632,NCT00978627,Standard Deviation
3632,NCT00978627,Standard Deviation
7160,NCT02638051,Standard Deviation
7160,NCT02638051,Standard Deviation
7160,NCT02638051,Standard Deviation
3637,NCT00336232,Standard Deviation
3638,NCT00608426,Standard Deviation
3643,NCT00936897,Standard Deviation
3644,NCT00518882,Standard Deviation
3644,NCT00518882,Standard Deviation
3669,NCT01951417,Standard Deviation
3644,NCT00518882,Standard Deviation
3644,NCT00518882,Standard Deviation
3644,NCT00518882,Standard Deviation
3656,NCT01668667,Standard Deviation
3656,NCT01668667,Standard Deviation
3662,NCT00787566,Standard Deviation
3664,NCT01261325,Standard Deviation
3664,NCT01261325,Standard Deviation
3664,NCT01261325,Standard Deviation
3664,NCT01261325,Standard Deviation
3669,NCT01951417,Standard Deviation
3729,NCT02191137,Standard Deviation
3729,NCT02191137,Standard Deviation
3729,NCT02191137,Standard Deviation
7032,NCT01747811,Standard Deviation
7040,NCT01884545,Standard Deviation
7040,NCT01884545,Standard Deviation
3806,NCT00578812,Standard Deviation
3807,NCT00551200,Standard Deviation
7035,NCT00409786,Standard Deviation
3810,NCT00094107,Standard Deviation
3812,NCT01264887,Standard Deviation
3812,NCT01264887,Standard Deviation
3812,NCT01264887,Standard Deviation
3812,NCT01264887,Standard Deviation
3813,NCT00125138,Standard Deviation
3816,NCT00106431,Standard Deviation
7040,NCT01884545,Standard Deviation
3819,NCT00725101,Standard Deviation
3819,NCT00725101,Standard Deviation
3819,NCT00725101,Standard Deviation
3819,NCT00725101,Standard Deviation
3819,NCT00725101,Standard Deviation
3819,NCT00725101,Standard Deviation
3821,NCT00796419,Standard Deviation
3823,NCT01894087,Standard Deviation
7027,NCT01500434,Standard Deviation
7027,NCT01500434,Standard Deviation
