,NCTId,BaselineMeasureDispersionType
7167,NCT02153346,Standard Deviation
7474,NCT01175707,Standard Deviation
3152,NCT03249584,Standard Deviation
7437,NCT00823212,Standard Deviation
7434,NCT01628718,Standard Deviation
7434,NCT01628718,Standard Deviation
7434,NCT01628718,Standard Deviation
7432,NCT01750684,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
3169,NCT00711490,Standard Deviation
7431,NCT02706873,Standard Deviation
3171,NCT00654615,Standard Deviation
7431,NCT02706873,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
3152,NCT03249584,Standard Deviation
7437,NCT00823212,Standard Deviation
3149,NCT00399880,Standard Deviation
3132,NCT02148445,Standard Deviation
3093,NCT01295879,Standard Deviation
3097,NCT00247377,Standard Deviation
7463,NCT02320903,Standard Deviation
7458,NCT01672710,Standard Deviation
3115,NCT02630563,Standard Deviation
3118,NCT01785615,Standard Deviation
3119,NCT02299427,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3149,NCT00399880,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3135,NCT02461758,Standard Deviation
3136,NCT02922985,Standard Deviation
3139,NCT02722278,Standard Deviation
3141,NCT00585013,Standard Deviation
7440,NCT02215200,Standard Deviation
3145,NCT00308620,Standard Deviation
7437,NCT00823212,Standard Deviation
7437,NCT00823212,Standard Deviation
3149,NCT00399880,Standard Deviation
