,NCTId,ConditionBrowseBranchAbbrev
2875,NCT01625546,BC23
2213,NCT00344903,BC23
8744,NCT01566890,BC23
1161,NCT03202680,BC23
1655,NCT01205776,BC23
1178,NCT01772823,BC23
2249,NCT03906942,BC23
2219,NCT03699930,BC23
2785,NCT02746874,BC23
2039,NCT00415558,BC23
2765,NCT04135443,BC23
9964,NCT03787758,BC23
2057,NCT00797953,BC23
1620,NCT01725087,BC23
77,NCT02163525,BC23
9464,NCT04176172,BC23
9998,NCT03767595,BC23
9025,NCT04569747,BC23
2863,NCT00440232,BC23
1176,NCT02941042,BC23
2018,NCT01011634,BC23
1634,NCT02443090,BC23
1648,NCT04604145,BC23
2220,NCT01461889,BC23
9027,NCT04568395,BC23
9237,NCT04368364,BC23
9226,NCT04378270,BC23
6968,NCT01056146,BC21
7063,NCT00810225,BC21
7260,NCT01779427,BC21
3763,NCT01685034,BC21
7964,NCT00040937,BC20
2464,NCT00071448,BC20
6478,NCT04445116,BC20
5809,NCT02553291,BC20
2468,NCT04496804,BC20
5803,NCT00341952,BC20
6326,NCT02338024,BC20
3450,NCT00675584,BC20
3640,NCT03304912,BC20
6467,NCT01118026,BC20
5694,NCT03789097,BC20
3476,NCT01831765,BC20
9652,NCT04018599,BC20
3474,NCT00050856,BC20
3666,NCT00078208,BC20
9659,NCT04016233,BC20
1492,NCT03155841,BC20
5361,NCT02368301,BC20
9658,NCT04017130,BC20
2101,NCT03877497,BC20
8906,NCT02564341,BC20
9170,NCT04436029,BC20
6328,NCT00779220,BC20
1262,NCT00002102,BC20
3659,NCT01660607,BC20
3679,NCT00084136,BC20
2455,NCT04233164,BC20
3635,NCT02271139,BC20
9650,NCT04020822,BC20
9651,NCT04019197,BC20
4313,NCT04609514,BC20
5362,NCT03451630,BC20
5810,NCT00792519,BC20
9678,NCT04000880,BC20
4854,NCT00129701,BC20
3632,NCT00978627,BC20
9675,NCT04002102,BC20
5683,NCT00923936,BC20
8903,NCT00122486,BC20
7431,NCT02706873,BC20
2560,NCT00001037,BC20
9064,NCT04539002,BC20
4332,NCT01587703,BC20
2472,NCT03313271,BC20
1774,NCT01329939,BC20
4847,NCT01859039,BC20
4452,NCT00761020,BC20
4328,NCT03172741,BC20
8904,NCT00120770,BC20
2040,NCT02572505,BC20
7966,NCT00088764,BC20
6464,NCT00002309,BC20
2561,NCT00891033,BC20
9654,NCT04017936,BC20
4457,NCT00376090,BC20
7385,NCT00048932,BC20
2110,NCT01350336,BC20
5645,NCT02655458,BC20
3653,NCT01917994,BC20
7440,NCT02215200,BC20
2106,NCT02167386,BC20
7963,NCT00874211,BC20
8021,NCT04387734,BC20
7554,NCT03937856,BC20
4318,NCT00914784,BC20
2567,NCT00004992,BC20
4923,NCT04273152,BC20
2477,NCT03702270,BC20
4315,NCT01170676,BC20
3657,NCT00718588,BC20
2572,NCT00135720,BC20
2108,NCT01403428,BC20
4929,NCT00422799,BC20
5689,NCT01343654,BC20
5644,NCT01500525,BC20
5646,NCT01145209,BC20
7386,NCT02553148,BC20
7771,NCT02336048,BC20
9299,NCT04316715,BC20
9674,NCT04002362,BC20
8441,NCT00621530,BC20
2463,NCT03742258,BC20
5419,NCT01647399,BC20
7961,NCT00689728,BC20
1349,NCT01992172,BC20
7938,NCT00869206,BC20
4845,NCT02369887,BC20
8400,NCT02309580,BC20
3480,NCT00506597,BC20
9758,NCT03936465,BC20
7094,NCT04023084,BC20
3510,NCT01425099,BC20
9104,NCT04499781,BC20
5391,NCT00305097,BC20
9184,NCT04417946,BC20
7993,NCT00121186,BC20
6385,NCT01100658,BC20
4882,NCT03143049,BC20
2511,NCT02185300,BC20
6386,NCT03205865,BC20
5400,NCT01235793,BC20
3517,NCT00982228,BC20
6416,NCT03311126,BC20
8388,NCT04300049,BC20
4883,NCT01499706,BC20
5729,NCT01195220,BC20
9390,NCT04240691,BC20
1324,NCT01808352,BC20
7951,NCT00531817,BC20
8408,NCT01324999,BC20
9759,NCT03933904,BC20
5727,NCT01906437,BC20
5385,NCT01607541,BC20
3502,NCT01276782,BC20
4415,NCT01563887,BC20
2539,NCT01366027,BC20
9726,NCT03962894,BC20
3575,NCT00846573,BC20
7981,NCT00124579,BC20
6380,NCT01266122,BC20
6381,NCT03214549,BC20
2078,NCT00338741,BC20
9761,NCT03933540,BC20
3571,NCT04262791,BC20
6382,NCT00048321,BC20
6425,NCT01251523,BC20
4412,NCT02546388,BC20
4376,NCT03360422,BC20
2009,NCT02233192,BC20
5665,NCT03231579,BC20
9412,NCT04226092,BC20
2014,NCT04177472,BC20
6411,NCT02438592,BC20
3542,NCT02146781,BC20
7082,NCT02904369,BC20
8884,NCT02624193,BC20
3541,NCT00252109,BC20
9099,NCT04502706,BC20
3531,NCT01072123,BC20
4890,NCT01390649,BC20
1358,NCT01857973,BC20
9182,NCT04421560,BC20
7788,NCT01957813,BC20
6407,NCT00108862,BC20
3536,NCT02561286,BC20
5739,NCT00339573,BC20
7984,NCT02940301,BC20
2524,NCT01079234,BC20
5738,NCT00876434,BC20
4888,NCT01633177,BC20
7088,NCT03279120,BC20
9181,NCT04422912,BC20
8883,NCT00331058,BC20
8392,NCT00002009,BC20
4407,NCT02170532,BC20
3555,NCT01518478,BC20
6393,NCT02294357,BC20
9183,NCT04419389,BC20
2012,NCT01903291,BC20
9754,NCT03938077,BC20
6414,NCT01418014,BC20
9078,NCT04524273,BC20
8394,NCT00002381,BC20
5395,NCT03224507,BC20
1322,NCT00121316,BC20
9394,NCT04238143,BC20
4478,NCT03433053,BC20
6396,NCT02658877,BC20
7564,NCT02753842,BC20
6398,NCT03953300,BC20
4418,NCT00554736,BC20
4879,NCT02111512,BC20
2081,NCT03963375,BC20
9775,NCT03922204,BC20
1285,NCT00139581,BC20
4862,NCT01578499,BC20
8362,NCT01783327,BC20
2491,NCT03702283,BC20
1783,NCT01018238,BC20
2093,NCT00097838,BC20
7063,NCT00810225,BC20
8900,NCT01594632,BC20
7955,NCT04390009,BC20
5378,NCT03297645,BC20
9773,NCT03922724,BC20
5412,NCT04429789,BC20
1287,NCT00220779,BC20
4353,NCT00342758,BC20
9771,NCT03926741,BC20
6352,NCT02626611,BC20
5719,NCT03541187,BC20
7454,NCT03733301,BC20
3483,NCT00359411,BC20
8877,NCT02734667,BC20
8901,NCT00570440,BC20
1281,NCT04594109,BC20
5416,NCT02919306,BC20
5714,NCT00001781,BC20
8902,NCT00122512,BC20
7116,NCT02430506,BC20
7441,NCT02832778,BC20
8355,NCT00002251,BC20
5681,NCT03409367,BC20
3481,NCT02341950,BC20
1364,NCT00413868,BC20
4344,NCT02661542,BC20
9068,NCT04534322,BC20
9778,NCT03919175,BC20
7974,NCT01641809,BC20
5781,NCT00338845,BC20
3621,NCT03814798,BC20
4348,NCT02192684,BC20
9701,NCT03983681,BC20
3487,NCT01482962,BC20
5720,NCT04428632,BC20
4501,NCT00097292,BC20
8420,NCT02944578,BC20
1327,NCT00231998,BC20
7451,NCT03334396,BC20
3585,NCT01586858,BC20
5404,NCT01921309,BC20
6369,NCT00028145,BC20
3583,NCT04428112,BC20
9769,NCT03927105,BC20
1294,NCT00220740,BC20
1295,NCT00150059,BC20
1326,NCT00232011,BC20
4473,NCT03284372,BC20
2540,NCT00056810,BC20
6374,NCT02394600,BC20
4496,NCT04518657,BC20
9287,NCT04323176,BC20
7792,NCT04023487,BC20
1292,NCT00219323,BC20
4364,NCT02948738,BC20
8876,NCT02085473,BC20
2544,NCT01513473,BC20
4868,NCT03800394,BC20
6438,NCT02784106,BC20
8367,NCT03774186,BC20
8899,NCT01721798,BC20
9176,NCT04427202,BC20
5659,NCT01836445,BC20
5767,NCT02044484,BC20
7066,NCT00633009,BC20
5766,NCT04028960,BC20
7452,NCT03334422,BC20
9712,NCT03976258,BC20
8370,NCT01226277,BC20
9770,NCT03927053,BC20
9713,NCT03976102,BC20
4362,NCT00192634,BC20
3590,NCT00773279,BC20
3607,NCT00339703,BC20
5453,NCT00662051,BC20
4842,NCT01155843,BC20
4150,NCT00000861,BC20
9464,NCT04176172,BC20
1953,NCT03153202,BC20
9330,NCT04292119,BC20
7493,NCT00213083,BC20
9508,NCT04125420,BC20
1435,NCT00164619,BC20
1179,NCT01769456,BC20
4708,NCT01810731,BC20
7898,NCT03884816,BC20
9509,NCT04125290,BC20
5510,NCT00340600,BC20
3945,NCT00121979,BC20
8199,NCT03057119,BC20
9027,NCT04568395,BC20
6083,NCT01758224,BC20
8205,NCT03181022,BC20
1403,NCT00006604,BC20
3942,NCT00593983,BC20
1181,NCT02543931,BC20
7492,NCT00310726,BC20
1083,NCT00799058,BC20
7899,NCT00272779,BC20
4711,NCT01527838,BC20
5938,NCT02319967,BC20
3955,NCT02720510,BC20
9507,NCT04126070,BC20
9461,NCT04179981,BC20
4137,NCT03378219,BC20
2298,NCT00048555,BC20
5521,NCT03175536,BC20
5519,NCT01553461,BC20
1906,NCT01813227,BC20
2220,NCT01461889,BC20
5955,NCT04255953,BC20
6069,NCT02019927,BC20
8195,NCT00004494,BC20
2304,NCT02539576,BC20
8123,NCT01980771,BC20
1096,NCT01982474,BC20
5573,NCT01034579,BC20
1178,NCT01772823,BC20
4702,NCT02045290,BC20
9506,NCT04126096,BC20
3964,NCT00866788,BC20
7897,NCT02415595,BC20
7868,NCT00337467,BC20
1093,NCT00063778,BC20
2308,NCT03205982,BC20
6076,NCT01845740,BC20
1177,NCT03180853,BC20
7511,NCT03127397,BC20
4704,NCT02244957,BC20
7516,NCT01386294,BC20
4713,NCT04542005,BC20
4133,NCT04554966,BC20
6134,NCT00986986,BC20
5594,NCT02600819,BC20
2336,NCT03984838,BC20
7230,NCT02405026,BC20
1962,NCT00454415,BC20
9116,NCT04486716,BC20
5491,NCT03501420,BC20
7522,NCT00336245,BC20
1963,NCT03352219,BC20
8234,NCT00176462,BC20
9035,NCT04563754,BC20
7852,NCT01313208,BC20
4739,NCT00013715,BC20
7856,NCT02386098,BC20
1891,NCT03480854,BC20
3887,NCT02957799,BC20
1195,NCT01308437,BC20
3886,NCT04130516,BC20
7485,NCT03397420,BC20
5487,NCT02067039,BC20
2189,NCT01547286,BC20
1890,NCT00366301,BC20
2188,NCT00615706,BC20
9324,NCT04294641,BC20
2353,NCT01238432,BC20
9525,NCT04113746,BC20
2195,NCT00346580,BC20
8208,NCT02191306,BC20
1066,NCT03975790,BC20
1080,NCT01411839,BC20
9349,NCT04273139,BC20
3933,NCT00000980,BC20
4157,NCT00005007,BC20
1900,NCT00417573,BC20
4603,NCT02208050,BC20
7858,NCT01632241,BC20
7517,NCT00880204,BC20
4160,NCT00100581,BC20
9519,NCT04118153,BC20
1186,NCT01423825,BC20
1896,NCT02651714,BC20
1062,NCT01078246,BC20
4169,NCT03180723,BC20
4171,NCT00081640,BC20
1960,NCT04545333,BC20
4726,NCT01715740,BC20
2332,NCT03263195,BC20
7902,NCT02848235,BC20
8975,NCT01721044,BC20
8223,NCT00775476,BC20
3912,NCT00398528,BC20
4597,NCT03655587,BC20
1444,NCT00809445,BC20
1908,NCT00118898,BC20
8127,NCT01276600,BC20
7378,NCT02907697,BC20
1130,NCT00002402,BC20
9486,NCT04148352,BC20
1154,NCT04018001,BC20
4092,NCT02807454,BC20
4051,NCT00257907,BC20
4663,NCT04349020,BC20
9487,NCT04146051,BC20
9017,NCT04577313,BC20
7503,NCT01637324,BC20
1131,NCT01623544,BC20
2242,NCT01063179,BC20
8164,NCT00482963,BC20
4041,NCT03117998,BC20
7502,NCT02515149,BC20
8144,NCT02140775,BC20
7893,NCT00002305,BC20
7504,NCT00272220,BC20
8166,NCT02303392,BC20
4039,NCT01192178,BC20
9124,NCT04484337,BC20
4096,NCT00000720,BC20
6024,NCT03266965,BC20
7880,NCT03511443,BC20
4037,NCT00039741,BC20
5560,NCT01157117,BC20
1928,NCT00071175,BC20
4056,NCT01682746,BC20
2241,NCT02865967,BC20
7889,NCT02383602,BC20
4074,NCT01321346,BC20
4079,NCT00837434,BC20
8152,NCT01812005,BC20
9126,NCT04483206,BC20
7886,NCT03880006,BC20
4068,NCT04018651,BC20
1415,NCT02544334,BC20
1142,NCT00049439,BC20
4081,NCT00527345,BC20
7501,NCT04050449,BC20
6006,NCT03708276,BC20
7285,NCT03227861,BC20
7885,NCT03944395,BC20
4062,NCT02230332,BC20
1141,NCT00414518,BC20
2259,NCT01857245,BC20
9342,NCT04279587,BC20
4084,NCT00000641,BC20
9483,NCT04150913,BC20
7890,NCT02271074,BC20
4657,NCT04171180,BC20
5987,NCT04144257,BC20
8146,NCT00004084,BC20
4659,NCT02267317,BC20
2271,NCT00008749,BC20
4097,NCT01889797,BC20
4129,NCT00385697,BC20
1910,NCT01545232,BC20
2285,NCT03313765,BC20
8178,NCT02049541,BC20
4001,NCT03110354,BC20
7266,NCT01399138,BC20
7895,NCT00002306,BC20
4115,NCT00302861,BC20
1109,NCT01873417,BC20
4116,NCT02236598,BC20
4117,NCT01271023,BC20
7508,NCT04092257,BC20
8131,NCT00481182,BC20
2228,NCT00572052,BC20
1165,NCT03845400,BC20
4124,NCT01523977,BC20
7494,NCT00153777,BC20
5525,NCT01443728,BC20
4620,NCT01891773,BC20
1172,NCT00574600,BC20
8189,NCT01996865,BC20
4695,NCT03239782,BC20
1909,NCT01149759,BC20
8128,NCT01460940,BC20
1103,NCT04001803,BC20
5570,NCT01458132,BC20
8177,NCT02077959,BC20
4009,NCT00005278,BC20
6026,NCT03230903,BC20
5533,NCT00223080,BC20
4031,NCT02588651,BC20
5979,NCT04512105,BC20
8169,NCT01535924,BC20
4638,NCT02410278,BC20
1123,NCT03964649,BC20
1945,NCT00528814,BC20
4100,NCT02616640,BC20
1161,NCT03202680,BC20
4104,NCT03289676,BC20
7878,NCT03563040,BC20
1119,NCT00004986,BC20
8174,NCT02992522,BC20
4683,NCT02561390,BC20
4105,NCT01537367,BC20
6037,NCT02988401,BC20
2280,NCT02807155,BC20
7894,NCT00002074,BC20
7877,NCT00823979,BC20
7301,NCT03623022,BC20
7269,NCT03052010,BC20
1116,NCT01152918,BC20
1164,NCT01427673,BC20
9494,NCT04142229,BC20
4681,NCT04401631,BC20
8967,NCT03032159,BC20
7523,NCT00164281,BC20
4190,NCT02564055,BC20
7928,NCT02331368,BC20
7825,NCT00744679,BC20
4270,NCT02188368,BC20
6242,NCT04573478,BC20
9052,NCT04548648,BC20
4273,NCT02889809,BC20
7821,NCT00857324,BC20
4274,NCT00358917,BC20
5627,NCT00352924,BC20
3753,NCT03284541,BC20
4278,NCT03175640,BC20
1853,NCT00620334,BC20
9161,NCT04448834,BC20
6241,NCT04573920,BC20
2134,NCT02807285,BC20
3746,NCT02987257,BC20
7169,NCT01559103,BC20
1986,NCT03568331,BC20
2132,NCT04583007,BC20
2426,NCT03908879,BC20
7167,NCT02153346,BC20
6258,NCT01933685,BC20
7362,NCT02237196,BC20
4536,NCT00088543,BC20
6259,NCT01931358,BC20
3763,NCT01685034,BC20
9109,NCT04495348,BC20
4285,NCT03984227,BC20
9580,NCT04073914,BC20
8284,NCT00089154,BC20
7355,NCT03386539,BC20
6230,NCT00321932,BC20
5457,NCT01937468,BC20
4257,NCT01578967,BC20
1380,NCT01061164,BC20
4790,NCT03971318,BC20
5455,NCT02626949,BC20
3776,NCT00087529,BC20
7473,NCT00446979,BC20
4261,NCT02103335,BC20
1984,NCT01999322,BC20
1985,NCT04140695,BC20
5856,NCT01818791,BC20
8934,NCT03164967,BC20
4265,NCT02685826,BC20
2411,NCT00682669,BC20
3769,NCT00668928,BC20
1377,NCT03746847,BC20
7180,NCT02386878,BC20
3766,NCT03976869,BC20
9583,NCT04072458,BC20
4266,NCT02206425,BC20
3764,NCT01727895,BC20
2131,NCT00156013,BC20
5445,NCT00381524,BC20
5602,NCT01134510,BC20
9642,NCT04025463,BC20
9638,NCT04032834,BC20
8312,NCT00004375,BC20
9640,NCT04026711,BC20
4305,NCT02304263,BC20
1259,NCT00002434,BC20
7144,NCT03992274,BC20
8316,NCT02037750,BC20
4834,NCT01881828,BC20
7142,NCT01046825,BC20
6281,NCT00337181,BC20
7812,NCT01102972,BC20
1260,NCT00002317,BC20
4303,NCT00114699,BC20
8920,NCT02165735,BC20
4526,NCT01431924,BC20
7141,NCT00123968,BC20
2448,NCT00734344,BC20
1841,NCT01953016,BC20
8322,NCT01219647,BC20
7549,NCT02820038,BC20
2115,NCT02283918,BC20
1261,NCT00002103,BC20
9645,NCT04022980,BC20
4524,NCT00299065,BC20
9635,NCT04036396,BC20
2120,NCT03404531,BC20
7929,NCT00075946,BC20
1374,NCT03969654,BC20
9616,NCT04047420,BC20
9162,NCT04448002,BC20
2429,NCT01689025,BC20
5628,NCT03746769,BC20
5837,NCT01601847,BC20
4817,NCT03086395,BC20
8300,NCT00917007,BC20
3730,NCT00459316,BC20
6264,NCT01435135,BC20
1253,NCT01663558,BC20
7816,NCT02431208,BC20
8305,NCT03367845,BC20
3710,NCT00312845,BC20
1255,NCT01073124,BC20
4298,NCT00098748,BC20
1844,NCT03775954,BC20
7814,NCT00002090,BC20
9303,NCT04313400,BC20
3720,NCT00584051,BC20
9165,NCT04441593,BC20
9631,NCT04038541,BC20
5828,NCT03411577,BC20
3718,NCT00232076,BC20
4301,NCT00312169,BC20
6228,NCT02706847,BC20
2150,NCT02600845,BC20
9573,NCT04080531,BC20
5892,NCT01947179,BC20
5608,NCT02475707,BC20
3846,NCT00078598,BC20
4214,NCT02316353,BC20
2173,NCT03147742,BC20
7913,NCT00719563,BC20
9357,NCT04264897,BC20
3839,NCT01234766,BC20
3838,NCT00637689,BC20
7839,NCT00827112,BC20
3837,NCT01814722,BC20
4219,NCT02572323,BC20
5891,NCT00811954,BC20
7841,NCT03191253,BC20
8073,NCT02184494,BC20
3834,NCT02519777,BC20
7212,NCT01756469,BC20
5471,NCT02635334,BC20
8263,NCT00079456,BC20
7211,NCT01872390,BC20
3828,NCT00002120,BC20
7209,NCT01930084,BC20
1220,NCT00130364,BC20
4769,NCT03971305,BC20
6185,NCT00116090,BC20
7218,NCT00351702,BC20
4206,NCT00339638,BC20
1474,NCT03399461,BC20
3868,NCT01904604,BC20
4590,NCT01500538,BC20
7524,NCT00130078,BC20
4191,NCT03765593,BC20
2356,NCT01173276,BC20
1395,NCT03904186,BC20
1200,NCT01234103,BC20
7908,NCT03271307,BC20
1967,NCT01188473,BC20
2358,NCT04481373,BC20
7220,NCT00270725,BC20
2184,NCT03606460,BC20
1205,NCT00002298,BC20
7480,NCT02591420,BC20
8084,NCT02858778,BC20
4199,NCT02137512,BC20
4586,NCT01728571,BC20
3861,NCT00443443,BC20
7525,NCT00129532,BC20
4204,NCT03945981,BC20
3858,NCT02595073,BC20
1460,NCT02984943,BC20
3855,NCT03193879,BC20
1877,NCT02682667,BC20
7219,NCT00270764,BC20
1010,NCT02641158,BC20
7208,NCT01985269,BC20
6186,NCT00921557,BC20
5864,NCT00664898,BC20
7197,NCT03555669,BC20
1868,NCT00888745,BC20
8062,NCT01959217,BC20
6212,NCT02481310,BC20
1867,NCT01317784,BC20
7196,NCT03745495,BC20
9572,NCT04080570,BC20
6216,NCT01463254,BC20
8060,NCT02103660,BC20
6217,NCT01334190,BC20
8280,NCT01910402,BC20
6218,NCT01226433,BC20
7206,NCT02395328,BC20
6219,NCT02797769,BC20
5461,NCT03050658,BC20
3792,NCT00893815,BC20
4786,NCT02023151,BC20
3789,NCT01591681,BC20
6221,NCT02629159,BC20
3787,NCT01547351,BC20
6222,NCT02675426,BC20
3786,NCT00097071,BC20
6223,NCT02706951,BC20
8937,NCT03434769,BC20
1229,NCT01287351,BC20
6209,NCT00851799,BC20
8277,NCT00941876,BC20
5465,NCT00032513,BC20
5613,NCT01152684,BC20
7205,NCT02577380,BC20
3822,NCT02445989,BC20
8072,NCT03015896,BC20
9044,NCT04555811,BC20
9153,NCT04459416,BC20
2165,NCT04040894,BC20
4238,NCT03713320,BC20
7347,NCT02877680,BC20
9439,NCT04205084,BC20
3816,NCT00106431,BC20
8271,NCT02333045,BC20
4240,NCT00120471,BC20
1871,NCT02115919,BC20
1468,NCT00938405,BC20
3811,NCT01823341,BC20
9045,NCT04554914,BC20
8065,NCT00599599,BC20
4241,NCT01717287,BC20
4244,NCT00615407,BC20
4780,NCT02278237,BC20
7350,NCT00595491,BC20
4247,NCT00124514,BC20
2574,NCT00758693,BC20
8707,NCT03758625,BC20
4456,NCT00412477,BC20
5205,NCT00120302,BC20
8497,NCT02700542,BC20
57,NCT04163341,BC20
2811,NCT00001060,BC20
1753,NCT01111201,BC20
6769,NCT03678766,BC20
2622,NCT00097006,BC20
6977,NCT00485914,BC20
1676,NCT03264131,BC20
5250,NCT02075151,BC20
8495,NCT01236586,BC20
2813,NCT00001571,BC20
2995,NCT02133599,BC20
2994,NCT03061188,BC20
6534,NCT04545385,BC20
6622,NCT04261738,BC20
4969,NCT00433173,BC20
9981,NCT03775590,BC20
6667,NCT02792699,BC20
3219,NCT01673750,BC20
9982,NCT03774654,BC20
124,NCT03933215,BC20
3351,NCT00394329,BC20
146,NCT02856646,BC20
8492,NCT01245673,BC20
2984,NCT00001043,BC20
43,NCT02787538,BC20
4964,NCT00672204,BC20
3213,NCT02944877,BC20
3359,NCT03736603,BC20
125,NCT03933202,BC20
9860,NCT03862053,BC20
3338,NCT02290106,BC20
6523,NCT03862924,BC20
8553,NCT03135249,BC20
6980,NCT00283855,BC20
62,NCT03373045,BC20
2635,NCT00924898,BC20
4974,NCT02747732,BC20
8644,NCT01257802,BC20
5129,NCT01341587,BC20
3016,NCT00109668,BC20
7721,NCT04160169,BC20
9863,NCT03858777,BC20
3229,NCT00395304,BC20
6618,NCT02036931,BC20
8552,NCT01710358,BC20
5325,NCT02086630,BC20
6619,NCT01509573,BC20
3011,NCT02634216,BC20
6620,NCT00342355,BC20
8585,NCT02700698,BC20
3010,NCT04491539,BC20
8584,NCT01481779,BC20
3008,NCT01227590,BC20
1677,NCT00432510,BC20
8737,NCT03126981,BC20
6669,NCT00341887,BC20
2627,NCT04109443,BC20
8734,NCT02958969,BC20
6540,NCT00382057,BC20
3145,NCT00308620,BC20
5276,NCT00124358,BC20
2626,NCT00947232,BC20
8499,NCT00993590,BC20
2823,NCT00095082,BC20
2976,NCT01874964,BC20
3231,NCT03278990,BC20
7707,NCT03198754,BC20
7623,NCT01903889,BC20
2953,NCT00074685,BC20
5039,NCT03291808,BC20
5201,NCT00010491,BC20
4956,NCT01762995,BC20
7755,NCT02775929,BC20
5063,NCT03411057,BC20
3166,NCT03003728,BC20
8674,NCT00764517,BC20
9836,NCT03875209,BC20
1669,NCT04047121,BC20
2947,NCT00339430,BC20
3389,NCT01611402,BC20
2945,NCT03843437,BC20
1546,NCT01108848,BC20
9985,NCT03773107,BC20
3392,NCT02177006,BC20
6510,NCT02691247,BC20
1643,NCT02610374,BC20
3393,NCT02116712,BC20
3394,NCT04413708,BC20
5157,NCT01800994,BC20
7645,NCT00744991,BC20
1720,NCT01121276,BC20
5198,NCT01575860,BC20
7580,NCT03834584,BC20
8680,NCT01902225,BC20
3398,NCT03974061,BC20
5042,NCT03285191,BC20
9239,NCT04365543,BC20
3380,NCT00592046,BC20
9276,NCT04334356,BC20
3361,NCT00319332,BC20
7717,NCT01539005,BC20
3211,NCT03615950,BC20
1756,NCT00095446,BC20
1673,NCT01381016,BC20
8726,NCT00098670,BC20
6522,NCT04032158,BC20
3158,NCT01736930,BC20
2968,NCT00266058,BC20
6898,NCT03545217,BC20
5145,NCT01263418,BC20
2967,NCT00322257,BC20
8488,NCT00063804,BC20
6521,NCT04032171,BC20
3368,NCT00112047,BC20
6663,NCT04380038,BC20
6517,NCT02207803,BC20
6514,NCT01465607,BC20
2609,NCT03794856,BC20
5336,NCT02879006,BC20
7753,NCT04092114,BC20
1709,NCT01632995,BC20
3162,NCT02190266,BC20
6799,NCT03063385,BC20
5038,NCT02036502,BC20
5148,NCT00183989,BC20
3206,NCT00317564,BC20
2959,NCT04018573,BC20
6894,NCT02118454,BC20
7616,NCT04075513,BC20
5203,NCT03119363,BC20
6803,NCT02039895,BC20
9865,NCT03855410,BC20
6760,NCT01452503,BC20
8719,NCT00006264,BC20
9901,NCT03829566,BC20
5099,NCT01454492,BC20
3082,NCT01343420,BC20
8527,NCT00723203,BC20
3251,NCT03213184,BC20
2747,NCT02825251,BC20
7691,NCT02052037,BC20
3277,NCT02263326,BC20
6686,NCT00000700,BC20
8761,NCT01825252,BC20
8805,NCT01214655,BC20
3076,NCT03917875,BC20
2770,NCT02034513,BC20
3072,NCT02860676,BC20
8618,NCT02538614,BC20
5022,NCT03308097,BC20
9907,NCT03823911,BC20
3069,NCT00000693,BC20
2774,NCT00612040,BC20
1690,NCT00012701,BC20
7603,NCT01287104,BC20
3247,NCT01943682,BC20
3280,NCT02354716,BC20
3068,NCT03679676,BC20
2662,NCT00660322,BC20
7724,NCT00829114,BC20
3123,NCT03351140,BC20
7735,NCT03794999,BC20
3283,NCT01751620,BC20
1700,NCT03224416,BC20
5244,NCT01156701,BC20
2765,NCT04135443,BC20
7604,NCT03357224,BC20
6996,NCT01652352,BC20
9947,NCT03798314,BC20
7725,NCT00138047,BC20
109,NCT01927835,BC20
5239,NCT04609995,BC20
2753,NCT02763917,BC20
5015,NCT04266938,BC20
9251,NCT04354246,BC20
2673,NCT00808210,BC20
1734,NCT04073940,BC20
9951,NCT03796286,BC20
9914,NCT03819881,BC20
9911,NCT03822325,BC20
3255,NCT04103593,BC20
3096,NCT04097834,BC20
7696,NCT02170246,BC20
8532,NCT01439750,BC20
8613,NCT01312181,BC20
2762,NCT01801670,BC20
1579,NCT02296164,BC20
3269,NCT01347164,BC20
3091,NCT00000783,BC20
5096,NCT00000788,BC20
6942,NCT01491763,BC20
5234,NCT02697565,BC20
3271,NCT00796705,BC20
5097,NCT00109161,BC20
3120,NCT02124044,BC20
112,NCT00796315,BC20
3087,NCT01665677,BC20
9909,NCT03823209,BC20
6990,NCT00062972,BC20
7686,NCT01067287,BC20
1742,NCT01781949,BC20
8551,NCT01711359,BC20
3308,NCT00001908,BC20
2649,NCT00001887,BC20
8589,NCT01698983,BC20
6558,NCT00424294,BC20
2741,NCT00523042,BC20
117,NCT02886689,BC20
6749,NCT01844102,BC20
5281,NCT01182298,BC20
3236,NCT00924365,BC20
8549,NCT01721057,BC20
3306,NCT03049904,BC20
7741,NCT00136370,BC20
3037,NCT00135733,BC20
2790,NCT02784834,BC20
3137,NCT01951092,BC20
3138,NCT04564209,BC20
5123,NCT01377805,BC20
5029,NCT02801747,BC20
5316,NCT02429934,BC20
6750,NCT01711411,BC20
8509,NCT01239368,BC20
8638,NCT00619671,BC20
6752,NCT03762291,BC20
8586,NCT00000798,BC20
68,NCT01154296,BC20
7722,NCT04115813,BC20
6755,NCT03038828,BC20
9939,NCT03803683,BC20
8640,NCT00766051,BC20
9874,NCT03848962,BC20
6759,NCT01667276,BC20
8513,NCT03849716,BC20
5314,NCT04533386,BC20
5113,NCT01119521,BC20
3051,NCT00811278,BC20
9203,NCT04398745,BC20
2686,NCT01699906,BC20
114,NCT03382418,BC20
8520,NCT04258332,BC20
6931,NCT03890666,BC20
3128,NCT00425880,BC20
5116,NCT00798538,BC20
6925,NCT03762772,BC20
6739,NCT03302299,BC20
6681,NCT03043326,BC20
8629,NCT01700036,BC20
2654,NCT02281747,BC20
5284,NCT02429375,BC20
9885,NCT03842254,BC20
8515,NCT01352286,BC20
8514,NCT00030940,BC20
3050,NCT01950650,BC20
115,NCT00054743,BC20
9883,NCT03843294,BC20
7740,NCT00441298,BC20
3297,NCT00001659,BC20
8630,NCT01979055,BC20
7683,NCT03935282,BC20
5217,NCT03666247,BC20
1745,NCT01569841,BC20
3238,NCT01852656,BC20
