,NCTId,ConditionBrowseBranchAbbrev
1579,NCT02296164,Rare
9261,NCT04344184,Rare
5288,NCT01836237,Rare
1583,NCT01524146,Rare
5284,NCT02429375,Rare
5283,NCT03161795,Rare
1587,NCT00183872,Rare
5280,NCT00339742,Rare
1591,NCT02287688,Rare
7614,NCT01851629,Rare
9257,NCT04348708,Rare
5275,NCT04073667,Rare
5271,NCT01609348,Rare
9256,NCT04349202,Rare
5309,NCT03843021,Rare
1570,NCT00485134,Rare
5262,NCT00361010,Rare
7596,NCT01661283,Rare
5353,NCT03880812,Rare
1539,NCT00629330,Rare
5352,NCT01786850,Rare
7577,NCT00431847,Rare
7580,NCT03834584,Rare
1546,NCT01108848,Rare
5340,NCT03811847,Rare
9274,NCT04335682,Rare
5335,NCT04399889,Rare
9271,NCT04339998,Rare
5332,NCT01894451,Rare
1555,NCT00870987,Rare
5327,NCT02532010,Rare
7591,NCT03844061,Rare
9268,NCT04341311,Rare
5320,NCT00016653,Rare
5318,NCT00341250,Rare
9266,NCT04341727,Rare
7595,NCT04545424,Rare
1597,NCT00320970,Rare
7621,NCT02114229,Rare
5149,NCT01202500,Rare
7645,NCT00744991,Rare
5193,NCT03674216,Rare
5191,NCT01616537,Rare
5190,NCT04108052,Rare
1648,NCT04604145,Rare
9236,NCT04368702,Rare
1653,NCT03814096,Rare
9234,NCT04372433,Rare
1654,NCT00889772,Rare
5179,NCT03731000,Rare
9233,NCT04372641,Rare
5169,NCT01856205,Rare
5168,NCT02787486,Rare
5165,NCT04536350,Rare
9231,NCT04374305,Rare
5164,NCT01781936,Rare
5163,NCT01109368,Rare
5161,NCT03201406,Rare
9230,NCT04374565,Rare
1668,NCT01913353,Rare
9238,NCT04367246,Rare
5198,NCT01575860,Rare
5260,NCT02796352,Rare
9239,NCT04365543,Rare
5259,NCT01624389,Rare
1606,NCT02060513,Rare
5251,NCT01996384,Rare
9251,NCT04354246,Rare
5241,NCT02019524,Rare
1614,NCT04540081,Rare
5238,NCT04267978,Rare
7636,NCT01207687,Rare
9244,NCT04359108,Rare
5226,NCT01252251,Rare
5224,NCT04047251,Rare
7637,NCT00073853,Rare
1632,NCT04504019,Rare
1633,NCT02964481,Rare
7639,NCT02910557,Rare
7640,NCT00468832,Rare
7641,NCT00667810,Rare
7642,NCT00676143,Rare
5203,NCT03119363,Rare
1769,NCT03851744,Rare
7765,NCT04098419,Rare
4933,NCT03042182,Rare
7879,NCT00033722,Rare
1923,NCT00037206,Rare
9127,NCT04482712,Rare
4661,NCT04579120,Rare
9126,NCT04483206,Rare
1935,NCT02731066,Rare
4650,NCT01547013,Rare
4649,NCT03992872,Rare
9125,NCT04483440,Rare
